# item-text tables in the Redivis shards as of 2026-09-26
# status=published: a reader can fetch it. status=draft: uploaded, not released yet.
# generated -- do not hand-edit; rerun itemtext/refresh_live_tables.py (irw#1828)
# draft not listable by this token (needs data.edit) for irw_text_2, irw_text_3; its draft rows carried forward from the snapshot taken 2026-09-25
table,shard,status
ghanbari_2016_helma_access,irw_text_2,published
ghanbari_2016_helma_appraise,irw_text_2,published
ghanbari_2016_helma_comm,irw_text_2,published
ghanbari_2016_helma_numeracy,irw_text_2,published
ghanbari_2016_helma_reading,irw_text_2,published
ghanbari_2016_helma_understand,irw_text_2,published
ghanbari_2016_helma_use,irw_text_2,published
gholami_2017_periodontal_knowledge,irw_text_2,published
gilbert_meta_1,irw_text,published
gilbert_meta_10,irw_text,published
gilbert_meta_100,irw_text,published
gilbert_meta_101,irw_text,published
gilbert_meta_102,irw_text,published
gilbert_meta_103,irw_text,published
gilbert_meta_104,irw_text,published
gilbert_meta_105,irw_text,published
gilbert_meta_106,irw_text,published
gilbert_meta_107,irw_text,published
gilbert_meta_108,irw_text,published
gilbert_meta_11,irw_text,published
gilbert_meta_112,irw_text_2,published
gilbert_meta_12,irw_text,published
gilbert_meta_13,irw_text_2,published
gilbert_meta_14,irw_text_2,published
gilbert_meta_16,irw_text_2,published
gilbert_meta_2,irw_text,published
gilbert_meta_22,irw_text,published
gilbert_meta_23,irw_text_2,published
gilbert_meta_24,irw_text,published
gilbert_meta_25,irw_text,published
gilbert_meta_26,irw_text,published
gilbert_meta_27,irw_text_2,published
gilbert_meta_28,irw_text_2,published
gilbert_meta_29,irw_text_2,published
gilbert_meta_30,irw_text_2,published
gilbert_meta_31,irw_text,published
gilbert_meta_33,irw_text,published
gilbert_meta_34,irw_text,published
gilbert_meta_35,irw_text,published
gilbert_meta_36,irw_text,published
gilbert_meta_37,irw_text,published
gilbert_meta_38,irw_text,published
gilbert_meta_4,irw_text,published
gilbert_meta_40,irw_text,published
gilbert_meta_42,irw_text,published
gilbert_meta_44,irw_text,published
gilbert_meta_45,irw_text_2,published
gilbert_meta_49,irw_text,published
gilbert_meta_50,irw_text,published
gilbert_meta_51,irw_text,published
gilbert_meta_52,irw_text,published
gilbert_meta_53,irw_text,published
gilbert_meta_54,irw_text,published
gilbert_meta_55,irw_text_2,published
gilbert_meta_56,irw_text,published
gilbert_meta_57,irw_text,published
gilbert_meta_58,irw_text,published
gilbert_meta_60,irw_text,published
gilbert_meta_61,irw_text,published
gilbert_meta_62,irw_text,published
gilbert_meta_63,irw_text,published
gilbert_meta_64,irw_text,published
gilbert_meta_65,irw_text,published
gilbert_meta_67,irw_text,published
gilbert_meta_68,irw_text_2,published
gilbert_meta_69,irw_text_2,published
gilbert_meta_7,irw_text,published
gilbert_meta_70,irw_text_2,published
gilbert_meta_71,irw_text_2,published
gilbert_meta_73,irw_text_2,published
gilbert_meta_74,irw_text,published
gilbert_meta_75,irw_text,published
gilbert_meta_76,irw_text,published
gilbert_meta_78,irw_text,published
gilbert_meta_79,irw_text,published
gilbert_meta_8,irw_text,published
gilbert_meta_81,irw_text,published
gilbert_meta_82,irw_text,published
gilbert_meta_83,irw_text,published
gilbert_meta_84,irw_text,published
gilbert_meta_85,irw_text,published
gilbert_meta_86,irw_text,published
gilbert_meta_87,irw_text,published
gilbert_meta_88,irw_text,published
gilbert_meta_89,irw_text,published
gilbert_meta_90,irw_text,published
gilbert_meta_91,irw_text,published
gilbert_meta_92,irw_text,published
gilbert_meta_93,irw_text,published
gilbert_meta_94,irw_text,published
gilbert_meta_95,irw_text_2,published
gilbert_meta_96,irw_text,published
gilbert_meta_97,irw_text,published
gilbert_meta_98,irw_text,published
gilbert_meta_99,irw_text,published
girma_2021_oslo3,irw_text_2,published
girma_2021_phq9,irw_text_2,published
gizaw_2023_phq9,irw_text_2,published
gmc_kay_2025,irw_text_3,published
gobbens_2018_adl,irw_text_2,published
gobbens_2018_iadl,irw_text_2,published
goksel_2026_embarrassment_appeasement,irw_text,published
goksel_2026_embarrassment_emb_perception,irw_text,published
goksel_2026_embarrassment_moralityandwarmth,irw_text,published
goksel_2026_embarrassment_puremorality,irw_text,published
goksel_2026_embarrassment_purewarmth,irw_text,published
goksel_2026_embarrassment_socialnorm,irw_text,published
goksel_2026_embarrassment_warmth_competence,irw_text,published
goksel_2026_embarrassment_wcm,irw_text,published
goldberg_2018_bri_bri,irw_text_2,published
goldberg_2018_bri_feel,irw_text_2,published
goldberg_2018_bri_food,irw_text_2,published
goldberg_2018_bri_ofood,irw_text_2,published
goldberg_2018_eps_adjectives,irw_text,published
goldberg_2018_eps_cesd,irw_text,published
goldberg_2018_eps_ipip,irw_text,published
goldberg_2018_eps_life_events,irw_text,published
goldberg_2018_eps_s11,irw_text,published
goldberg_2018_hpq_h,irw_text,published
goldberg_2018_ipip,irw_text_2,published
goldberg_2018_pas_adjectives,irw_text_2,published
goldberg_2018_pda525,irw_text_3,published
goldberg_2018_ppq_dream,irw_text_3,published
goldberg_2018_ppq_music,irw_text_3,published
goldberg_2018_prs_bas_bis,irw_text,published
goldberg_2018_prs_ipip,irw_text,published
goldberg_2018_prs_movie_preferences,irw_text,published
goldberg_2018_prs_music_preferences,irw_text,published
goldberg_2018_prs_reading_preferences,irw_text,published
goldberg_2018_prs_tv_preferences,irw_text,published
goldberg_2018_sbo,irw_text_2,published
goldberg_2018_sdv_adjectives,irw_text_2,published
goldberg_2018_sdv_desirability,irw_text_2,published
goldberg_2018_sdv_force,irw_text_2,published
goldberg_2018_sdv_influ,irw_text_2,published
goldberg_2018_sdv_ipip_temperament,irw_text_2,published
goldberg_2018_spa_beliefs_about_intelligence,irw_text,published
goldberg_2018_spa_changeability,irw_text,published
goldberg_2018_spa_cultural_familiarity,irw_text,published
goldberg_2018_spa_ipip,irw_text,published
goldberg_2018_spa_medical_history,irw_text,published
goldberg_2018_spa_skill_proficiency,irw_text,published
goldberg_2018_spa_skills,irw_text,published
goldberg_2018_spa_speo,irw_text,published
goldberg_2018_spa_spey,irw_text,published
goldberg_2018_spa_talents,irw_text,published
gomez_2022_qcae,irw_text_2,published
gordils_2021_behavioral_avoidance,irw_text_2,published
gordils_2021_discrimination,irw_text_2,published
gordils_2021_intergroup_anxiety,irw_text_2,published
gordils_2021_interracial_comp,irw_text_2,published
gordils_2021_interracial_trust,irw_text_2,published
gps_vangsness_2019,irw_text,published
gpt4mcq_young_2025,irw_text_2,published
grandahl_2017_hpv_beliefs,irw_text_2,published
gumus_2025_dietarian_identity,irw_text_2,published
habibi_2021_meim,irw_text_2,published
han_2015_peer_assisted_learning,irw_text_2,published
han_2026_gad7,irw_text_2,published
han_2026_isi,irw_text_2,published
han_2026_phq9,irw_text_2,published
hannachi_2025_eco_anxiety_cas,irw_text_2,published
hannachi_2025_eco_anxiety_heas,irw_text_2,published
hao_2025_emotional_regulation,irw_text_3,published
hao_2025_metacognitive_regulation,irw_text_3,published
hao_2025_social_regulation,irw_text_3,published
hayek_2022_attitude,irw_text_2,published
hayek_2022_self_efficacy,irw_text_2,published
hayek_2022_subj_norm,irw_text_2,published
he_2019_flipped_classroom_attitudes,irw_text_2,published
he_2019_flipped_classroom_satisfaction,irw_text_2,published
heard_roch_2022_cope,irw_text,published
heard_roch_2022_idss,irw_text,published
heard_roch_2022_k6,irw_text,published
heard_roch_2022_swlpwi,irw_text,published
heard_roch_2022_whodas,irw_text,published
heekerens2025_bfi_extraversion,irw_text,published
heekerens2025_bfi_neuroticism,irw_text,published
heekerens2025_bfi_openness,irw_text,published
heekerens2025_dss,irw_text,published
heekerens2025_phq,irw_text_3,published
heekerens2025_sdq,irw_text,published
hellstrom_2019_isi,irw_text_2,published
herrera_2018_se_d_items,irw_text_3,published
hewei_2022_msva_purchase,irw_text_2,published
hexaco_ashton_2014_a,irw_text,published
hexaco_ashton_2014_c,irw_text,published
hexaco_ashton_2014_e,irw_text,published
hexaco_ashton_2014_h,irw_text,published
hexaco_ashton_2014_o,irw_text,published
hexaco_ashton_2014_x,irw_text,published
hicks_2020_bioveda,irw_text_2,published
himmelstein-admc_raw-2025,irw_text,published
himmelstein-berlin_numeracy-2025,irw_text,published
himmelstein-cognitive_reflection-2025,irw_text,published
himmelstein-impossible_question-2025,irw_text,published
himmelstein-number_series-2025,irw_text,published
hirwa_2024_antibiotic_attitudes,irw_text_2,published
hoai_2026_academic_achievement,irw_text_2,published
hoai_2026_cognitive_presence,irw_text_2,published
hoai_2026_instructional_design_quality,irw_text_2,published
hoai_2026_learning_experience,irw_text_2,published
hoai_2026_social_presence,irw_text_2,published
hoai_2026_student_engagement,irw_text_2,published
hoai_2026_teaching_presence,irw_text_2,published
hoorani_2022_child_help,irw_text_2,published
hoorani_2022_epreas,irw_text,published
hoorani_2022_ps,irw_text_2,published
hoorani_2022_sp,irw_text_2,published
hori_2019_radiation_risk,irw_text_2,published
horiuchi_2024_attachment,irw_text_2,published
horiuchi_2024_dissociation,irw_text_2,published
horiuchi_2024_rsmsm,irw_text_2,published
hua_2023_efl_course_experience,irw_text_2,published
huang_2016_cesd,irw_text_2,published
huang_2023_d_scale,irw_text_2,published
huang_2023_medseq,irw_text_2,published
hui_2024_gbfs,irw_text_2,published
humor_styles,irw_text_2,published
hyatt_2023_aggression_aeq,irw_text_2,published
hyatt_2023_aggression_s3_acme,irw_text_2,published
hypersensitive_narcissism,irw_text,published
iandolo_2021_asq,irw_text_2,published
iat_poverty,irw_text_2,published
ibrahim_2015_sf36,irw_text_2,published
idas_machado2024,irw_text,published
idcr_martinez_2023_story_recall_1,irw_text,published
idcr_martinez_2023_story_recall_2,irw_text,published
idcr_martinez_2023_story_recall_3,irw_text,published
ilearnathome_regalado_2025,irw_text_2,published
imos_1984,irw_text_2,published
imos_1985,irw_text_2,published
imos_1986,irw_text_2,published
imos_1987,irw_text_2,published
imos_1988,irw_text_2,published
imos_1989,irw_text_2,published
imos_1990,irw_text_2,published
imos_1991,irw_text_2,published
imos_1992,irw_text_2,published
imos_1993,irw_text_2,published
imos_1994,irw_text_2,published
imos_1995,irw_text_2,published
imos_1996,irw_text_2,published
imos_1997,irw_text_2,published
imos_1998,irw_text_2,published
imos_1999,irw_text_2,published
imos_2000,irw_text_2,published
imos_2001,irw_text_2,published
imos_2002,irw_text_2,published
imos_2003,irw_text_2,published
imos_2004,irw_text_2,published
imos_2005,irw_text_2,published
imos_2006,irw_text_2,published
imos_2007,irw_text_2,published
imos_2008,irw_text_2,published
imos_2009,irw_text_2,published
imos_2010,irw_text_2,published
imos_2011,irw_text_2,published
imos_2012,irw_text_2,published
imos_2013,irw_text_2,published
imos_2014,irw_text_2,published
imos_2015,irw_text_2,published
imos_2016,irw_text_2,published
imos_2017,irw_text_2,published
imps2025_hf,irw_text_2,published
iowa_gambling_task,irw_text_2,published
ipip_openpsychometrics_ad,irw_text_2,published
ipip_openpsychometrics_as,irw_text_2,published
ipip_openpsychometrics_do,irw_text_2,published
ipip_openpsychometrics_sc,irw_text_2,published
ips_vangsness_2019,irw_text,published
isi_insomnia_wang2025,irw_text,published
islam_2022_bsmas,irw_text_2,published
islam_2022_gad7,irw_text_2,published
islam_2022_phq9,irw_text_2,published
iwasa_2016_dpssr,irw_text_2,published
iwasa_2016_padua_inventory,irw_text,published
jablonska_2020_downward_comparison,irw_text_2,published
jablonska_2020_instagram_addiction,irw_text_2,published
jablonska_2020_profile_grooming,irw_text_2,published
jablonska_2020_rses,irw_text_2,published
jablonska_2020_swls,irw_text_2,published
jablonska_2020_upward_comparison,irw_text_2,published
jaen_2024_odor_id,irw_text_2,published
janoffbulman_2016_moralmotives_s1,irw_text_2,published
janoffbulman_2016_moralmotives_s2,irw_text_2,published
jeilani_2024_academic_stress,irw_text_2,published
jeilani_2024_psychological_wellbeing,irw_text_2,published
jeilani_2024_self_efficacy,irw_text_2,published
jeilani_2024_social_outcomes,irw_text,published
jeon_2019_cbi,irw_text_2,published
jeon_2019_cesd10,irw_text_2,published
jian-wen-low-sepsis-and-trauma-resuscitation-2024,irw_text,published
jiang_2021_resilience,irw_text_2,published
jiang_2024_growthm,irw_text_2,published
jiang_2024_instituinteg,irw_text_2,published
jiang_2024_ptsacc,irw_text_2,published
jiang_2024_ptsexp,irw_text,published
jiang_2024_ptsinv,irw_text,published
jiang_2024_ptspr,irw_text,published
jimenezherrera_2022_moral_sensitivity,irw_text_2,published
jo_2023_arp,irw_text_2,published
jo_2023_cfs,irw_text_2,published
jo_2023_crp,irw_text_2,published
jo_2023_pbc,irw_text_2,published
jo_2023_sni,irw_text_2,published
jo_2023_sno,irw_text_2,published
johannisson_2016_ipip_neo,irw_text_2,published
johnhenderson_2020_health_mindset,irw_text_2,published
jordan_2020_burnout,irw_text_2,published
jordan_2020_mindfulness,irw_text_2,published
jordan_2020_resilience,irw_text_2,published
jovanovic_2026_conscientiousness_yips,irw_text,published
jung_2018_media_use,irw_text_2,published
jutte_2024_loneliness,irw_text_2,published
jutte_2024_personality,irw_text_2,published
kalichman1995_scs,irw_text_2,published
karajko2025_ai_benefit,irw_text,published
karajko2025_ai_governance,irw_text,published
karajko2025_ai_risk,irw_text,published
karajko2025_ai_trust,irw_text,published
karlsson_2023_climate_risk,irw_text_3,published
karpudewan_2022_stp_cca,irw_text_2,published
karpudewan_2022_stp_efa,irw_text_2,published
kermen_2022_self_efficacy,irw_text_2,published
kern_2021_connectedness,irw_text_2,published
kern_2021_engagement,irw_text_2,published
kern_2021_learning,irw_text_2,published
kfcovid_Li2020,irw_text_2,published
kfcovid_fear_li2020,irw_text,published
khattak_2026_attitude,irw_text_2,published
khattak_2026_confidence,irw_text_2,published
khattak_2026_cr,irw_text_2,published
khoa_2023_assurance,irw_text,published
khoa_2023_teaching_materials,irw_text,published
kim2020_ams,irw_text_2,published
kim_2023_gad7,irw_text_2,published
kim_2023_phq9,irw_text_2,published
kim_2025_isi,irw_text_2,published
kim_2025_psas,irw_text_2,published
kiraly_2024_perinatal_mh_freq,irw_text_2,published
kiraly_2024_perinatal_mh_symptoms,irw_text_2,published
kitayama_2022_hweat,irw_text_2,published
knight_2026_crt,irw_text_2,published
kohlmann_2016_phq9,irw_text_3,published
koirala_2024_brief_cope,irw_text_2,published
kokoszka_2022_hamd,irw_text_2,published
komura_2026_gqs_animacy,irw_text_2,published
komura_2026_gqs_anthropomorphism,irw_text_2,published
komura_2026_gqs_likeability,irw_text_2,published
komura_2026_gqs_perceived_intelligence,irw_text_2,published
komura_2026_gqs_perceived_safety,irw_text_2,published
komura_2026_mdmt_capable,irw_text_2,published
komura_2026_mdmt_ethical,irw_text_2,published
komura_2026_mdmt_reliable,irw_text_2,published
komura_2026_mdmt_sincere,irw_text_2,published
konerding_2019_patientsatisfaction,irw_text_2,published
kraft_todd_2017_competence,irw_text_2,published
kraft_todd_2017_panas,irw_text_2,published
kraft_todd_2017_warmth,irw_text_2,published
kuczyk_2024_facemask_fba,irw_text_2,published
kuczyk_2024_facemask_fbe,irw_text_2,published
kuehner_2017_mw_rumination,irw_text_2,published
kumlander_2018_scs,irw_text_2,published
kushnir2017_anrt,irw_text,published
kushnir2017_bfi,irw_text_2,published
kushnir2017_ftnd,irw_text_2,published
laksmita_2020_mspss,irw_text_2,published
latifi_2026_insect_fear,irw_text_2,published
lec5_xiong_2025,irw_text_3,published
lee2024_relative_clause,irw_text,published
lee_2020_alcohol_use,irw_text_3,published
lee_2020_vr_usability,irw_text_2,published
lee_2024_panas,irw_text_2,published
lee_2025_nursing_exam,irw_text_2,published
leon_guereno_2020_breq,irw_text_2,published
lessR_Mach4,irw_text_2,published
lhsbrasil_couto_2023_lhs,irw_text,published
lhsbrasil_couto_2023_ses,irw_text,published
li_2021_cultural_intelligence,irw_text_2,published
li_2021_knowledge_sharing,irw_text_2,published
li_2021_org_cultural_diversity,irw_text,published
li_2021_sustainable_innov_behav,irw_text_2,published
li_2024_bdyz,irw_text_2,published
li_2025_corporate_performance,irw_text_2,published
li_2025_market_environment,irw_text_2,published
li_2025_marketing_culture,irw_text_2,published
li_2025_marketing_exploitation,irw_text_2,published
li_2025_marketing_exploration,irw_text_2,published
li_2025_marketing_learning,irw_text_2,published
li_2025_marketing_operation,irw_text_2,published
li_2025_policy_environment,irw_text_2,published
li_2025_socmedia_enjoyment,irw_text,published
li_2025_socmedia_ewom,irw_text_2,published
li_2025_socmedia_infoquality,irw_text_2,published
li_2025_socmedia_revisit,irw_text_2,published
li_2025_socmedia_satisfaction,irw_text_2,published
li_2025_socmedia_usefulness,irw_text_2,published
li_2026_imi_teq,irw_text_2,published
liang_2026_extrinsic_motivation,irw_text_2,published
liang_2026_intrinsic_motivation,irw_text_2,published
liem_2024_attitude_env,irw_text_2,published
liem_2024_cleaner_production,irw_text_3,published
liem_2024_customer_pressure,irw_text_3,published
liem_2024_green_competitive_adv,irw_text_3,published
liem_2024_perceived_benefit_cp,irw_text_3,published
liem_2024_perceived_benefit_ema,irw_text_3,published
lindstrom2021_collective_narcissism,irw_text_2,published
lindstrom2021_team_identification,irw_text,published
lindstrom2021_violent_intentions,irw_text,published
liu_2017_ssrs_support,irw_text_2,published
liu_2018_gse,irw_text_2,published
liu_2018_lot_r,irw_text_2,published
liu_2018_panas,irw_text_2,published
liu_2022_fragreading_cdq,irw_text_2,published
liu_2022_fragreading_frq,irw_text_2,published
liu_2022_mice_skills,irw_text_2,published
liu_2023_adherence_barrier,irw_text_2,published
liu_2023_adherence_factors,irw_text_3,published
liu_2023_adherence_tools,irw_text_2,published
liu_2023_attitude,irw_text,published
liu_2023_brand_trust,irw_text,published
liu_2023_improve_adherence,irw_text_2,published
liu_2023_perceived_control,irw_text_2,published
liu_2023_poor_adherence,irw_text_2,published
liu_2023_purchase_behavior,irw_text,published
liu_2023_purchase_intention,irw_text_2,published
liu_2023_subjective_norm,irw_text,published
liu_2023_training_freq,irw_text_2,published
liu_2025_classroom_interaction,irw_text_2,published
liu_2025_foreign_lang_enjoyment,irw_text_2,published
liu_2025_learning_motivation,irw_text_2,published
liu_2025_nlgz,irw_text_2,published
liu_2025_positive_cognition,irw_text_2,published
liu_2025_speaking_selfefficacy,irw_text_2,published
liu_2025_willingness_communicate,irw_text_2,published
liu_2025_ydcy,irw_text_2,published
lorenz_2016_efficacy1,irw_text_2,published
lorenz_2016_hope,irw_text_2,published
lorenz_2016_optimism2,irw_text_2,published
lshs-e_quidaja_2022,irw_text,published
lu_2017_gad7,irw_text_2,published
lu_2017_phq9,irw_text_2,published
lunacortes_2019_interperson_conn,irw_text_3,published
lunacortes_2019_satisfaction,irw_text_2,published
lunacortes_2019_self_congruity,irw_text_3,published
lunacortes_2019_social_value,irw_text_2,published
luo_2021_conational_ties,irw_text_2,published
ly_2021_animal_empathy,irw_text_2,published
lys_2020_rape_1_rma,irw_text,published
lys_2020_rape_2_rma,irw_text,published
lys_2020_rape_2_rma_pre,irw_text,published
lys_2020_rape_3_asi,irw_text,published
lys_2020_rape_3_diff,irw_text_2,published
lys_2020_rape_3_kpnts,irw_text_2,published
lys_2020_rape_3_rma,irw_text,published
lys_2020_rape_3_rwa,irw_text_2,published
lys_2020_rape_3_sj,irw_text_2,published
lys_2020_rape_3_unjust,irw_text_2,published
ma2021_sme_covid,irw_text_2,published
ma2026_bsmas,irw_text_2,published
ma2026_sabas,irw_text_2,published
machado_2020_cat_separation,irw_text_2,published
machivallianism_test_main,irw_text,published
machivallianism_test_tipi,irw_text,published
machivallianism_test_vcl,irw_text,published
maes_2020_ospaq,irw_text_3,published
magiccats_ozono_2020,irw_text_2,published
majeed_2024_luxury_purchase,irw_text_2,published
makai_2023_entrepreneurial_transdanubia,irw_text_2,published
makowska_2023_pdts,irw_text_2,published
makransky_2016_mcq_correct,irw_text_2,published
makransky_2016_self_efficacy,irw_text_2,published
malik_2018_individual_motivation,irw_text_2,published
malik_2018_organizational_motivation,irw_text_2,published
malik_2018_social_motivation,irw_text_2,published
malinowska_2021_saq_nurses,irw_text_2,published
malinowska_2021_saq_physicians,irw_text_2,published
mancone_2024_ravlt_recall,irw_text_2,published
manolika_2021_mini_ipip,irw_text_2,published
manolika_2021_movie_preferences,irw_text_2,published
manolika_2021_reading_preferences,irw_text_2,published
marcussonclavertz_2019_velten,irw_text_2,published
marquessanchez_2023_kidmed,irw_text_2,published
mascherini_2021_meddiet,irw_text_2,published
matarboumosleh_2017_gad2,irw_text_2,published
matarboumosleh_2017_phq2,irw_text_2,published
matarboumosleh_2017_spai26,irw_text_2,published
matranga_2019_hpv_knowledge,irw_text_2,published
mboya_2020_gds15,irw_text_2,published
mede_2025_clim_emotions,irw_text_2,published
mede_2025_clim_polsupport,irw_text_2,published
mede_2025_clim_weather_future,irw_text_2,published
mede_2025_clim_weather_past,irw_text_2,published
mede_2025_goals_priority,irw_text_2,published
mede_2025_goals_tackle,irw_text_2,published
mede_2025_normperc,irw_text_2,published
mede_2025_outspokenness,irw_text_2,published
mede_2025_sciengage,irw_text_2,published
mede_2025_sciinfo,irw_text_2,published
mede_2025_scipop,irw_text_2,published
mede_2025_sdo,irw_text_2,published
mede_2025_trust_scientists,irw_text_2,published
mede_2025_willvul,irw_text_2,published
medvedev_2018_oxh,irw_text_2,published
medvedev_2018_pan,irw_text_2,published
megart_tonkovic_2021,irw_text_2,published
mekheimer_2026_flp,irw_text_2,published
meloni_2015_child_disab_knowledge,irw_text_2,published
meloni_2015_child_ia_frequency,irw_text_2,published
meloni_2015_child_ia_satisfaction,irw_text_2,published
meloni_2015_deq_ce_child,irw_text_2,published
meloni_2015_deq_ce_parent,irw_text_2,published
meloni_2015_deq_oe_child,irw_text_2,published
meloni_2015_deq_oe_parent,irw_text_2,published
meloni_2015_parent_divers_ed,irw_text_2,published
meloni_2015_parent_interests,irw_text_2,published
menaldi_2023_brief_cope,irw_text_2,published
mendes_2019_snycq,irw_text_2,published
meng_2017_referent_assignment,irw_text_2,published
mental_health_wang_2024_gad,irw_text_2,published
mental_health_wang_2024_phq,irw_text_2,published
merlo2025_eet,irw_text_2,published
merlo2025_eng_cognitive,irw_text_2,published
merlo2025_eng_emotional,irw_text_2,published
metacogmonitoring_double2025,irw_text_2,published
mexico_2023_mobility_anxiety,irw_text_3,published
mexico_2023_mobility_appliances,irw_text_3,published
mexico_2023_mobility_articles,irw_text_3,published
mexico_2023_mobility_assets,irw_text_3,published
mexico_2023_mobility_community,irw_text_3,published
mexico_2023_mobility_finances,irw_text_3,published
mexico_2023_mobility_mood,irw_text_3,published
mexico_2023_mobility_necessities,irw_text_3,published
mexico_2023_mobility_neighborhood,irw_text_3,published
mexico_2023_mobility_rooms,irw_text_3,published
mexico_2023_mobility_services,irw_text_3,published
mexico_2023_mobility_spaces,irw_text_3,published
mexico_2023_mobility_utilities,irw_text_3,published
mexico_2023_quality_administration,irw_text,published
mexico_2023_quality_buses,irw_text,published
mexico_2023_quality_cablecars,irw_text,published
mexico_2023_quality_confidence,irw_text,published
mexico_2023_quality_corruption,irw_text,published
mexico_2023_quality_corruptionperception,irw_text,published
mexico_2023_quality_drainage,irw_text,published
mexico_2023_quality_electricgovernment,irw_text,published
mexico_2023_quality_generalcorruption,irw_text,published
mexico_2023_quality_health,irw_text,published
mexico_2023_quality_healthservice,irw_text,published
mexico_2023_quality_highways,irw_text,published
mexico_2023_quality_homelightning,irw_text,published
mexico_2023_quality_lightning,irw_text,published
mexico_2023_quality_low,irw_text,published
mexico_2023_quality_parks,irw_text,published
mexico_2023_quality_police,irw_text,published
mexico_2023_quality_problems,irw_text,published
mexico_2023_quality_roads,irw_text,published
mexico_2023_quality_schooling,irw_text,published
mexico_2023_quality_streets,irw_text,published
mexico_2023_quality_trains,irw_text,published
mexico_2023_quality_transportationstations,irw_text,published
mexico_2023_quality_trash,irw_text,published
mexico_2023_quality_university,irw_text,published
mexico_2023_quality_water,irw_text,published
mexico_2023_quality_wellbeing,irw_text,published
mexico_2023_quality_wellbeingservice,irw_text,published
mft_validationandreplication,irw_text,published
mgkt,irw_text,published
mhscdc_fried_2020_anger,irw_text,published
mhscdc_fried_2020_conscientiousness,irw_text,published
mhscdc_fried_2020_dass,irw_text,published
mhscdc_fried_2020_ema,irw_text_2,published
mhscdc_fried_2020_loneliness,irw_text,published
mhscdc_fried_2020_mindfullness,irw_text,published
mhscdc_fried_2020_motivation,irw_text,published
mhscdc_fried_2020_procrastination,irw_text,published
mhscdc_fried_2020_se,irw_text_2,published
mhscdc_fried_2020_smartphone,irw_text_2,published
mhscdc_fried_2020_tired,irw_text,published
milavic_2019_psisysf,irw_text_2,published
milson_2026_self_esteem,irw_text_2,published
mindfulness_assessment,irw_text_2,published
mironshatz_2015_happiness_beliefs,irw_text_3,published
mistry_2022_hardship,irw_text_2,published
mobility,irw_text_2,published
moe2025_erq,irw_text_2,published
moe2025_scs,irw_text_2,published
mohammed_2021_job_satisfaction,irw_text,published
mohammed_2021_patient_safety_culture,irw_text_2,published
molino_2018_d5_scale,irw_text_2,published
monier_2026_pot,irw_text_2,published
monier_2026_sti,irw_text_2,published
moon_2023_korean_proficiency,irw_text_2,published
moon_2023_pregnancy_stress,irw_text,published
moon_2023_selfesteem,irw_text,published
moon_2023_spousal_support,irw_text,published
morales_2021_erq,irw_text_2,published
morgan_2026_music_personality_music_activity,irw_text,published
morgan_2026_music_personality_stompr,irw_text_2,published
motion,irw_text_2,published
movac_pakpour2022,irw_text,published
mpsycho_asti,irw_text,published
mpsycho_avlancheprep,irw_text_2,published
mpsycho_bsss,irw_text,published
mpsycho_ceaq,irw_text,published
mpsycho_condom,irw_text,published
mpsycho_lakes,irw_text,published
mpsycho_learnemo,irw_text,published
mpsycho_rmotivation,irw_text,published
mpsycho_rogers_depression,irw_text,published
mpsycho_rogers_ocd,irw_text,published
mpsycho_rwdq,irw_text,published
mpsycho_wenchuan,irw_text,published
mpsycho_wilpat,irw_text,published
mpsycho_youthdep,irw_text,published
mturkddm_by,irw_text_2,published
mturkddm_lexical,irw_text_2,published
mturkddm_recognition,irw_text_2,published
mturkddm_y25,irw_text_2,published
much_tte_2025_concentrationtask,irw_text_2,published
much_tte_2025_currentmotivation,irw_text_2,published
much_tte_2025_effort,irw_text_2,published
much_tte_2025_matrixreasoning,irw_text_2,published
muir_2025_resilience_behaviours,irw_text_2,published
muir_2025_resilience_opinions,irw_text_2,published
muller_2016_dog_inhibition,irw_text_2,published
muslih_2024_rses,irw_text_2,published
naja_2024_challenges,irw_text_2,published
najari_2024_bpqsf_awareness,irw_text_2,published
nakano_2020_osce_contact_precautions,irw_text_2,published
nam_2024_function,irw_text_2,published
namprb_siwiak_2024_aot,irw_text,published
namprb_siwiak_2024_bsr10,irw_text,published
namprb_siwiak_2024_desrpl,irw_text,published
namprb_siwiak_2024_gcbs,irw_text,published
namprb_siwiak_2024_kon2066,irw_text,published
namprb_siwiak_2024_kop20,irw_text,published
narcissistic_personality_inventory,irw_text_2,published
narqing,irw_text,published
nas_rogoza_2024_study1,irw_text_2,published
nas_rogoza_2024_study2_nas,irw_text_2,published
nas_rogoza_2024_study2_ngs,irw_text_2,published
nas_rogoza_2024_study2_nvs,irw_text_2,published
nas_rogoza_2024_study5_nas,irw_text_2,published
nas_rogoza_2024_study5_ngs,irw_text_2,published
nas_rogoza_2024_study5_nvs,irw_text_2,published
nelson2019_ipqrd,irw_text_2,published
nelson_2019_ipqrde,irw_text_2,published
neurodegenerative_huizinga_2019_dass,irw_text_2,published
neurodegenerative_huizinga_2019_svc,irw_text_2,published
neurodegenerative_huizinga_2019_vfq,irw_text_2,published
nfc_kay_2025,irw_text,published
ngo_2025_green_attitude,irw_text_2,published
ngo_2025_green_pbc,irw_text_2,published
ngo_2025_green_purchase_behavior,irw_text_2,published
ngo_2025_green_purchase_intention,irw_text_2,published
ngo_2025_green_subjective_norm,irw_text_2,published
