wave,deposit,table,verdict,instrument,wording_source,evidence,rights,rights_sha256,old_agrees,old_disagree_reason,effort,slice,retry,redo_note
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_communication,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_devices,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_entertainment,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_govperception,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_govservices,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_information,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_ownership,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_places,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_safety,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_skills,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_socialmedia,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_streaming,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_transactions,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,https://www4.ine.gub.uy/anda5/index.php/catalog/736/get-microdata,uruguay_2022_technology_work,RIGHTS_BLOCK,INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022,,"Questionnaire (catalog/736/download/1249) and variable dictionary (download/1247) reached and carry the wording, but the distributor's access terms reserve redistribution of the data AND other materials.","quote:""Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente."" https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata",fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba,na,,low,4,,
1,10.1371/journal.pone.0325835,ye_2025_q15_scale,RIGHTS_BLOCK,"HLS-EU-Q16 / HLS19-Q12 health literacy items (HLS-EU / HLS19 Consortium), Chinese",,"Chinese wording of all 9 items is in the S1 SPSS variable labels (e.g. Q15_Row2 ""了解药物随附的说明书""); items are HLS-EU health-literacy items (package leaflet, ambulance, vaccinations, sports club). Owner requires a contractual agreement.","quote:""The ownership of the HLS19-Q12 rests with the HLS19 Consortium... can be used by third parties for research purposes free of charge but requires a contractual agreement between the user and the ICC of the HLS19 Consortium."" https://m-pohl.net/sites/m-pohl.net/files/inline-files/Factsheet%20HLS19-Q12.pdf (upstream check: paper and SI silent; m-pohl.net/tools returned Access denied)",060302d8a5efc127b177a1e915ab7f5ce9d59bc9ec1ea5eebd5b375745538274,no,"Wording IS available (SPSS labels); the bar is the consortium agreement, not absence",low,4,,
1,10.1371/journal.pone.0325835,ye_2025_q32_scale,RIGHTS_BLOCK,"Mixed: SWLS (items 1-5) + 8-item rest/leisure-guilt scale (items 6-13), Chinese",,"S1 SPSS labels hold all 13 Chinese items; Q32_Row1-5 are the Satisfaction With Life Scale verbatim (""我生活中的大多数方面接近我的理想""...), Row6-13 a separate leisure-guilt scale. Table mixes two instruments.",register:Satisfaction With Life Scale (SWLS) block,,no,"Wording IS in the SPSS variable labels; blocked by the SWLS register row, not unavailable",low,4,,
1,10.5281/zenodo.7219876,tu_2022_achievement_motivation,NOT_PUBLISHED,"Achievement Motivation Scale (Gjesme & Nygard; Chinese AMS, Ye & Hagtvet), 30 items",,"Zenodo record (landing page via fetch) has only data.sav and a one-line description, no codebook or paper; processing header says CD1..CD30 are labelled only 成就动机. zenodo.org API/file returned 403 (rate limit) to curl, so labels were not re-read directly.",n/a,,na,,high,4,,
1,10.3886/e182542v1,gilbert_meta_21,UNREACHABLE,Mathematical equivalence assessment (Davenport et al. 2023 efficacy study),,"openICPSR project 182542 returns a Cloudflare ""Just a moment"" challenge (403); JREE article (Taylor & Francis) has no open copy per OpenAlex; no processing script names this table.",n/a,,yes,,medium,4,,
1,10.7910/dvn/svgxvf,goldberg_2018_hpq_h,OBTAINABLE,"Health Practices Questionnaire = Health Behavior Checklist items (Vickers, Conway & Hervig 1990)","https://dataverse.harvard.edu/api/access/datafile/3129146 (HPQ_items.txt, h1-h39); also HPQ.tab SPSS variable labels","Deposit ships HPQ_items.txt with all 39 item texts (""h1 I eat a balanced diet."" ... ""h39 I engage in activities or hobbies where accidents are possible.""), keyed h1-h39 to the data columns.","silence (checked: distributor none found; origin Vickers et al. 1990 Prev Med, Elsevier closed, copyright notice only; deposit CC0)",,na,,low,4,,
1,10.1371/journal.pone.0249397,kowal_2021_kidney_donor_body_image,RIGHTS_BLOCK,"Body Esteem Scale (Franzoi & Shields 1984), Polish adaptation (Lipowska & Lipowski 2013)",,PLOS S1 Questionnaire has codes only; paper gives example items. Authors state they lack permission to publish the Polish BES; the Polish adaptation paper (Health Psychology Report 2013) is CC BY-NC-SA per OpenAlex.,"quote:""The Body Esteem Scale, adapted by Małgorzata Lipowska and Mariusz Lipowski, is a tool open to the public in Poland. Nevertheless, we do not have permission to make its original version available in scientific publications."" https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0249397 (peer-review response); upstream: Lipowska & Lipowski 2013 doi:10.5114/hpr.2013.40471 CC BY-NC-SA (OpenAlex)",371394a0a082cbe39c5948f8453148d2b1d5e1aa5d4033c1db3d01afcd094419,no,"Not a fetch block: the wording is withheld by permission, and the Polish original is NC-licensed",medium,4,,
1,https://www.cis.es/es/estudios/percepcion-social-del-amor?cuestionario=17968&muestra=26284&pregunta=658784&variable=1102094&charttype=bar,spain_2026_love_apps,OBTAINABLE,CIS Estudio 3508 Percepción social del amor,https://www.cis.es/documents/20117/13782736/cues3508.pdf/cc61ce1e-d154-cab8-26a1-fd6cf786bea0 P.16 (7 statements),"CIS questionnaire PDF cues3508 reached; item wording present (e.g. P.1 ""La familia / El trabajo / La salud...""). Codes p1_1.. map to questionnaire numbering.","quote:""Las presentes condiciones generales permiten la reutilización de los documentos sometidos a ellas para fines comerciales y no comerciales... La reutilización autorizada incluye... la copia, difusión, modificación, adaptación..."" conditions: cite CIS, ""Está prohibido desnaturalizar el sentido de la información"" (integrity condition, not a reservation; modification expressly allowed) https://www.cis.es/es/condiciones-reutilizaci%C3%B3n-datos-del-cis; own items (CIS questionnaire, no upstream)",2b4236d60a2495fbaf576fc1b335f2ccaa71016fd24fe7bee5f6cbe3ba6e6ef3,na,,low,4,,
1,https://www.cis.es/es/estudios/percepcion-social-del-amor?cuestionario=17968&muestra=26284&pregunta=658784&variable=1102094&charttype=bar,spain_2026_love_association,OBTAINABLE,CIS Estudio 3508 Percepción social del amor,https://www.cis.es/documents/20117/13782736/cues3508.pdf/cc61ce1e-d154-cab8-26a1-fd6cf786bea0 P.3 (9 words),"CIS questionnaire PDF cues3508 reached; item wording present (e.g. P.1 ""La familia / El trabajo / La salud...""). Codes p1_1.. map to questionnaire numbering.","quote:""Las presentes condiciones generales permiten la reutilización de los documentos sometidos a ellas para fines comerciales y no comerciales... La reutilización autorizada incluye... la copia, difusión, modificación, adaptación..."" conditions: cite CIS, ""Está prohibido desnaturalizar el sentido de la información"" (integrity condition, not a reservation; modification expressly allowed) https://www.cis.es/es/condiciones-reutilizaci%C3%B3n-datos-del-cis; own items (CIS questionnaire, no upstream)",2b4236d60a2495fbaf576fc1b335f2ccaa71016fd24fe7bee5f6cbe3ba6e6ef3,na,,low,4,,
1,https://www.cis.es/es/estudios/percepcion-social-del-amor?cuestionario=17968&muestra=26284&pregunta=658784&variable=1102094&charttype=bar,spain_2026_love_attitudes,OBTAINABLE,CIS Estudio 3508 Percepción social del amor,https://www.cis.es/documents/20117/13782736/cues3508.pdf/cc61ce1e-d154-cab8-26a1-fd6cf786bea0 P.4 (8 statements),"CIS questionnaire PDF cues3508 reached; item wording present (e.g. P.1 ""La familia / El trabajo / La salud...""). Codes p1_1.. map to questionnaire numbering.","quote:""Las presentes condiciones generales permiten la reutilización de los documentos sometidos a ellas para fines comerciales y no comerciales... La reutilización autorizada incluye... la copia, difusión, modificación, adaptación..."" conditions: cite CIS, ""Está prohibido desnaturalizar el sentido de la información"" (integrity condition, not a reservation; modification expressly allowed) https://www.cis.es/es/condiciones-reutilizaci%C3%B3n-datos-del-cis; own items (CIS questionnaire, no upstream)",2b4236d60a2495fbaf576fc1b335f2ccaa71016fd24fe7bee5f6cbe3ba6e6ef3,na,,low,4,,
1,https://www.cis.es/es/estudios/percepcion-social-del-amor?cuestionario=17968&muestra=26284&pregunta=658784&variable=1102094&charttype=bar,spain_2026_love_conceptions,OBTAINABLE,CIS Estudio 3508 Percepción social del amor,https://www.cis.es/documents/20117/13782736/cues3508.pdf/cc61ce1e-d154-cab8-26a1-fd6cf786bea0 P.10-P.13,"CIS questionnaire PDF cues3508 reached; item wording present (e.g. P.1 ""La familia / El trabajo / La salud...""). Codes p1_1.. map to questionnaire numbering.","quote:""Las presentes condiciones generales permiten la reutilización de los documentos sometidos a ellas para fines comerciales y no comerciales... La reutilización autorizada incluye... la copia, difusión, modificación, adaptación..."" conditions: cite CIS, ""Está prohibido desnaturalizar el sentido de la información"" (integrity condition, not a reservation; modification expressly allowed) https://www.cis.es/es/condiciones-reutilizaci%C3%B3n-datos-del-cis; own items (CIS questionnaire, no upstream)",2b4236d60a2495fbaf576fc1b335f2ccaa71016fd24fe7bee5f6cbe3ba6e6ef3,na,,low,4,,
1,https://www.cis.es/es/estudios/percepcion-social-del-amor?cuestionario=17968&muestra=26284&pregunta=658784&variable=1102094&charttype=bar,spain_2026_love_desire,OBTAINABLE,CIS Estudio 3508 Percepción social del amor,"https://www.cis.es/documents/20117/13782736/cues3508.pdf/cc61ce1e-d154-cab8-26a1-fd6cf786bea0 P.19, P.22a","CIS questionnaire PDF cues3508 reached; item wording present (e.g. P.1 ""La familia / El trabajo / La salud...""). Codes p1_1.. map to questionnaire numbering.","quote:""Las presentes condiciones generales permiten la reutilización de los documentos sometidos a ellas para fines comerciales y no comerciales... La reutilización autorizada incluye... la copia, difusión, modificación, adaptación..."" conditions: cite CIS, ""Está prohibido desnaturalizar el sentido de la información"" (integrity condition, not a reservation; modification expressly allowed) https://www.cis.es/es/condiciones-reutilizaci%C3%B3n-datos-del-cis; own items (CIS questionnaire, no upstream)",2b4236d60a2495fbaf576fc1b335f2ccaa71016fd24fe7bee5f6cbe3ba6e6ef3,na,,low,4,,
1,https://www.cis.es/es/estudios/percepcion-social-del-amor?cuestionario=17968&muestra=26284&pregunta=658784&variable=1102094&charttype=bar,spain_2026_love_gestures,OBTAINABLE,CIS Estudio 3508 Percepción social del amor,"https://www.cis.es/documents/20117/13782736/cues3508.pdf/cc61ce1e-d154-cab8-26a1-fd6cf786bea0 P.7, P.8, P.9","CIS questionnaire PDF cues3508 reached; item wording present (e.g. P.1 ""La familia / El trabajo / La salud...""). Codes p1_1.. map to questionnaire numbering.","quote:""Las presentes condiciones generales permiten la reutilización de los documentos sometidos a ellas para fines comerciales y no comerciales... La reutilización autorizada incluye... la copia, difusión, modificación, adaptación..."" conditions: cite CIS, ""Está prohibido desnaturalizar el sentido de la información"" (integrity condition, not a reservation; modification expressly allowed) https://www.cis.es/es/condiciones-reutilizaci%C3%B3n-datos-del-cis; own items (CIS questionnaire, no upstream)",2b4236d60a2495fbaf576fc1b335f2ccaa71016fd24fe7bee5f6cbe3ba6e6ef3,na,,low,4,,
1,https://www.cis.es/es/estudios/percepcion-social-del-amor?cuestionario=17968&muestra=26284&pregunta=658784&variable=1102094&charttype=bar,spain_2026_love_importance,OBTAINABLE,CIS Estudio 3508 Percepción social del amor,https://www.cis.es/documents/20117/13782736/cues3508.pdf/cc61ce1e-d154-cab8-26a1-fd6cf786bea0 P.1 (10 items),"CIS questionnaire PDF cues3508 reached; item wording present (e.g. P.1 ""La familia / El trabajo / La salud...""). Codes p1_1.. map to questionnaire numbering.","quote:""Las presentes condiciones generales permiten la reutilización de los documentos sometidos a ellas para fines comerciales y no comerciales... La reutilización autorizada incluye... la copia, difusión, modificación, adaptación..."" conditions: cite CIS, ""Está prohibido desnaturalizar el sentido de la información"" (integrity condition, not a reservation; modification expressly allowed) https://www.cis.es/es/condiciones-reutilizaci%C3%B3n-datos-del-cis; own items (CIS questionnaire, no upstream)",2b4236d60a2495fbaf576fc1b335f2ccaa71016fd24fe7bee5f6cbe3ba6e6ef3,na,,low,4,,
1,https://www.cis.es/es/estudios/percepcion-social-del-amor?cuestionario=17968&muestra=26284&pregunta=658784&variable=1102094&charttype=bar,spain_2026_love_usage,OBTAINABLE,CIS Estudio 3508 Percepción social del amor,"https://www.cis.es/documents/20117/13782736/cues3508.pdf/cc61ce1e-d154-cab8-26a1-fd6cf786bea0 P.15, P.15a, P.15b","CIS questionnaire PDF cues3508 reached; item wording present (e.g. P.1 ""La familia / El trabajo / La salud...""). Codes p1_1.. map to questionnaire numbering.","quote:""Las presentes condiciones generales permiten la reutilización de los documentos sometidos a ellas para fines comerciales y no comerciales... La reutilización autorizada incluye... la copia, difusión, modificación, adaptación..."" conditions: cite CIS, ""Está prohibido desnaturalizar el sentido de la información"" (integrity condition, not a reservation; modification expressly allowed) https://www.cis.es/es/condiciones-reutilizaci%C3%B3n-datos-del-cis; own items (CIS questionnaire, no upstream)",2b4236d60a2495fbaf576fc1b335f2ccaa71016fd24fe7bee5f6cbe3ba6e6ef3,na,,low,4,,
1,10.17605/osf.io/9j6hm,test_taking_much_2025_ao,NEEDS_HUMAN,"Action Control Scale (ACS-90, Kuhl 1994), AOF subscale, 12 items",,"JOPD data paper: ""Due to the copyright of the material, it cannot be republished in the study's repository but is available from the cited source."" Items are in Kuhl 1994 (book), not in the OSF deposit. Question: does a study withholding a book-published scale for copyright count as the Shipley-type exclusion when no originator terms page was found?","quote:""Due to the copyright of the material, it cannot be republished in the study's repository but is available from the cited source."" https://openpsychologydata.metajnl.com/articles/10.5334/jopd.124",,na,,medium,4,,
1,10.17605/osf.io/9j6hm,test_taking_much_2025_cm,OBTAINABLE,Current motivation: 3 rephrased TTMI-Effort items (Knekta & Eklöf 2015) x 3 timepoints,"https://osf.io/download/hnr93/ (efcm_ItemOverview.pdf) column ""Current study - Current Motivation""","OSF item overview gives the 3 rephrased items (""I will do my best on the next test block."" etc.); 9 = 3 items x t1-t3.","silence (checked: distributor none found; origin Knekta & Eklöf 2015 J Psychoeduc Assess, SAGE closed, no CC/terms; rephrasing is the study authors', OSF/JOPD CC BY 4.0)",,na,,low,4,,
1,10.17605/osf.io/9j6hm,test_taking_much_2025_ct,NOT_ITEM_TEXT,Letter-counting concentration task (study-built),,"Letter-grid counting items (count target letter in 4x15 grid), 3 items x 3 timepoints; stimuli are letter grids at osf.io/htrmu, not worded items.",n/a,,na,,high,4,,
1,10.17605/osf.io/9j6hm,test_taking_much_2025_ef,OBTAINABLE,Test-taking effort: 5 rephrased TTMI-Effort items (Knekta & Eklöf 2015) x 2 timepoints,"https://osf.io/download/hnr93/ (efcm_ItemOverview.pdf) column ""Current study - Effort""","OSF item overview gives all 5 rephrased effort items (""I did my best on the previous test block."" ...); 10 = 5 x t2,t3.","silence (checked: distributor none found; origin Knekta & Eklöf 2015 J Psychoeduc Assess, SAGE closed, no CC/terms; rephrasing is the study authors', CC BY 4.0)",,na,,low,4,,
1,10.17605/osf.io/9j6hm,test_taking_much_2025_mr,NOT_ITEM_TEXT,Open Matrices Item Bank figural matrix items (Koch et al. 2022),,"Figural 3x3 matrix items answered by selecting figural elements; no verbal content. Pictured matrices are at osf.io/r43zf (images, not text).",n/a,,na,,high,4,,
1,10.1027/1015-5759/a000807,sabers_vesper2023,OBTAINABLE,"Strike Attitude and Behavioral Reactions Scale (SABeRS), 15 items, DE/EN/FR","https://osf.io/download/2taek/ (Items_SABeRS_German_English_French.pdf, OSF 46bdr)","OSF file lists all 15 items in three languages by factor (negative reactions, legitimacy, informing, social network, support), 3 each; maps to negaf1-3, leg1-3, info1-3, sozn1-3, unt1-3.",silence (own items; origin Vesper & König 2022 J Bus Psychol doi:10.1007/s10869-022-09801-7 CC BY 4.0; EJPA 2024 paper CC BY; OSF project CC BY 4.0; distributor none found),,no,Items are in an OSF file in the linked project; OSF was reachable via API,low,4,,
1,10.3758/s13428-024-02480-7,idcr_martinez_2023_analogies,UNREACHABLE,Martinez 2024 cognitive battery: analogies,,"OSF 5qxkh item-level files have numeric item headers only, no stimuli; README says only non-proprietary tasks have videos (related project 5njbs). The BRM paper (Springer, bronze OA) returned a bot ""Client Challenge"" page for both HTML and PDF; no PMC copy.",n/a,,na,,high,4,,
1,10.3758/s13428-024-02480-7,idcr_martinez_2023_info,UNREACHABLE,Martinez 2024 cognitive battery: info,,"OSF 5qxkh item-level files have numeric item headers only, no stimuli; README says only non-proprietary tasks have videos (related project 5njbs). The BRM paper (Springer, bronze OA) returned a bot ""Client Challenge"" page for both HTML and PDF; no PMC copy.",n/a,,na,,high,4,,
1,10.3758/s13428-024-02480-7,idcr_martinez_2023_lns,UNREACHABLE,Martinez 2024 cognitive battery: lns,,"OSF 5qxkh item-level files have numeric item headers only, no stimuli; README says only non-proprietary tasks have videos (related project 5njbs). The BRM paper (Springer, bronze OA) returned a bot ""Client Challenge"" page for both HTML and PDF; no PMC copy.",n/a,,na,,high,4,,
1,10.3758/s13428-024-02480-7,idcr_martinez_2023_matches,UNREACHABLE,Martinez 2024 cognitive battery: matches,,"OSF 5qxkh item-level files have numeric item headers only, no stimuli; README says only non-proprietary tasks have videos (related project 5njbs). The BRM paper (Springer, bronze OA) returned a bot ""Client Challenge"" page for both HTML and PDF; no PMC copy.",n/a,,na,,high,4,,
1,10.3758/s13428-024-02480-7,idcr_martinez_2023_numSeries,UNREACHABLE,Martinez 2024 cognitive battery: numSeries,,"OSF 5qxkh item-level files have numeric item headers only, no stimuli; README says only non-proprietary tasks have videos (related project 5njbs). The BRM paper (Springer, bronze OA) returned a bot ""Client Challenge"" page for both HTML and PDF; no PMC copy.",n/a,,no,"Could not confirm: paper unreachable here; OSF confirms no stimuli, so absence from the paper is unverified",high,4,,
1,10.3758/s13428-024-02480-7,idcr_martinez_2023_ps,UNREACHABLE,Martinez 2024 cognitive battery: ps,,"OSF 5qxkh item-level files have numeric item headers only, no stimuli; README says only non-proprietary tasks have videos (related project 5njbs). The BRM paper (Springer, bronze OA) returned a bot ""Client Challenge"" page for both HTML and PDF; no PMC copy.",n/a,,na,,high,4,,
1,10.3758/s13428-024-02480-7,idcr_martinez_2023_raco,UNREACHABLE,Martinez 2024 cognitive battery: raco,,"OSF 5qxkh item-level files have numeric item headers only, no stimuli; README says only non-proprietary tasks have videos (related project 5njbs). The BRM paper (Springer, bronze OA) returned a bot ""Client Challenge"" page for both HTML and PDF; no PMC copy.",n/a,,na,,high,4,,
1,10.3758/s13428-024-02480-7,idcr_martinez_2023_ravens,UNREACHABLE,Martinez 2024 cognitive battery: ravens,,"OSF 5qxkh item-level files have numeric item headers only, no stimuli; README says only non-proprietary tasks have videos (related project 5njbs). The BRM paper (Springer, bronze OA) returned a bot ""Client Challenge"" page for both HTML and PDF; no PMC copy. Likely Raven's APM short form (Pearson), which would block if confirmed.",n/a,,na,,high,4,,
