deposit,table,verdict,instrument,wording_source,evidence,rights,old_agrees,old_disagree_reason,effort,slice
10.1371/journal.pone.0170225,wolf_2017_study1_anxiety,RIGHTS_BLOCK,"STAI state form, 10-item/6-item short selection (Spielberger)",,"Wording IS published: SPSS variable labels in S1 (anx1-10) and S2 (anx_pre1-6, anx_post1-10) give every item. It is blocked only by the register STAI row.",register:State-Trait Anxiety Inventory (STAI / STAI-6),yes,"Same outcome (withhold), but old audit's claim that the wording is unpublished is false: it is in the S1/S2 .sav labels.",low,2
10.1371/journal.pone.0170225,wolf_2017_study2_anxiety_post,RIGHTS_BLOCK,"STAI state form, 10-item/6-item short selection (Spielberger)",,"Wording IS published: SPSS variable labels in S1 (anx1-10) and S2 (anx_pre1-6, anx_post1-10) give every item. It is blocked only by the register STAI row.",register:State-Trait Anxiety Inventory (STAI / STAI-6),yes,"Same outcome (withhold), but old audit's claim that the wording is unpublished is false: it is in the S1/S2 .sav labels.",low,2
10.1371/journal.pone.0170225,wolf_2017_study2_anxiety_pre,RIGHTS_BLOCK,"STAI state form, 10-item/6-item short selection (Spielberger)",,"Wording IS published: SPSS variable labels in S1 (anx1-10) and S2 (anx_pre1-6, anx_post1-10) give every item. It is blocked only by the register STAI row.",register:State-Trait Anxiety Inventory (STAI / STAI-6),yes,"Same outcome (withhold), but old audit's claim that the wording is unpublished is false: it is in the S1/S2 .sav labels.",low,2
10.1371/journal.pone.0170225,wolf_2017_study2_video_liking,OBTAINABLE,Study-built video-liking items (Wolf et al. 2017),https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0170225.s002 (SPSS labels like1-like6),"S2 .sav variable labels give all 6 items, e.g. like5 ""I liked the video"". The count matches n_items=6.",silence,no,Old audit read only the paper; the wording is in the S2 data-file labels.,low,2
10.6084/m9.figshare.31387864,mekheimer_2026_cai,OBTAINABLE,"Cultural-Academic Identity scale (study-built, Mekheimer 2026)","https://ndownloader.figshare.com/files/62067250 (Additional file 4, figshare 31387855: Appendices)","The Additional file 4 docx (figshare API, CC BY) prints all 18 items in order, matching the CAI_1..18 columns in Additional file 7. Reached through the figshare API, with no WAF in the way.",silence,no,Old audit hit Springer/figshare web walls. The figshare API serves the appendices docx directly.,low,2
10.6084/m9.figshare.31387864,mekheimer_2026_flp,OBTAINABLE,"Academic English proficiency self-assessment (study-built, Mekheimer 2026)","https://ndownloader.figshare.com/files/62067250 (Additional file 4, figshare 31387855: Appendices)","The Additional file 4 docx (figshare API, CC BY) prints all 4 items in order, matching the FLP_1..4 columns in Additional file 7. Reached through the figshare API, with no WAF in the way.",silence,no,Old audit hit Springer/figshare web walls. The figshare API serves the appendices docx directly.,low,2
10.6084/m9.figshare.31387864,mekheimer_2026_id,OBTAINABLE,"Identity Dissonance Scale (study-built, Mekheimer 2026)","https://ndownloader.figshare.com/files/62067250 (Additional file 4, figshare 31387855: Appendices)","The Additional file 4 docx (figshare API, CC BY) prints all 10 items in order, matching the ID_1..10 columns in Additional file 7. Reached through the figshare API, with no WAF in the way.",silence,no,Old audit hit Springer/figshare web walls. The figshare API serves the appendices docx directly.,low,2
10.6084/m9.figshare.31387864,mekheimer_2026_paf,OBTAINABLE,"Perceived Academic Freedom scale (study-built, Mekheimer 2026)","https://ndownloader.figshare.com/files/62067250 (Additional file 4, figshare 31387855: Appendices)","The Additional file 4 docx (figshare API, CC BY) prints all 10 items in order, matching the PAF_1..10 columns in Additional file 7. Reached through the figshare API, with no WAF in the way.",silence,no,Old audit hit Springer/figshare web walls. The figshare API serves the appendices docx directly.,low,2
10.1207/s15327906347-387,joreskog_moustaki_2001,UNREACHABLE,"Unidentified 6-item, 3-category attitude battery (Table 3 of paper)",,"The paper is closed access (OpenAlex: closed; the LSE eprint has no full text). The ResearchGate PDF returns 403. The IRW script only says ""table 3"", so I could not identify the instrument without the paper.",n/a,yes,,medium,2
10.7910/dvn/zdnsfj,feng2026_autonomy,NOT_PUBLISHED,"Study-built TAM/SDT constructs (PU, PEOU, AUT, COMP, EC, IM, BI)",,"The Dataverse API lists one file (date.xlsx) with headers PU1..BI3 only. There is no codebook, and the description gives no items. OpenAlex searches found no associated paper.",n/a,yes,,n/a,2
10.7910/dvn/zdnsfj,feng2026_behavioral_intention,NOT_PUBLISHED,"Study-built TAM/SDT constructs (PU, PEOU, AUT, COMP, EC, IM, BI)",,"The Dataverse API lists one file (date.xlsx) with headers PU1..BI3 only. There is no codebook, and the description gives no items. OpenAlex searches found no associated paper.",n/a,yes,,n/a,2
10.7910/dvn/zdnsfj,feng2026_competence,NOT_PUBLISHED,"Study-built TAM/SDT constructs (PU, PEOU, AUT, COMP, EC, IM, BI)",,"The Dataverse API lists one file (date.xlsx) with headers PU1..BI3 only. There is no codebook, and the description gives no items. OpenAlex searches found no associated paper.",n/a,yes,,n/a,2
10.7910/dvn/zdnsfj,feng2026_ec,NOT_PUBLISHED,"Study-built TAM/SDT constructs (PU, PEOU, AUT, COMP, EC, IM, BI)",,"The Dataverse API lists one file (date.xlsx) with headers PU1..BI3 only. There is no codebook, and the description gives no items. OpenAlex searches found no associated paper.",n/a,yes,,n/a,2
10.7910/dvn/zdnsfj,feng2026_intrinsic_motivation,NOT_PUBLISHED,"Study-built TAM/SDT constructs (PU, PEOU, AUT, COMP, EC, IM, BI)",,"The Dataverse API lists one file (date.xlsx) with headers PU1..BI3 only. There is no codebook, and the description gives no items. OpenAlex searches found no associated paper.",n/a,yes,,n/a,2
10.7910/dvn/zdnsfj,feng2026_perceived_ease_of_use,NOT_PUBLISHED,"Study-built TAM/SDT constructs (PU, PEOU, AUT, COMP, EC, IM, BI)",,"The Dataverse API lists one file (date.xlsx) with headers PU1..BI3 only. There is no codebook, and the description gives no items. OpenAlex searches found no associated paper.",n/a,yes,,n/a,2
10.7910/dvn/zdnsfj,feng2026_perceived_usefulness,NOT_PUBLISHED,"Study-built TAM/SDT constructs (PU, PEOU, AUT, COMP, EC, IM, BI)",,"The Dataverse API lists one file (date.xlsx) with headers PU1..BI3 only. There is no codebook, and the description gives no items. OpenAlex searches found no associated paper.",n/a,yes,,n/a,2
10.5281/zenodo.15116678,ilearnathome_regalado_2025,OBTAINABLE,Study-built ICT pedagogical-use questionnaire (Aprendo en casa),"https://zenodo.org/records/15116678 DATA.xlsx, sheet ""Questions"", items 1-15","The ""Questions"" sheet lists 15 Always/Sometimes/Never items in English. The count matches n_items=15. The administered wording was probably Spanish; this sheet is an English rendering.",silence,no,Old audit never opened the deposit. The Zenodo DATA.xlsx carries a Questions sheet.,low,2
10.7910/dvn/iek9pw,personality_entrepreneurship_brazil__abex,NOT_PUBLISHED,Big-Five-style subscales plus entrepreneurial intention (unnamed source),,"The Dataverse API shows one file (Base EI_vf.xlsx) with headers ABEX1..NEU4 only. The metadata ""publication"" field lists background references, not the study paper. OpenAlex search found no paper.",n/a,yes,,n/a,2
10.7910/dvn/iek9pw,personality_entrepreneurship_brazil__con,NOT_PUBLISHED,Big-Five-style subscales plus entrepreneurial intention (unnamed source),,"The Dataverse API shows one file (Base EI_vf.xlsx) with headers ABEX1..NEU4 only. The metadata ""publication"" field lists background references, not the study paper. OpenAlex search found no paper.",n/a,yes,,n/a,2
10.7910/dvn/iek9pw,personality_entrepreneurship_brazil__ex,NOT_PUBLISHED,Big-Five-style subscales plus entrepreneurial intention (unnamed source),,"The Dataverse API shows one file (Base EI_vf.xlsx) with headers ABEX1..NEU4 only. The metadata ""publication"" field lists background references, not the study paper. OpenAlex search found no paper.",n/a,yes,,n/a,2
10.7910/dvn/iek9pw,personality_entrepreneurship_brazil__inem,NOT_PUBLISHED,Big-Five-style subscales plus entrepreneurial intention (unnamed source),,"The Dataverse API shows one file (Base EI_vf.xlsx) with headers ABEX1..NEU4 only. The metadata ""publication"" field lists background references, not the study paper. OpenAlex search found no paper.",n/a,yes,,n/a,2
10.7910/dvn/iek9pw,personality_entrepreneurship_brazil__neu,NOT_PUBLISHED,Big-Five-style subscales plus entrepreneurial intention (unnamed source),,"The Dataverse API shows one file (Base EI_vf.xlsx) with headers ABEX1..NEU4 only. The metadata ""publication"" field lists background references, not the study paper. OpenAlex search found no paper.",n/a,yes,,n/a,2
https://osf.io/58xb9,opladen2025_fkg,OBTAINABLE,"Fragebogen zu Koerper und Gesundheit (FKG; Hiller/Rief), German","https://osf.io/download/nyg5d/ (Data - Rawdata.xlsx, sheet ""Readme"")",The Readme sheet gives the German wording plus an English gloss for FKG_1..FKG_20. The count matches n_items=20.,silence,no,The old audit checked only Codes.pdf. The wording sits in the Readme sheet of the raw-data xlsx.,low,2
https://osf.io/58xb9,opladen2025_fks,OBTAINABLE,"Fragebogen koerperdysmorpher Symptome (FKS; Buhlmann et al.), German","https://osf.io/download/nyg5d/ (Data - Rawdata.xlsx, sheet ""Readme"")","The Readme sheet gives German wording for FKS_1, 3-18 (17 items; FKS_2 not administered). That matches n_items=17.",silence,no,Same as fkg: the Readme sheet has the wording.,low,2
10.1371/journal.pone.0326853,sirventruiz_2025_pdat,NEEDS_HUMAN,"Predictors of Dropout in Addiction Treatment, 26-item pool (PDAT-26)",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0326853.s001 (S1 PDAT-13 items) + .s003 (13->26 mapping),"Only the 13 retained items are published, in S1 (with options) and Table 1. S3 maps them to PDAT26 item numbers, which leaves 13 of the 26 administered items without published wording. Decision: ship a half-covered table with blank item_text for the other 13, or treat it as NOT_PUBLISHED.",silence,na,,medium,2
10.1371/journal.pone.0323811,song_2025_ac,RIGHTS_BLOCK,"Servant Leadership Survey subscale (van Dierendonck & Nuijten 2011), negated adaptation",,"The paper names van Dierendonck's SLS. Table 3 prints the items (AC1-3), reworded as ""My manager does not ..."". The register SLS row (incl. adaptations) blocks them.","register:Servant Leadership Survey (SLS, 30 items)",no,"Old audit said items were not reproduced, which is false: Table 3 prints them. The correct basis is the SLS rights block, not access.",low,2
10.1371/journal.pone.0323811,song_2025_au,RIGHTS_BLOCK,"Servant Leadership Survey subscale (van Dierendonck & Nuijten 2011), negated adaptation",,"The paper names van Dierendonck's SLS. Table 3 prints the items (AU1-3), reworded as ""My manager does not ..."". The register SLS row (incl. adaptations) blocks them.","register:Servant Leadership Survey (SLS, 30 items)",no,"Old audit said items were not reproduced, which is false: Table 3 prints them. The correct basis is the SLS rights block, not access.",low,2
10.1371/journal.pone.0323811,song_2025_co,RIGHTS_BLOCK,"Servant Leadership Survey subscale (van Dierendonck & Nuijten 2011), negated adaptation",,"The paper names van Dierendonck's SLS. Table 3 prints the items (CO1-3), reworded as ""My manager does not ..."". The register SLS row (incl. adaptations) blocks them.","register:Servant Leadership Survey (SLS, 30 items)",no,"Old audit said items were not reproduced, which is false: Table 3 prints them. The correct basis is the SLS rights block, not access.",low,2
10.1371/journal.pone.0323811,song_2025_cs,OBTAINABLE,Customer satisfaction (Chan et al.; Huang et al.),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0323811 (Table 3, ""Scale items"")",Table 3 prints all 4 items with codes that match the data columns. SC6 is printed even though it was dropped from the analysis. The wording reads as the study's English rendering.,silence,no,Old audit said no wording was reproduced. Table 3 lists every item with its code.,low,2
10.1371/journal.pone.0323811,song_2025_er,OBTAINABLE,Employee retention (DiPietro et al.; Arasanmi & Krishna),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0323811 (Table 3, ""Scale items"")",Table 3 prints all 5 items with codes that match the data columns. SC6 is printed even though it was dropped from the analysis. The wording reads as the study's English rendering.,silence,no,Old audit said no wording was reproduced. Table 3 lists every item with its code.,low,2
10.1371/journal.pone.0323811,song_2025_lwb,OBTAINABLE,Life well-being (Zheng et al. 2015 EWB),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0323811 (Table 3, ""Scale items"")",Table 3 prints all 3 items with codes that match the data columns. SC6 is printed even though it was dropped from the analysis. The wording reads as the study's English rendering.,silence,no,Old audit said no wording was reproduced. Table 3 lists every item with its code.,low,2
10.1371/journal.pone.0323811,song_2025_pj,OBTAINABLE,Procedural justice (Erdogan et al.; Ehrhart),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0323811 (Table 3, ""Scale items"")",Table 3 prints all 4 items with codes that match the data columns. SC6 is printed even though it was dropped from the analysis. The wording reads as the study's English rendering.,silence,no,Old audit said no wording was reproduced. Table 3 lists every item with its code.,low,2
10.1371/journal.pone.0323811,song_2025_pwb,OBTAINABLE,Psychological well-being (Zheng et al. 2015 EWB),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0323811 (Table 3, ""Scale items"")",Table 3 prints all 3 items with codes that match the data columns. SC6 is printed even though it was dropped from the analysis. The wording reads as the study's English rendering.,silence,no,Old audit said no wording was reproduced. Table 3 lists every item with its code.,low,2
10.1371/journal.pone.0323811,song_2025_sb,RIGHTS_BLOCK,"Servant Leadership Survey subscale (van Dierendonck & Nuijten 2011), negated adaptation",,"The paper names van Dierendonck's SLS. Table 3 prints the items (SB2-4 only; SB1 not printed), reworded as ""My manager does not ..."". The register SLS row (incl. adaptations) blocks them.","register:Servant Leadership Survey (SLS, 30 items)",no,"Old audit said items were not reproduced, which is false: Table 3 prints them. The correct basis is the SLS rights block, not access.",low,2
10.1371/journal.pone.0323811,song_2025_sc,OBTAINABLE,Service climate (Ashkanasy et al.; Kralj & Solnet),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0323811 (Table 3, ""Scale items"")",Table 3 prints all 6 items with codes that match the data columns. SC6 is printed even though it was dropped from the analysis. The wording reads as the study's English rendering.,silence,no,Old audit said no wording was reproduced. Table 3 lists every item with its code.,low,2
10.1371/journal.pone.0323811,song_2025_wwb,OBTAINABLE,Work well-being (Zheng et al. 2015 EWB),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0323811 (Table 3, ""Scale items"")",Table 3 prints all 3 items with codes that match the data columns. SC6 is printed even though it was dropped from the analysis. The wording reads as the study's English rendering.,silence,no,Old audit said no wording was reproduced. Table 3 lists every item with its code.,low,2
https://osf.io/djcex/overview,hannachi_2025_eco_anxiety_affect,NEEDS_HUMAN,"Study-built climate-emotion adjective list (26 items), French","https://osf.io/download/kuv67/ (code book for data.xlsx, sheet ""Feuil1"")","Feuil1 gives all 26 EM items in French (""Quand je pense au changement climatique, je suis... [nerveux.se]""). The wording is obtainable. The originators are the depositors, and their only stated term is the OSF project licence, CC BY-NC-SA 4.0. Decision: does the authors' own NC licence on the deposit that holds their items count as a term on the wording?","quote:""CC-BY Attribution-NonCommercial-ShareAlike 4.0 International"" (OSF node licence) https://osf.io/djcex/",na,,low,2
https://osf.io/djcex/overview,hannachi_2025_eco_anxiety_cas,OBTAINABLE,"Climate Change Anxiety Scale (Clayton & Karazsia 2020), French","https://osf.io/download/kuv67/ (code book for data.xlsx, sheet ""Feuil1"")","Feuil1 gives all 13 CCAS items in French. Items 2, 9 and 11 are shared with HEAS. The originator's terms were not checked beyond the register (no row). The deposit is NC, but it may not be the translator's term; confirm who made the French version.",silence,na,,low,2
https://osf.io/djcex/overview,hannachi_2025_eco_anxiety_cope,OBTAINABLE,"Brief COPE (Carver 1997), French, climate-change stem","https://osf.io/download/kuv67/ (code book for data.xlsx, sheet ""Feuil1"")",Feuil1 gives all 28 COP items in French. The originator grants use without reservation. The French translation's source is unconfirmed.,"quote:""You are welcome to use all scales of the Brief COPE, or to choose selected scales for use."" https://www.psy.miami.edu/faculty/ccarver/brief-cope.html",na,,low,2
https://osf.io/djcex/overview,hannachi_2025_eco_anxiety_heas,OBTAINABLE,"Hogg Eco-Anxiety Scale (Hogg et al. 2021), French","https://osf.io/download/kuv67/ (code book for data.xlsx, sheet ""Feuil1"")","Feuil1 gives all 13 HEAS items in French: HEAS1-7 and 11-13, plus 3 shared CCAS columns.",silence,na,,medium,2
10.1007/s10926-024-10174-2,presenteeism_golz_2024,OBTAINABLE,"Haegerbaeumer (2017) presenteeism scale, English version","https://pmc.ncbi.nlm.nih.gov/articles/PMC11550221/ (Table 3, ""Description of the items"")","Table 3 of the CC BY paper lists all 6 items, e.g. ""I came to work despite illness"". The OSF data columns are var1..var6, assumed to be in Table 3 order.",silence,na,,low,2
table:Forthmann-2024-cleverness_ratings,Forthmann-2024-cleverness_ratings,NOT_ITEM_TEXT,Alternate Uses Task: rater cleverness scores,,"Items are the three AUT objects (paperclip, garbagebag, rope), and resp is a rater's cleverness rating of a participant's ideas. There is no worded item beyond the object name already in the item code. The IRW biblio fields are all null, so the deposit is unidentified.",n/a,na,,n/a,2
10.17632/xd27t4g547,ramadan_2026_ai_awareness,OBTAINABLE,Study-built GenAI competency questionnaire: Awareness & Availability (AW1-6),"https://data.mendeley.com/datasets/xd27t4g547 codebook.csv (item_text_arabic, item_text_english)",The codebook gives Arabic wording plus an English translation for all 6 items in this dimension. The count matches.,silence,na,,low,2
10.17632/xd27t4g547,ramadan_2026_applied_practice,OBTAINABLE,Study-built GenAI competency questionnaire: Functional Application (AP1-8),"https://data.mendeley.com/datasets/xd27t4g547 codebook.csv (item_text_arabic, item_text_english)",The codebook gives Arabic wording plus an English translation for all 8 items in this dimension. The count matches.,silence,na,,low,2
10.17632/xd27t4g547,ramadan_2026_attitudes,OBTAINABLE,Study-built GenAI competency questionnaire: Aspiration & Vision,"https://data.mendeley.com/datasets/xd27t4g547 codebook.csv (item_text_arabic, item_text_english)",The codebook gives Arabic wording plus an English translation for all 8 items in this dimension. The count matches.,silence,na,,low,2
10.17632/xd27t4g547,ramadan_2026_perceived_competence,OBTAINABLE,Study-built GenAI competency questionnaire: Prompt Engineering & Critical Appraisal,"https://data.mendeley.com/datasets/xd27t4g547 codebook.csv (item_text_arabic, item_text_english)",The codebook gives Arabic wording plus an English translation for all 6 items in this dimension. The count matches.,silence,na,,low,2
https://www.cis.es/es/estudios/edadismo?charttype=bar&cuestionario=17940&muestra=26185&pregunta=653111&variable=1071462,spain_2025_ageism_agreement,OBTAINABLE,CIS Edadismo survey (Estudio 3493) battery,https://www.cis.es/documents/20117/13445864/cues3493.pdf (CIS Estudio 3493 questionnaire),"The official 23-page CIS questionnaire prints the full Spanish wording of the batteries P1-P16: P5 agreement, P6/P7 priorities, P11/P13/P16 situations, P12 difficulty and so on. Each table still has to be mapped to its question and sub-items.",silence,na,,medium,2
https://www.cis.es/es/estudios/edadismo?charttype=bar&cuestionario=17940&muestra=26185&pregunta=653111&variable=1071462,spain_2025_ageism_bureaucracy,OBTAINABLE,CIS Edadismo survey (Estudio 3493) battery,https://www.cis.es/documents/20117/13445864/cues3493.pdf (CIS Estudio 3493 questionnaire),"The official 23-page CIS questionnaire prints the full Spanish wording of the batteries P1-P16: P5 agreement, P6/P7 priorities, P11/P13/P16 situations, P12 difficulty and so on. Each table still has to be mapped to its question and sub-items.",silence,na,,medium,2
https://www.cis.es/es/estudios/edadismo?charttype=bar&cuestionario=17940&muestra=26185&pregunta=653111&variable=1071462,spain_2025_ageism_comparison,OBTAINABLE,CIS Edadismo survey (Estudio 3493) battery,https://www.cis.es/documents/20117/13445864/cues3493.pdf (CIS Estudio 3493 questionnaire),"The official 23-page CIS questionnaire prints the full Spanish wording of the batteries P1-P16: P5 agreement, P6/P7 priorities, P11/P13/P16 situations, P12 difficulty and so on. Each table still has to be mapped to its question and sub-items.",silence,na,,medium,2
https://www.cis.es/es/estudios/edadismo?charttype=bar&cuestionario=17940&muestra=26185&pregunta=653111&variable=1071462,spain_2025_ageism_difficulty,OBTAINABLE,CIS Edadismo survey (Estudio 3493) battery,https://www.cis.es/documents/20117/13445864/cues3493.pdf (CIS Estudio 3493 questionnaire),"The official 23-page CIS questionnaire prints the full Spanish wording of the batteries P1-P16: P5 agreement, P6/P7 priorities, P11/P13/P16 situations, P12 difficulty and so on. Each table still has to be mapped to its question and sub-items.",silence,na,,medium,2
https://www.cis.es/es/estudios/edadismo?charttype=bar&cuestionario=17940&muestra=26185&pregunta=653111&variable=1071462,spain_2025_ageism_elderpriority,OBTAINABLE,CIS Edadismo survey (Estudio 3493) battery,https://www.cis.es/documents/20117/13445864/cues3493.pdf (CIS Estudio 3493 questionnaire),"The official 23-page CIS questionnaire prints the full Spanish wording of the batteries P1-P16: P5 agreement, P6/P7 priorities, P11/P13/P16 situations, P12 difficulty and so on. Each table still has to be mapped to its question and sub-items.",silence,na,,medium,2
https://www.cis.es/es/estudios/edadismo?charttype=bar&cuestionario=17940&muestra=26185&pregunta=653111&variable=1071462,spain_2025_ageism_elderslights,OBTAINABLE,CIS Edadismo survey (Estudio 3493) battery,https://www.cis.es/documents/20117/13445864/cues3493.pdf (CIS Estudio 3493 questionnaire),"The official 23-page CIS questionnaire prints the full Spanish wording of the batteries P1-P16: P5 agreement, P6/P7 priorities, P11/P13/P16 situations, P12 difficulty and so on. Each table still has to be mapped to its question and sub-items.",silence,na,,medium,2
https://www.cis.es/es/estudios/edadismo?charttype=bar&cuestionario=17940&muestra=26185&pregunta=653111&variable=1071462,spain_2025_ageism_problems,OBTAINABLE,CIS Edadismo survey (Estudio 3493) battery,https://www.cis.es/documents/20117/13445864/cues3493.pdf (CIS Estudio 3493 questionnaire),"The official 23-page CIS questionnaire prints the full Spanish wording of the batteries P1-P16: P5 agreement, P6/P7 priorities, P11/P13/P16 situations, P12 difficulty and so on. Each table still has to be mapped to its question and sub-items.",silence,na,,medium,2
https://www.cis.es/es/estudios/edadismo?charttype=bar&cuestionario=17940&muestra=26185&pregunta=653111&variable=1071462,spain_2025_ageism_youthpriority,OBTAINABLE,CIS Edadismo survey (Estudio 3493) battery,https://www.cis.es/documents/20117/13445864/cues3493.pdf (CIS Estudio 3493 questionnaire),"The official 23-page CIS questionnaire prints the full Spanish wording of the batteries P1-P16: P5 agreement, P6/P7 priorities, P11/P13/P16 situations, P12 difficulty and so on. Each table still has to be mapped to its question and sub-items.",silence,na,,medium,2
https://www.cis.es/es/estudios/edadismo?charttype=bar&cuestionario=17940&muestra=26185&pregunta=653111&variable=1071462,spain_2025_ageism_youthslights,OBTAINABLE,CIS Edadismo survey (Estudio 3493) battery,https://www.cis.es/documents/20117/13445864/cues3493.pdf (CIS Estudio 3493 questionnaire),"The official 23-page CIS questionnaire prints the full Spanish wording of the batteries P1-P16: P5 agreement, P6/P7 priorities, P11/P13/P16 situations, P12 difficulty and so on. Each table still has to be mapped to its question and sub-items.",silence,na,,medium,2
10.1037/pspp0000548,talaifar_2025_study2_plp,OBTAINABLE,"Perceived lifestyle polarization comparisons (study-built, Talaifar et al.)","https://osf.io/download/zhynf/ (perceiver_ratings_raw_data.csv, Qualtrics label row 2)","The Qualtrics second header row gives the wording for each rating column, e.g. ""Who sends more outgoing text messages?"". That is 62 columns minus 1 attention check = 61, which matches n_items. The OSF licence is CC BY-SA 4.0.",silence,na,,low,2
10.1371/journal.pone.0237710,afaya_2020_complications_knowledge,OBTAINABLE,Study-built diabetes knowledge items (Afaya et al. 2020),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0237710.s001&type=supplementary (S1 Data xlsx, sheet 2 codebook)","The codebook sheet in S1 Data gives a statement for each kc1..kc7 variable, and the counts match. Note that these 66 items are NOT the 23-item Michigan DKT printed in the S2 questionnaire.",silence,na,,low,2
10.1371/journal.pone.0237710,afaya_2020_diet_knowledge,OBTAINABLE,Study-built diabetes knowledge items (Afaya et al. 2020),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0237710.s001&type=supplementary (S1 Data xlsx, sheet 2 codebook)","The codebook sheet in S1 Data gives a statement for each kd1..kd13 variable, and the counts match. Note that these 66 items are NOT the 23-item Michigan DKT printed in the S2 questionnaire.",silence,na,,low,2
10.1371/journal.pone.0237710,afaya_2020_exercise_knowledge,OBTAINABLE,Study-built diabetes knowledge items (Afaya et al. 2020),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0237710.s001&type=supplementary (S1 Data xlsx, sheet 2 codebook)","The codebook sheet in S1 Data gives a statement for each ke1..ke4 variable, and the counts match. Note that these 66 items are NOT the 23-item Michigan DKT printed in the S2 questionnaire.",silence,na,,low,2
10.1371/journal.pone.0237710,afaya_2020_footcare_knowledge,OBTAINABLE,Study-built diabetes knowledge items (Afaya et al. 2020),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0237710.s001&type=supplementary (S1 Data xlsx, sheet 2 codebook)","The codebook sheet in S1 Data gives a statement for each kf1..kf14 variable, and the counts match. Note that these 66 items are NOT the 23-item Michigan DKT printed in the S2 questionnaire.",silence,na,,low,2
10.1371/journal.pone.0237710,afaya_2020_general_knowledge,OBTAINABLE,Study-built diabetes knowledge items (Afaya et al. 2020),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0237710.s001&type=supplementary (S1 Data xlsx, sheet 2 codebook)","The codebook sheet in S1 Data gives a statement for each gk1..gk11 variable, and the counts match. Note that these 66 items are NOT the 23-item Michigan DKT printed in the S2 questionnaire.",silence,na,,low,2
10.1371/journal.pone.0237710,afaya_2020_medication_knowledge,OBTAINABLE,Study-built diabetes knowledge items (Afaya et al. 2020),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0237710.s001&type=supplementary (S1 Data xlsx, sheet 2 codebook)","The codebook sheet in S1 Data gives a statement for each kom1..kom10 variable, and the counts match. Note that these 66 items are NOT the 23-item Michigan DKT printed in the S2 questionnaire.",silence,na,,low,2
10.1371/journal.pone.0237710,afaya_2020_monitoring_knowledge,OBTAINABLE,Study-built diabetes knowledge items (Afaya et al. 2020),"https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0237710.s001&type=supplementary (S1 Data xlsx, sheet 2 codebook)","The codebook sheet in S1 Data gives a statement for each km1..km7 variable, and the counts match. Note that these 66 items are NOT the 23-item Michigan DKT printed in the S2 questionnaire.",silence,na,,low,2
10.17632/6n78w5pz74,ribeiro_2019_academic_motivation,OBTAINABLE,"Escala de Motivacao Academica (EMA-U), Guimaraes & Bzuneck 2008, Portuguese (PT) version","https://data.mendeley.com/datasets/6n78w5pz74 -- MotAcademica_AmostraA.sav (and AmostraB.sav), SPSS variable labels Item1..Item29","Mendeley public API lists two .sav files; variable labels carry full Portuguese wording for all 29 items (e.g. Item1 ""Sinceramente, nao sei porque venho a Universidade.""), plus 7-point value labels. Count matches n_items=29.",silence,na,,low,3
10.17632/w5f55333p4.2,aiquipa_2026_dgs,OBTAINABLE,"Dispositional Greed Scale (DGS, Krekels & Pandelaere 2015), Peruvian Spanish adaptation","https://data.mendeley.com/datasets/w5f55333p4/2 -- ""Supplementary Material 3. Appendix.docx"", table: original / literal translation / adapted version (final)","The appendix prints all 7 DGS items in English original, literal Spanish and final adapted Spanish (e.g. ""1. Siempre quiero mas""); the data xlsx uses COD1..COD7, matching n_items=7. No originator terms page for the DGS was found; not searched beyond the deposit.",silence,na,,low,3
10.7910/dvn/3sf36j,gilbert_meta_48,RIGHTS_BLOCK,"Ages & Stages Questionnaires, 3rd ed. (ASQ-3), Spanish; Brookes Publishing",,"IRW tags and the deposit do-file confirm ASQ-3 (5 domains pcom/pmotg/pmotf/presp/psoci; item_age covariate means wording varies by age interval). Deposit (completa.tab, READ ME.pdf, Mexico ECD.do) has codes only; ASQ-3 wording is sold by Brookes, not openly published.","quote:""We accept permission requests for limited reuse of our copyrighted material... a permission agreement detailing fees and other terms of use will be emailed to you."" https://brookespublishing.com/permissions/ (publisher-wide page, not ASQ-specific)",yes,,high,3
