table,Rater,Construct Name,Context Text,Item text available?,Age Range,Child Age (for child-focused studies),Sample,Construct type,Measurement tool,Item format,Primary Language(s),Notes,Status,Reason
estevez_2021_math_attitudes,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
estevez_2021_motiv,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
eyrenci_2025_mental_health_literacy,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
feng2026_autonomy,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
feng2026_behavioral_intention,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
feng2026_competence,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
feng2026_ec,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
feng2026_intrinsic_motivation,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
feng2026_perceived_ease_of_use,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
feng2026_perceived_usefulness,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
figalova_2021_bdi,claude-auto,,,,,,,,,,cze,Primary Language(s) inferred from the study's own biblio row (matched 'czech'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
figalova_2021_stai_trait,claude-auto,,,,,,,,,,cze,Primary Language(s) inferred from the study's own biblio row (matched 'czech'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
gan_2015_rrs,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
gan_2015_ucla_loneliness,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
frikha_2023_pe_ms,claude-auto,,,,,,,,,,ara,Primary Language(s) inferred from the study's own biblio row (matched 'saudi'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
gan_2015_cesd,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
frikha_2023_pe_acrs,claude-auto,,,,,,,,,,ara,Primary Language(s) inferred from the study's own biblio row (matched 'saudi'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
germann_2026_immigration,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
germann_2026_redistribution,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
germann_2026_state_intervention,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
gerber_2022_eas_temperament,claude-auto,,,,,,,,,,fra,Primary Language(s) inferred from the study's own biblio row (matched 'french'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
germann_2026_environment,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ghanbari_2016_helma_access,claude-auto,,,,,,,,,,per,Primary Language(s) inferred from the study's own biblio row (matched 'iran'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
germann_2026_national_identity,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ghanbari_2016_helma_use,claude-auto,,,,,,,,,,per,Primary Language(s) inferred from the study's own biblio row (matched 'iran'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ghanbari_2016_helma_understand,claude-auto,,,,,,,,,,per,Primary Language(s) inferred from the study's own biblio row (matched 'iran'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ghanbari_2016_helma_reading,claude-auto,,,,,,,,,,per,Primary Language(s) inferred from the study's own biblio row (matched 'iran'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ghanbari_2016_helma_numeracy,claude-auto,,,,,,,,,,per,Primary Language(s) inferred from the study's own biblio row (matched 'iran'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ghanbari_2016_helma_appraise,claude-auto,,,,,,,,,,per,Primary Language(s) inferred from the study's own biblio row (matched 'iran'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ghanbari_2016_helma_comm,claude-auto,,,,,,,,,,per,Primary Language(s) inferred from the study's own biblio row (matched 'iran'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
gobbens_2018_iadl,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'netherlands'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
gobbens_2018_adl,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'netherlands'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
gobbens_2018_sf12,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'netherlands'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
hao_2025_emotional_regulation,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
hao_2025_self_efficacy,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
hao_2025_foreign_language_anxiety,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
gumus_2025_dietarian_identity,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
hao_2025_metacognitive_regulation,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
hao_2025_social_regulation,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
huang_2023_d_scale,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
huang_2023_b_scale,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
huang_2023_e_scale,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
huang_2023_c_scale,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
jeon_2019_cbi,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
iwasa_2016_dpssr,claude-auto,,,,,,,,,,jpn,Primary Language(s) inferred from the study's own biblio row (matched 'japan'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
iwasa_2016_asi,claude-auto,,,,,,,,,,jpn,Primary Language(s) inferred from the study's own biblio row (matched 'japan'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
iwasa_2016_padua_inventory,claude-auto,,,,,,,,,,jpn,Primary Language(s) inferred from the study's own biblio row (matched 'japan'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
iwasa_2016_stai_trait,claude-auto,,,,,,,,,,jpn,Primary Language(s) inferred from the study's own biblio row (matched 'japan'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
jimenezherrera_2022_moral_sensitivity,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spain'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
jeon_2019_cesd10,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
johnhenderson_2020_disinfection_behavior,claude-auto,,,,,,,,,,hin,Primary Language(s) inferred from the study's own biblio row (matched 'india'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
johnhenderson_2020_health_mindset,claude-auto,,,,,,,,,,hin,Primary Language(s) inferred from the study's own biblio row (matched 'india'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
jung_2018_media_use,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
kermen_2022_self_efficacy,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
kim_2025_hads,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
kim_2023_gad7,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
kim_2023_pss10,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
kim_2025_isi,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
kim_2025_psqi,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
kim_2025_psas,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
kim_2023_phq9,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
koksal_2023_psycap,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lai_2023_parent_relation_father,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
koksal_2023_work_depression,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
koksal_2023_life_satisfaction,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lee_2024_social_support,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lee_2024_panas,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lee_2024_swls,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lee_2020_empathy,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lee_2020_social_support,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lee_2020_alcohol_use,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lee_2024_tci,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
latifi_2026_insect_fear,claude-auto,,,,,,,,,,per,Primary Language(s) inferred from the study's own biblio row (matched 'iran'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lai_2023_teacher_student_rel,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lee_2020_burnout,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lai_2023_social_adaptability,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lai_2023_parent_relation_mother,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lai_2023_peer_relationship,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lee_2020_sleep_quality,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2017_communication,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2017_qol,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2017_mcmq_coping,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2017_benefit_finding,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2017_ssrs_support,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lindstrom2021_team_identification,claude-auto,,,,,,,,,,swe,Primary Language(s) inferred from the study's own biblio row (matched 'swedish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lindstrom2021_honesty_humility,claude-auto,,,,,,,,,,swe,Primary Language(s) inferred from the study's own biblio row (matched 'swedish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2017_scale_d,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2017_scale_o,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lindstrom2021_conscientiousness,claude-auto,,,,,,,,,,swe,Primary Language(s) inferred from the study's own biblio row (matched 'swedish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
lindstrom2021_violent_intentions,claude-auto,,,,,,,,,,swe,Primary Language(s) inferred from the study's own biblio row (matched 'swedish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
luo_2021_host_ties,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
luo_2021_conational_ties,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
luo_2021_ecr,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
luo_2021_acculturation_index,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2025_mlq,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2025_positive_cognition,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2025_teacher_support,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2025_learning_motivation,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2022_fragreading_cdq,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
liu_2022_fragreading_frq,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
luo_2021_intl_ties,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
mancone_2024_ravlt_intrusion,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italy'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
marquessanchez_2023_kidmed,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
mascherini_2021_meddiet,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
mancone_2024_ravlt_recall,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italy'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
matranga_2019_hpv_knowledge,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italy'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
merlo2025_eng_cognitive,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
merlo2025_eng_emotional,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
merlo2025_eng_comprehensive,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
merlo2025_eng_agentic,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
merlo2025_eet,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
moe2025_erq,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
moe2025_scs,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
moe2025_sis,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
monier_2026_sti,claude-auto,,,,,,,,,,fra,Primary Language(s) inferred from the study's own biblio row (matched 'french'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
moon_2023_coping_emotion,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
moon_2023_coping_problem,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
moon_2023_korean_proficiency,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
moon_2023_pregnancy_stress,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
moon_2023_selfesteem,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
moon_2023_spousal_support,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
muslih_2024_rses,claude-auto,,,,,,,,,,ind,Primary Language(s) inferred from the study's own biblio row (matched 'indonesia'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
nam_2024_khlat,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
nam_2024_selfeff,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ngo_2025_green_attitude,claude-auto,,,,,,,,,,vie,Primary Language(s) inferred from the study's own biblio row (matched 'vietnam'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ngo_2025_green_pbc,claude-auto,,,,,,,,,,vie,Primary Language(s) inferred from the study's own biblio row (matched 'vietnam'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ngo_2025_green_purchase_behavior,claude-auto,,,,,,,,,,vie,Primary Language(s) inferred from the study's own biblio row (matched 'vietnam'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ngo_2025_green_purchase_intention,claude-auto,,,,,,,,,,vie,Primary Language(s) inferred from the study's own biblio row (matched 'vietnam'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ngo_2025_green_subjective_norm,claude-auto,,,,,,,,,,vie,Primary Language(s) inferred from the study's own biblio row (matched 'vietnam'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
okamura_2018_burnout,claude-auto,,,,,,,,,,jpn,Primary Language(s) inferred from the study's own biblio row (matched 'japan'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
okamura_2018_eol_attitude,claude-auto,,,,,,,,,,jpn,Primary Language(s) inferred from the study's own biblio row (matched 'japan'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
opladen2025_edeq,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
opladen2025_fkg,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
opladen2025_fks,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
osorio_2023_dos,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ozkurt_2026_basic_psych_needs,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ozkurt_2026_continuance_intention,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ozkurt_2026_ego_orientation,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ozkurt_2026_paces_enjoyment,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ozkurt_2026_sport_motivation,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
park_2021_pss10,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
park_2021_swls,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
park_2024_mbi,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
