table,n_id,n_age,min_age,max_age,n_distinct,n_u18,n_a18,share_under_18,n_lt6,n_6_12,n_12_18,verdict,age range,child age,reason
contreras_valdez_2022_bsq,1117,1117,18.0,83.0,58,0,1117,0.0,0,0,0,derived,Adult (18+),,
cucchi_2018_pts,211,211,18.0,67.0,43,0,211,0.0,0,0,0,derived,Adult (18+),,
contreras_valdez_2022_rses,973,973,18.0,86.0,60,0,973,0.0,0,0,0,derived,Adult (18+),,
conspiracy_asd__asd_aq10,433,431,19.0,66.0,47,0,431,0.0,0,0,0,derived,Adult (18+),,
covid_travel_mackenzie_2021,1310,1310,18.0,99.0,64,0,1310,0.0,0,0,0,derived,Adult (18+),,
cucchi_2018_tas20,204,204,18.0,67.0,43,0,204,0.0,0,0,0,derived,Adult (18+),,
conspiracy_asd__schizotypy,433,431,19.0,66.0,47,0,431,0.0,0,0,0,derived,Adult (18+),,
cucchi_2018_kims,210,210,18.0,67.0,43,0,210,0.0,0,0,0,derived,Adult (18+),,
conspiracy_asd__thinking_styles,433,431,19.0,66.0,47,0,431,0.0,0,0,0,derived,Adult (18+),,
conspiracy_asd__conspiracy_gcbs,433,431,19.0,66.0,47,0,431,0.0,0,0,0,derived,Adult (18+),,
contreras_valdez_2022_edeq,2090,2090,18.0,86.0,64,0,2090,0.0,0,0,0,derived,Adult (18+),,
conner_2017_vitality,171,171,18.0,25.0,8,0,171,0.0,0,0,0,derived,Adult (18+),,
conner_2017_lot,171,171,18.0,25.0,8,0,171,0.0,0,0,0,derived,Adult (18+),,
conspiracy_asd__cognitive_flexibility,433,431,19.0,66.0,47,0,431,0.0,0,0,0,derived,Adult (18+),,
condon_2024_sapa_personality,999998,0,nan,nan,0,0,0,,0,0,0,unusable,,,only 0 respondents with an age
DART_Brysbaert_2020_1,199,199,17.0,38.0,12,25,174,0.125628,0,0,25,derived,Mixed,Adolescent (12-18y),
darkfactorfrench_pischel_2026_normlessness,506,501,18.0,85.0,50,0,501,0.0,0,0,0,derived,Adult (18+),,
darkfactorfrench_pischel_2026_crime_analog,418,412,18.0,76.0,49,0,412,0.0,0,0,0,derived,Adult (18+),,
darkfactorfrench_pischel_2026_dictator_game,418,412,18.0,76.0,49,0,412,0.0,0,0,0,derived,Adult (18+),,
darkfactorfrench_pischel_2026_exploitative,489,480,18.0,76.0,48,0,480,0.0,0,0,0,derived,Adult (18+),,
dalky_2020_sf36,523,523,16.0,44.0,30,27,496,0.051625,0,0,27,derived,Mixed,Adolescent (12-18y),
dalichaouche_2026_covid_practices,300,294,19.0,34.0,9,0,294,0.0,0,0,0,derived,Adult (18+),,
daiku_2021_lying_frequency,305,305,18.0,54.0,13,0,305,0.0,0,0,0,derived,Adult (18+),,
dejesus_2017_gpm,98,98,60.0,85.0,24,0,98,0.0,0,0,0,derived,Elderly (minimum age >50),,
dejesus_2017_sf36,98,98,60.0,85.0,24,0,98,0.0,0,0,0,derived,Elderly (minimum age >50),,
darkfactorfrench_pischel_2026_civic_behavior,418,412,18.0,76.0,49,0,412,0.0,0,0,0,derived,Adult (18+),,
darkfactorfrench_pischel_2026_sdo7s,506,501,18.0,85.0,50,0,501,0.0,0,0,0,derived,Adult (18+),,
darkfactorfrench_pischel_2026_interp_dysfx,489,480,18.0,76.0,48,0,480,0.0,0,0,0,derived,Adult (18+),,
dalichaouche_2026_covid_attitudes,300,294,19.0,34.0,9,0,294,0.0,0,0,0,derived,Adult (18+),,
dass21_depression_anxiety_stress,262,262,1.0,4.0,4,262,0,0.0,262,0,0,unusable,,,"looks like banded codes: 4 distinct values, max 4.0"
darkfactorfrench_pischel_2026_callousness,489,480,18.0,76.0,48,0,480,0.0,0,0,0,derived,Adult (18+),,
daderman_2023_naqr,867,861,17.0,75.0,54,1,860,0.001161,0,0,1,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.116% (< 2%), so not Mixed"
dalichaouche_2026_covid_knowledge,300,294,19.0,34.0,9,0,294,0.0,0,0,0,derived,Adult (18+),,
curiosity_stone_2022_var,481,481,18.0,72.0,50,0,481,0.0,0,0,0,derived,Adult (18+),,
curiosity_stone_2022_invol,481,481,18.0,72.0,50,0,481,0.0,0,0,0,derived,Adult (18+),,
daiku_2021_dirty_dozen,305,305,18.0,54.0,13,0,305,0.0,0,0,0,derived,Adult (18+),,
dejesus_2017_lequesne,98,98,60.0,85.0,24,0,98,0.0,0,0,0,derived,Elderly (minimum age >50),,
darkfactorfrench_pischel_2026_worldview_cj,506,501,18.0,85.0,50,0,501,0.0,0,0,0,derived,Adult (18+),,
daiku_2021_lie_scale,305,305,18.0,54.0,13,0,305,0.0,0,0,0,derived,Adult (18+),,
darkfactorfrench_pischel_2026_d70,163114,163114,18.0,86.0,69,0,163114,0.0,0,0,0,derived,Adult (18+),,
dss_mouta_2021,1218,936,18.0,64.0,44,0,936,0.0,0,0,0,derived,Adult (18+),,
dolzdelcastellar_2021_faces,185,185,18.0,56.0,16,0,185,0.0,0,0,0,derived,Adult (18+),,
dopmeijer_2022_sense_belonging,3141,3141,17.01574264202601,59.85215605749487,2064,175,2966,0.055715,0,0,175,derived,Mixed,Adolescent (12-18y),
dmirt_forsberg_2024,1046,1046,17.0,85.0,69,6,1040,0.005736,0,0,6,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.574% (< 2%), so not Mixed"
dopmeijer_2022_loneliness,3141,3141,17.01574264202601,59.85215605749487,2064,175,2966,0.055715,0,0,175,derived,Mixed,Adolescent (12-18y),
dominguez_2018_uwes,202,202,23.0,41.0,18,0,202,0.0,0,0,0,derived,Adult (18+),,
dejesus_2017_womac,98,98,60.0,85.0,24,0,98,0.0,0,0,0,derived,Elderly (minimum age >50),,
den_kay_2025,492,492,18.0,81.0,62,0,492,0.0,0,0,0,derived,Adult (18+),,
dopmeijer_2022_performance_pressure,3141,3141,17.01574264202601,59.85215605749487,2064,175,2966,0.055715,0,0,175,derived,Mixed,Adolescent (12-18y),
dominguez_2018_jcs,202,202,23.0,41.0,18,0,202,0.0,0,0,0,derived,Adult (18+),,
dong_2025_teacher_leadership,400,0,nan,nan,0,0,0,,0,0,0,unusable,,,only 0 respondents with an age
derubeis_2017_arsq,72,72,17.34154688569473,70.20670773442848,72,2,70,0.027778,0,0,2,derived,Mixed,Adolescent (12-18y),
derubeis_2017_bdi,72,72,17.34154688569473,70.20670773442848,72,2,70,0.027778,0,0,2,derived,Mixed,Adolescent (12-18y),
duboz_2021_pss10,1493,1493,18.0,99.0,66,0,1493,0.0,0,0,0,derived,Adult (18+),,
dominguez_2018_mbi,202,202,23.0,41.0,18,0,202,0.0,0,0,0,derived,Adult (18+),,
dopmeijer_2022_ubos,3141,3141,17.01574264202601,59.85215605749487,2064,175,2966,0.055715,0,0,175,derived,Mixed,Adolescent (12-18y),
dolzdelcastellar_2021_stai,185,185,18.0,56.0,16,0,185,0.0,0,0,0,derived,Adult (18+),,
depression_hymcohort_tang2022,448,448,16.2026009582478,25.1690622861054,397,11,437,0.024554,0,0,11,derived,Mixed,Adolescent (12-18y),
dolzdelcastellar_2021_eds,185,185,18.0,56.0,16,0,185,0.0,0,0,0,derived,Adult (18+),,
dominguez_2018_itl,202,202,23.0,41.0,18,0,202,0.0,0,0,0,derived,Adult (18+),,
disgust_berger2014,1414,1414,12.0,85.0,77,13,1401,0.009194,0,0,13,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.919% (< 2%), so not Mixed"
divia_2025_tiktok_fomo_shopping,400,400,12.0,52.0,23,18,382,0.045,0,0,18,derived,Mixed,Adolescent (12-18y),
dinic_2025_shortdarktriad,15690,14631,16.0,88.0,66,45,14586,0.003076,0,0,45,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.308% (< 2%), so not Mixed"
ders16_xiong_2025,9506,9506,8.0,70.0,62,5948,3558,0.37429,0,1983,3965,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
ders_valencia_2025,345,345,18.0,29.0,12,0,345,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_belong,3179,2168,18.0,61.0,39,0,2168,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_idea,3180,2168,18.0,61.0,39,0,2168,0.0,0,0,0,derived,Adult (18+),,
dvivdtws_ppmial_marcatto_2023_dtw,553,299,20.0,62.0,40,0,299,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_american_dream,3175,2163,18.0,61.0,39,0,2163,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_efficacy,3180,2169,18.0,61.0,39,0,2169,0.0,0,0,0,derived,Adult (18+),,
dwyer_2025_genomics_pc,486,453,3.0,59.0,28,1,452,0.002208,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.221% (< 2%), so not Mixed"
dvivdtws_ppmial_marcatto_2023_ocs,553,299,20.0,62.0,40,0,299,0.0,0,0,0,derived,Adult (18+),,
dwyer_2025_genomics_sjc,486,453,3.0,59.0,28,1,452,0.002208,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.221% (< 2%), so not Mixed"
dwyer_2019_clinton_activist,167,167,18.25,75.8333,149,0,167,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_marriage_identity_allocation,3178,2167,18.0,61.0,39,0,2167,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_disability_identity,1978,1360,18.0,61.0,37,0,1360,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_exploit,3179,2169,18.0,61.0,39,0,2169,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_marriage_attitudes,3176,2166,18.0,61.0,39,0,2166,0.0,0,0,0,derived,Adult (18+),,
dwyer_2025_genomics_gec,486,453,3.0,59.0,28,1,452,0.002208,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.221% (< 2%), so not Mixed"
dwyer_2025_genomics_pb,486,453,3.0,59.0,28,1,452,0.002208,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.221% (< 2%), so not Mixed"
dvivdtws_ppmial_marcatto_2023_snaq,553,299,20.0,62.0,40,0,299,0.0,0,0,0,derived,Adult (18+),,
dwyer_2025_genomics_os,486,453,3.0,59.0,28,1,452,0.002208,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.221% (< 2%), so not Mixed"
dwyer_2025_genomics_ec,486,453,3.0,59.0,28,1,452,0.002208,1,0,0,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.221% (< 2%), so not Mixed"
eammi_grahe_2018_mindful,3177,2166,18.0,61.0,39,0,2166,0.0,0,0,0,derived,Adult (18+),,
dwyer_2019_clinton_cesd,167,167,18.25,75.8333,149,0,167,0.0,0,0,0,derived,Adult (18+),,
dussel_2022_hads14,780,0,nan,nan,0,0,0,,0,0,0,unusable,,,only 0 respondents with an age
dvivdtws_ppmial_marcatto_2023_ocb,553,299,20.0,62.0,40,0,299,0.0,0,0,0,derived,Adult (18+),,
dvivdtws_ppmial_marcatto_2023_cwb,553,299,20.0,62.0,40,0,299,0.0,0,0,0,derived,Adult (18+),,
dussel_2022_pcl17,780,0,nan,nan,0,0,0,,0,0,0,unusable,,,only 0 respondents with an age
duboz_2021_swls,1493,1493,18.0,99.0,66,0,1493,0.0,0,0,0,derived,Adult (18+),,
ecps_sahm_2024_ia,13136,13093,18.0,100.0,73,0,13093,0.0,0,0,0,derived,Adult (18+),,
ecuador_2011_safety_impact,117737,117737,16.0,97.0,82,5786,111951,0.049143,0,0,5786,derived,Mixed,Adolescent (12-18y),
eammi_grahe_2018_npi,3179,2169,18.0,61.0,39,0,2169,0.0,0,0,0,derived,Adult (18+),,
ecuador_2011_safety_confidence,117150,117150,16.0,97.0,82,5773,111377,0.049279,0,0,5773,derived,Mixed,Adolescent (12-18y),
ecps_sahm_2024_trust,15310,15254,18.0,100.0,74,0,15254,0.0,0,0,0,derived,Adult (18+),,
ecps_sahm_2024_stress,15736,15678,18.0,100.0,74,0,15678,0.0,0,0,0,derived,Adult (18+),,
ecps_sahm_2024_emotion,12988,12947,18.0,100.0,73,0,12947,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_transgressions,3175,2166,18.0,61.0,39,0,2166,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_moa2,3180,2167,18.0,61.0,39,0,2167,0.0,0,0,0,derived,Adult (18+),,
ecuador_2011_safety_crime,117737,117737,16.0,97.0,82,5786,111951,0.049143,0,0,5786,derived,Mixed,Adolescent (12-18y),
eammi_grahe_2018_stress,3173,2164,18.0,61.0,39,0,2164,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_physsx,3173,2164,18.0,61.0,39,0,2164,0.0,0,0,0,derived,Adult (18+),,
ecps_sahm_2024_dtl,13299,13253,18.0,100.0,73,0,13253,0.0,0,0,0,derived,Adult (18+),,
ecps_sahm_2024_vaccine,15372,15318,18.0,100.0,74,0,15318,0.0,0,0,0,derived,Adult (18+),,
ecps_sahm_2024_sscd,15607,15550,18.0,100.0,74,0,15550,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_support,3180,2168,18.0,61.0,39,0,2168,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_socmedia,3179,2168,18.0,61.0,39,0,2168,0.0,0,0,0,derived,Adult (18+),,
ecps_sahm_2024_distrust,13137,13093,18.0,100.0,73,0,13093,0.0,0,0,0,derived,Adult (18+),,
ecps_sahm_2024_identity,15699,15641,18.0,100.0,74,0,15641,0.0,0,0,0,derived,Adult (18+),,
ecuador_2011_safety_homesec,117685,117685,16.0,97.0,82,5784,111901,0.049148,0,0,5784,derived,Mixed,Adolescent (12-18y),
ecps_sahm_2024_support,15722,15665,18.0,100.0,74,0,15665,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_swb,3179,2168,18.0,61.0,39,0,2168,0.0,0,0,0,derived,Adult (18+),,
eammi_grahe_2018_moa1,3179,2166,18.0,61.0,39,0,2166,0.0,0,0,0,derived,Adult (18+),,
ecps_sahm_2024_moral,13056,13014,18.0,100.0,73,0,13014,0.0,0,0,0,derived,Adult (18+),,
ecuador_2011_safety_avoidance,117651,117651,16.0,97.0,82,5786,111865,0.049179,0,0,5786,derived,Mixed,Adolescent (12-18y),
ehealth_rioux_2025_phq,312,312,4.0,2626.0,38,1,311,0.003205,1,0,0,unusable,,,"ages outside [0, 120]: 4.0-2626.0"
ehealth_rioux_2025_gad,313,312,4.0,2626.0,38,1,311,0.003205,1,0,0,unusable,,,"ages outside [0, 120]: 4.0-2626.0"
ehealth_rioux_2025_rse,257,257,22.0,2626.0,37,0,257,0.0,0,0,0,unusable,,,"ages outside [0, 120]: 22.0-2626.0"
ehealth_rioux_2025_pci,314,313,4.0,2626.0,38,1,312,0.003195,1,0,0,unusable,,,"ages outside [0, 120]: 4.0-2626.0"
emiral_2025_aips,729,729,17.0,55.0,39,1,728,0.001372,0,0,1,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.137% (< 2%), so not Mixed"
ehealth_rioux_2025_mssps,312,312,4.0,2626.0,38,1,311,0.003205,1,0,0,unusable,,,"ages outside [0, 120]: 4.0-2626.0"
ecuador_2011_safety_victimtype,117737,117737,16.0,97.0,82,5786,111951,0.049143,0,0,5786,derived,Mixed,Adolescent (12-18y),
ecuador_2011_safety_victim,117737,117737,16.0,97.0,82,5786,111951,0.049143,0,0,5786,derived,Mixed,Adolescent (12-18y),
ecuador_2011_safety_safety,117647,117647,16.0,97.0,82,5779,111868,0.049122,0,0,5779,derived,Mixed,Adolescent (12-18y),
ehealth_rioux_2025_abiliti,318,317,4.0,2626.0,38,1,316,0.003155,1,0,0,unusable,,,"ages outside [0, 120]: 4.0-2626.0"
EEEDPRM_Bulut_2021,961,961,10.0,70.0,59,220,741,0.228928,0,2,218,derived,Mixed,Adolescent (12-18y),
ecuador_2011_safety_operatives,115835,115835,16.0,97.0,82,5700,110135,0.049208,0,0,5700,derived,Mixed,Adolescent (12-18y),
ecuador_2011_safety_places,117696,117696,16.0,97.0,82,5786,111910,0.049161,0,0,5786,derived,Mixed,Adolescent (12-18y),
ees_sarling_2024,805,805,18.0,83.0,61,0,805,0.0,0,0,0,derived,Adult (18+),,
ehealth_rioux_2025_beam,318,317,4.0,2626.0,38,1,316,0.003155,1,0,0,unusable,,,"ages outside [0, 120]: 4.0-2626.0"
estevez_2021_actitu,863,863,9.0,13.0,5,863,0,0.0,0,746,117,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
ecuador_2011_safety_trend,117058,117058,16.0,97.0,82,5747,111311,0.049095,0,0,5747,derived,Mixed,Adolescent (12-18y),
erf_breuer_2017_tai,433,433,14.0,20.0,7,349,84,0.193995,0,0,349,derived,Mixed,Adolescent (12-18y),
erf_breuer_2017_dosp,433,433,14.0,20.0,7,349,84,0.193995,0,0,349,derived,Mixed,Adolescent (12-18y),
erf_breuer_2017_frmfr,433,433,14.0,20.0,7,349,84,0.193995,0,0,349,derived,Mixed,Adolescent (12-18y),
envirisk_lalot_2025,2005,2000,18.0,76.0,59,0,2000,0.0,0,0,0,derived,Adult (18+),,
ehealth_rioux_2025_triplep,318,317,4.0,2626.0,38,1,316,0.003155,1,0,0,unusable,,,"ages outside [0, 120]: 4.0-2626.0"
erf_breuer_2017_frmmc,433,433,14.0,20.0,7,349,84,0.193995,0,0,349,derived,Mixed,Adolescent (12-18y),
ehealth_rioux_2025_rses,307,307,4.0,2626.0,38,1,306,0.003257,1,0,0,unusable,,,"ages outside [0, 120]: 4.0-2626.0"
ecuador_2011_safety_surroundings,117584,117584,16.0,97.0,82,5785,111799,0.049199,0,0,5785,derived,Mixed,Adolescent (12-18y),
estevez_2021_feepad,863,863,9.0,13.0,5,863,0,0.0,0,746,117,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
estevez_2021_feepr,863,863,9.0,13.0,5,863,0,0.0,0,746,117,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
estevez_2021_gest,863,863,9.0,13.0,5,863,0,0.0,0,746,117,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
estevez_2021_homework_engagement,863,863,9.0,13.0,5,863,0,0.0,0,746,117,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
estevez_2021_inter,863,863,9.0,13.0,5,863,0,0.0,0,746,117,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
estevez_2021_math_attitudes,863,863,9.0,13.0,5,863,0,0.0,0,746,117,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
estevez_2021_motiv,863,863,9.0,13.0,5,863,0,0.0,0,746,117,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
evpromisi_stone_2021_cdiag,484,484,21.0,81.0,57,0,484,0.0,0,0,0,derived,Adult (18+),,
evpromisi_stone_2021_ddedanx,183,85,30.0,70.0,36,0,85,0.0,0,0,0,derived,Adult (18+),,
evpromisi_stone_2021_ddeddep,283,283,21.0,77.0,53,0,283,0.0,0,0,0,derived,Adult (18+),,
evpromisi_stone_2021_ddpainin,200,0,nan,nan,0,0,0,,0,0,0,unusable,,,only 0 respondents with an age
evpromisi_stone_2021_global,484,484,21.0,81.0,57,0,484,0.0,0,0,0,derived,Adult (18+),,
extremera_2016_ei,1123,1121,17.0,64.0,47,1,1120,0.000892,0,0,1,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.089% (< 2%), so not Mixed"
extremera_2016_sbq,961,961,17.0,64.0,47,1,960,0.001041,0,0,1,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.104% (< 2%), so not Mixed"
extremera_2016_shs,1125,1123,17.0,64.0,47,1,1122,0.00089,0,0,1,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.089% (< 2%), so not Mixed"
extremera_2016_swls,1125,1123,17.0,64.0,47,1,1122,0.00089,0,0,1,derived,Adult (18+),,"both sides of 18 present but the smaller group is 0.089% (< 2%), so not Mixed"
eyrenci_2025_mental_health_literacy,240,240,18.0,88.0,56,0,240,0.0,0,0,0,derived,Adult (18+),,
face_memory_amado_2024,597,597,18.0,63.0,38,0,597,0.0,0,0,0,derived,Adult (18+),,
FAD_fadplus_goto2021,802,802,18.0,80.0,51,0,802,0.0,0,0,0,derived,Adult (18+),,
falih_2026_dass21,262,262,22.0,50.0,28,0,262,0.0,0,0,0,derived,Adult (18+),,
falih_2026_mds16,262,262,22.0,50.0,28,0,262,0.0,0,0,0,derived,Adult (18+),,
fatima_2025_mslq,349,349,21.0,88.0,7,0,349,0.0,0,0,0,derived,Adult (18+),,
fcupanas_cffsdas_reyna_2018,805,805,14.0,65.0,51,151,782,0.161844,0,0,151,derived,Mixed,Adolescent (12-18y),
feng2026_autonomy,587,587,13.0,18.0,6,565,22,0.037479,0,0,565,derived,Mixed,Adolescent (12-18y),
feng2026_behavioral_intention,587,587,13.0,18.0,6,565,22,0.037479,0,0,565,derived,Mixed,Adolescent (12-18y),
feng2026_competence,587,587,13.0,18.0,6,565,22,0.037479,0,0,565,derived,Mixed,Adolescent (12-18y),
feng2026_ec,587,587,13.0,18.0,6,565,22,0.037479,0,0,565,derived,Mixed,Adolescent (12-18y),
feng2026_intrinsic_motivation,587,587,13.0,18.0,6,565,22,0.037479,0,0,565,derived,Mixed,Adolescent (12-18y),
feng2026_perceived_ease_of_use,587,587,13.0,18.0,6,565,22,0.037479,0,0,565,derived,Mixed,Adolescent (12-18y),
feng2026_perceived_usefulness,587,587,13.0,18.0,6,565,22,0.037479,0,0,565,derived,Mixed,Adolescent (12-18y),
figalova_2021_bdi,347,347,21.0,91.0,49,0,347,0.0,0,0,0,derived,Adult (18+),,
figalova_2021_pss,1725,1723,18.0,91.0,62,0,1723,0.0,0,0,0,derived,Adult (18+),,
figalova_2021_stai_state,387,387,20.0,81.0,51,0,387,0.0,0,0,0,derived,Adult (18+),,
figalova_2021_stai_trait,387,387,20.0,81.0,51,0,387,0.0,0,0,0,derived,Adult (18+),,
fitriana_2022_hapwork_field,370,370,25.0,65.0,41,0,370,0.0,0,0,0,derived,Adult (18+),,
florida_twins_auth,1356,1356,9.237508556,20.39972621,942,1355,80,0.055749,0,519,1051,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
florida_twins_cads,1272,1272,9.237508556,18.13278576,698,1271,2,0.001571,0,451,941,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)","both sides of 18 present but the smaller group is 0.157% (< 2%), so not Mixed"
florida_twins_chaos,808,808,9.486652977,16.04654346,379,808,0,0.0,0,306,502,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
florida_twins_class,806,806,9.486652977,16.04654346,379,806,0,0.0,0,305,501,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
florida_twins_dbi,606,606,9.642710472,20.39972621,294,526,80,0.132013,0,95,431,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
florida_twins_dweck,879,879,9.237508556,20.39972621,622,876,80,0.083682,0,217,746,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
florida_twins_friends,1351,1351,9.237508556,20.39972621,942,1350,80,0.055944,0,516,1049,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
florida_twins_game,591,591,9.642710472,20.39972621,292,512,79,0.133672,0,91,421,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
florida_twins_grades,1348,1348,9.237508556,20.39972621,941,1346,80,0.056101,0,514,1046,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
florida_twins_grit,782,782,9.237508556,18.13278576,362,780,2,0.002558,0,149,631,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)","both sides of 18 present but the smaller group is 0.256% (< 2%), so not Mixed"
florida_twins_hwk,602,602,9.642710472,20.39972621,293,523,79,0.131229,0,96,427,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
florida_twins_leq,607,607,9.642710472,20.39972621,294,527,80,0.131796,0,96,431,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
florida_twins_media,608,608,9.642710472,20.39972621,294,528,80,0.131579,0,96,432,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
florida_twins_nes,1353,1353,9.237508556,20.39972621,942,1352,80,0.055866,0,515,1049,derived,Mixed,"Child (6-12y), Adolescent (12-18y)",
florida_twins_pals,784,784,9.237508556,18.13278576,362,782,2,0.002551,0,150,632,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)","both sides of 18 present but the smaller group is 0.255% (< 2%), so not Mixed"
forrest_2021_positive_affect_proxy,909,909,5.0,17.0,13,909,0,0.0,10,354,545,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
forrest_2021_phys_activity_child,2011,2011,8.0,17.0,10,2011,0,0.0,0,791,1220,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
forrest_2021_positive_affect_child,1869,1869,8.0,17.0,10,1869,0,0.0,0,777,1092,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
forrest_2021_phys_stress_child,1843,1843,8.0,17.0,10,1843,0,0.0,0,732,1111,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
forrest_2021_global_health_child,3635,3635,8.0,17.0,10,3635,0,0.0,0,2152,1483,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
forrest_2021_family_involve_proxy,958,958,5.0,17.0,13,958,0,0.0,11,347,600,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
forrest_2021_life_satisfaction_proxy,963,963,5.0,17.0,13,963,0,0.0,10,378,575,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
forrest_2021_meaning_purpose_child,1895,1895,8.0,17.0,10,1895,0,0.0,0,762,1133,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
forrest_2021_global_health_proxy,1807,1807,5.0,17.0,13,1807,0,0.0,35,906,866,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
forrest_2021_phys_activity_proxy,1032,1031,5.0,17.0,13,1031,0,0.0,12,367,652,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
forrest_2021_meaning_purpose_proxy,926,926,5.0,17.0,13,926,0,0.0,10,351,565,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
forrest_2021_life_satisfaction_child,1992,1992,8.0,17.0,10,1992,0,0.0,0,801,1191,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
forrest_2021_phys_stress_proxy,924,924,5.0,17.0,13,924,0,0.0,10,355,559,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
FomoNegativeAffect_cremer_2026_phq,461,461,18.0,25.0,8,0,461,0.0,0,0,0,derived,Adult (18+),,
forrest_2021_family_involve_child,1845,1845,8.0,17.0,10,1845,0,0.0,0,734,1111,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
FomoNegativeAffect_cremer_2026_rrs,459,459,18.0,25.0,8,0,459,0.0,0,0,0,derived,Adult (18+),,
forrest_2021_family_belonging_proxy,960,960,5.0,17.0,13,960,0,0.0,11,347,602,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
FomoNegativeAffect_cremer_2026_panas,461,461,18.0,25.0,8,0,461,0.0,0,0,0,derived,Adult (18+),,
forrest_2021_family_belonging_child,1845,1845,8.0,17.0,10,1845,0,0.0,0,734,1111,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
FomoNegativeAffect_cremer_2026_fomo,459,459,18.0,25.0,8,0,459,0.0,0,0,0,derived,Adult (18+),,
florida_twins_read,809,809,9.486652977,16.04654346,379,809,0,0.0,0,307,502,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
florida_twins_sch,804,804,9.486652977,16.04654346,378,804,0,0.0,0,305,499,derived,Child (<18y),"Child (6-12y), Adolescent (12-18y)",
