table,age range,child age (for child-focused studies),basis,min_age,max_age,n_age,share_under_18,generated
c19prc_uk_mcbride_2021_sci,Adult (18+),,derived_cov_age,18.0,83.0,1406,0.0,2026-09-01
c19prc_uk_mcbride_2021_pads,Adult (18+),,derived_cov_age,18.0,92.0,4949,0.0,2026-09-01
c19prc_uk_mcbride_2021_phq9,Adult (18+),,derived_cov_age,18.0,92.0,5364,0.0,2026-09-01
c19prc_uk_mcbride_2021_partyidentity,Adult (18+),,derived_cov_age,18.0,92.0,3349,0.0,2026-09-01
c19prc_uk_mcbride_2021_polarization_brexit,Adult (18+),,derived_cov_age,18.0,89.0,2058,0.0,2026-09-01
c19prc_uk_mcbride_2021_phq15,Adult (18+),,derived_cov_age,18.0,90.0,2878,0.0,2026-09-01
cfq_ruiz_2025_cfq,Adult (18+),,derived_cov_age,18.0,79.0,3388,0.0,2026-09-01
cavojova_2017_cfc,Adult (18+),,derived_cov_age,18.0,63.0,170,0.0,2026-09-01
campos_2023_swls,Adult (18+),,derived_cov_age,18.0,84.0,7591,0.0,2026-09-01
celik_2026_bfi,Adult (18+),,derived_cov_age,17.0,46.0,653,0.003063,2026-09-01
ccapsvtskhpacr_mercedes_2023_beck,Adult (18+),,derived_cov_age,36.0,86.0,194,0.0,2026-09-01
celik_2026_tipi,Adult (18+),,derived_cov_age,17.0,26.0,412,0.004854,2026-09-01
campos_2023_pidaq,Adult (18+),,derived_cov_age,18.0,84.0,7591,0.0,2026-09-01
ccapsvtskhpacr_mercedes_2023_physical,Adult (18+),,derived_cov_age,36.0,86.0,194,0.0,2026-09-01
celik_2026_academic_motivation,Adult (18+),,derived_cov_age,17.0,26.0,412,0.004854,2026-09-01
cf_kay_2025,Adult (18+),,derived_cov_age,18.0,81.0,492,0.0,2026-09-01
celik_2026_bpns,Adult (18+),,derived_cov_age,17.0,46.0,653,0.003063,2026-09-01
cfq_ruiz_2025_dass,Adult (18+),,derived_cov_age,18.0,79.0,3388,0.0,2026-09-01
ccapsvtskhpacr_mercedes_2023_sf,Adult (18+),,derived_cov_age,36.0,86.0,194,0.0,2026-09-01
celik_2026_distance_ed_attitudes_16,Adult (18+),,derived_cov_age,17.0,46.0,653,0.003063,2026-09-01
ccapsvtskhpacr_mercedes_2023_tsk,Adult (18+),,derived_cov_age,36.0,86.0,194,0.0,2026-09-01
ccapsvtskhpacr_mercedes_2023_hada,Adult (18+),,derived_cov_age,36.0,86.0,194,0.0,2026-09-01
campos_2023_oes,Adult (18+),,derived_cov_age,18.0,84.0,7591,0.0,2026-09-01
celik_2026_distance_ed_attitudes_26,Adult (18+),,derived_cov_age,17.0,26.0,412,0.004854,2026-09-01
caetano-santos-lsas-2021,Adult (18+),,derived_cov_age,18.0,61.0,436,0.0,2026-09-01
c19prc_uk_mcbride_2021_wordsum,Adult (18+),,derived_cov_age,18.0,89.0,2058,0.0,2026-09-01
caetano-santos-masi-2021,Adult (18+),,derived_cov_age,18.0,61.0,436,0.0,2026-09-01
chen2022_sasc,Child (<18y),"Child (6-12y), Adolescent (12-18y)",derived_cov_age,10.0,15.0,303,0.0,2026-09-01
chen2022b_socsupport,Mixed,Adolescent (12-18y),derived_cov_age,15.0,19.0,417,0.194245,2026-09-01
chen2022b_selfesteem,Mixed,Adolescent (12-18y),derived_cov_age,15.0,19.0,417,0.194245,2026-09-01
chen_2019_csq,Mixed,Adolescent (12-18y),derived_cov_age,17.0,22.0,235,0.051064,2026-09-01
chen2022b_psychabuse,Mixed,Adolescent (12-18y),derived_cov_age,15.0,19.0,417,0.194245,2026-09-01
chen2022_ses,Child (<18y),"Child (6-12y), Adolescent (12-18y)",derived_cov_age,10.0,15.0,303,0.0,2026-09-01
chen_2022_cesd,Adult (18+),,derived_cov_age,16.0,27.0,77211,0.00452,2026-09-01
chen_2022_gad,Adult (18+),,derived_cov_age,16.0,27.0,77211,0.00452,2026-09-01
chen2022_cls,Child (<18y),"Child (6-12y), Adolescent (12-18y)",derived_cov_age,10.0,15.0,303,0.0,2026-09-01
chen_2019_cdrsc,Mixed,Adolescent (12-18y),derived_cov_age,17.0,22.0,235,0.051064,2026-09-01
chen_2022_sasc,Adult (18+),,derived_cov_age,16.0,27.0,77211,0.00452,2026-09-01
clipa_2025_mslq,Adult (18+),,derived_cov_age,18.0,50.0,225,0.0,2026-09-01
chinvararak_2021_phq15,Adult (18+),,derived_cov_age,18.0,83.0,180,0.0,2026-09-01
climatechange_geiger_2025,Adult (18+),,derived_cov_age,18.0,85.0,3653,0.0,2026-09-01
chuang_2018_disease_checklist,Elderly (minimum age >50),,derived_cov_age,69.0,94.0,60,0.0,2026-09-01
chinvararak_2021_ylseq,Adult (18+),,derived_cov_age,18.0,83.0,180,0.0,2026-09-01
chinvararak_2021_bdi,Adult (18+),,derived_cov_age,18.0,83.0,180,0.0,2026-09-01
chinvararak_2021_ssq,Adult (18+),,derived_cov_age,18.0,83.0,180,0.0,2026-09-01
chinvararak_2021_ecr,Adult (18+),,derived_cov_age,18.0,83.0,180,0.0,2026-09-01
cmq_kay_2025,Adult (18+),,derived_cov_age,18.0,81.0,492,0.0,2026-09-01
colombia_2023_politics_confidence,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
cognitive_load_klimova_2023_stomp,Adult (18+),,derived_cov_age,17.0,23.0,170,0.005882,2026-09-01
cognitive_load_klimova_2023_masr,Adult (18+),,derived_cov_age,17.0,23.0,170,0.005882,2026-09-01
coh_goodman_2023_causal_beliefs,Adult (18+),,derived_cov_age,20.0,93.0,547,0.0,2026-09-01
colombia_2023_politics_difficulties,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
cognitive_load_klimova_2023_mlq,Adult (18+),,derived_cov_age,17.0,23.0,170,0.005882,2026-09-01
colombia_2023_politics_bribery,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
coh_goodman_2023_general_survey,Adult (18+),,derived_cov_age,20.0,93.0,555,0.0,2026-09-01
cogcontrol_gyurkovics_2019_simon,Mixed,Adolescent (12-18y),derived_cov_age,11.95,27.98,118,0.5,2026-09-01
colombia_2023_politics_attitudes,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
cogcontrol_gyurkovics_2019_sart,Mixed,Adolescent (12-18y),derived_cov_age,11.95,27.98,117,0.495726,2026-09-01
coh_goodman_2023_racial_comp,Adult (18+),,derived_cov_age,20.0,93.0,563,0.0,2026-09-01
coh_goodman_2023_health_literacy,Adult (18+),,derived_cov_age,20.0,93.0,533,0.0,2026-09-01
cognitive_load_klimova_2023_tbzsg,Adult (18+),,derived_cov_age,17.0,23.0,170,0.005882,2026-09-01
cogcontrol_gyurkovics_2019_flanker,Mixed,Adolescent (12-18y),derived_cov_age,11.95,27.98,118,0.5,2026-09-01
cognitive_load_klimova_2023_know,Adult (18+),,derived_cov_age,17.0,23.0,170,0.005882,2026-09-01
cognitive_load_klimova_2023_pwi,Adult (18+),,derived_cov_age,17.0,23.0,170,0.005882,2026-09-01
colombia_2023_politics_corruption,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_anticorruption,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_candidates,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
cogcontrol_gyurkovics_2019_mwprobe,Mixed,Adolescent (12-18y),derived_cov_age,11.95,27.98,117,0.495726,2026-09-01
colombia_2023_politics_belonging,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
cognitive_load_klimova_2023_paas,Adult (18+),,derived_cov_age,17.0,23.0,170,0.005882,2026-09-01
colombia_2023_politics_discrimination,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_channels,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_registration,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_reasons,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_rights,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_voting,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_problems,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_party,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_prevention,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_transparency,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colomer_perez_2021_soc13,Mixed,Adolescent (12-18y),derived_cov_age,16.0,57.0,920,0.082609,2026-09-01
colombia_2023_politics_wellbeing,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_importance,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_organizations,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_neighbors,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_hurdles,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_guarantees,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_meaning,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_risks,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_spaces,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_mechanisms,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_procedures,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colomer_perez_2021_asa,Mixed,Adolescent (12-18y),derived_cov_age,16.0,57.0,920,0.082609,2026-09-01
colombia_2023_politics_requisites,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_protection,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_trust,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
colombia_2023_politics_media,Adult (18+),,derived_cov_age,18.0,114.0,46392,0.0,2026-09-01
conner_2017_curiosity,Adult (18+),,derived_cov_age,18.0,25.0,171,0.0,2026-09-01
conner_2017_hads_anxiety,Adult (18+),,derived_cov_age,18.0,25.0,171,0.0,2026-09-01
conner_2017_flourishing,Adult (18+),,derived_cov_age,18.0,25.0,171,0.0,2026-09-01
conner_2017_cesd,Adult (18+),,derived_cov_age,18.0,25.0,171,0.0,2026-09-01
conner_2017_bfi,Adult (18+),,derived_cov_age,18.0,25.0,171,0.0,2026-09-01
cucchi_2018_scoff,Adult (18+),,derived_cov_age,18.0,67.0,229,0.0,2026-09-01
cucchi_2018_rfq,Adult (18+),,derived_cov_age,18.0,67.0,229,0.0,2026-09-01
cucchi_2018_rmet,Adult (18+),,derived_cov_age,18.0,67.0,203,0.0,2026-09-01
curiosity_stone_2022_fns,Adult (18+),,derived_cov_age,18.0,72.0,481,0.0,2026-09-01
cosenza_2015_cfc,Mixed,Adolescent (12-18y),derived_cov_age,16.0,19.0,1030,0.336893,2026-09-01
contreras_valdez_2022_bsq,Adult (18+),,derived_cov_age,18.0,83.0,1117,0.0,2026-09-01
cucchi_2018_pts,Adult (18+),,derived_cov_age,18.0,67.0,211,0.0,2026-09-01
contreras_valdez_2022_rses,Adult (18+),,derived_cov_age,18.0,86.0,973,0.0,2026-09-01
conspiracy_asd__asd_aq10,Adult (18+),,derived_cov_age,19.0,66.0,431,0.0,2026-09-01
covid_travel_mackenzie_2021,Adult (18+),,derived_cov_age,18.0,99.0,1310,0.0,2026-09-01
cucchi_2018_tas20,Adult (18+),,derived_cov_age,18.0,67.0,204,0.0,2026-09-01
conspiracy_asd__schizotypy,Adult (18+),,derived_cov_age,19.0,66.0,431,0.0,2026-09-01
cucchi_2018_kims,Adult (18+),,derived_cov_age,18.0,67.0,210,0.0,2026-09-01
conspiracy_asd__thinking_styles,Adult (18+),,derived_cov_age,19.0,66.0,431,0.0,2026-09-01
conspiracy_asd__conspiracy_gcbs,Adult (18+),,derived_cov_age,19.0,66.0,431,0.0,2026-09-01
contreras_valdez_2022_edeq,Adult (18+),,derived_cov_age,18.0,86.0,2090,0.0,2026-09-01
conner_2017_vitality,Adult (18+),,derived_cov_age,18.0,25.0,171,0.0,2026-09-01
conner_2017_lot,Adult (18+),,derived_cov_age,18.0,25.0,171,0.0,2026-09-01
conspiracy_asd__cognitive_flexibility,Adult (18+),,derived_cov_age,19.0,66.0,431,0.0,2026-09-01
DART_Brysbaert_2020_1,Mixed,Adolescent (12-18y),derived_cov_age,17.0,38.0,199,0.125628,2026-09-01
darkfactorfrench_pischel_2026_normlessness,Adult (18+),,derived_cov_age,18.0,85.0,501,0.0,2026-09-01
darkfactorfrench_pischel_2026_crime_analog,Adult (18+),,derived_cov_age,18.0,76.0,412,0.0,2026-09-01
darkfactorfrench_pischel_2026_dictator_game,Adult (18+),,derived_cov_age,18.0,76.0,412,0.0,2026-09-01
darkfactorfrench_pischel_2026_exploitative,Adult (18+),,derived_cov_age,18.0,76.0,480,0.0,2026-09-01
dalky_2020_sf36,Mixed,Adolescent (12-18y),derived_cov_age,16.0,44.0,523,0.051625,2026-09-01
dalichaouche_2026_covid_practices,Adult (18+),,derived_cov_age,19.0,34.0,294,0.0,2026-09-01
daiku_2021_lying_frequency,Adult (18+),,derived_cov_age,18.0,54.0,305,0.0,2026-09-01
dejesus_2017_gpm,Elderly (minimum age >50),,derived_cov_age,60.0,85.0,98,0.0,2026-09-01
dejesus_2017_sf36,Elderly (minimum age >50),,derived_cov_age,60.0,85.0,98,0.0,2026-09-01
darkfactorfrench_pischel_2026_civic_behavior,Adult (18+),,derived_cov_age,18.0,76.0,412,0.0,2026-09-01
darkfactorfrench_pischel_2026_sdo7s,Adult (18+),,derived_cov_age,18.0,85.0,501,0.0,2026-09-01
darkfactorfrench_pischel_2026_interp_dysfx,Adult (18+),,derived_cov_age,18.0,76.0,480,0.0,2026-09-01
dalichaouche_2026_covid_attitudes,Adult (18+),,derived_cov_age,19.0,34.0,294,0.0,2026-09-01
darkfactorfrench_pischel_2026_callousness,Adult (18+),,derived_cov_age,18.0,76.0,480,0.0,2026-09-01
daderman_2023_naqr,Adult (18+),,derived_cov_age,17.0,75.0,861,0.001161,2026-09-01
dalichaouche_2026_covid_knowledge,Adult (18+),,derived_cov_age,19.0,34.0,294,0.0,2026-09-01
curiosity_stone_2022_var,Adult (18+),,derived_cov_age,18.0,72.0,481,0.0,2026-09-01
curiosity_stone_2022_invol,Adult (18+),,derived_cov_age,18.0,72.0,481,0.0,2026-09-01
daiku_2021_dirty_dozen,Adult (18+),,derived_cov_age,18.0,54.0,305,0.0,2026-09-01
dejesus_2017_lequesne,Elderly (minimum age >50),,derived_cov_age,60.0,85.0,98,0.0,2026-09-01
darkfactorfrench_pischel_2026_worldview_cj,Adult (18+),,derived_cov_age,18.0,85.0,501,0.0,2026-09-01
daiku_2021_lie_scale,Adult (18+),,derived_cov_age,18.0,54.0,305,0.0,2026-09-01
darkfactorfrench_pischel_2026_d70,Adult (18+),,derived_cov_age,18.0,86.0,163114,0.0,2026-09-01
dss_mouta_2021,Adult (18+),,derived_cov_age,18.0,64.0,936,0.0,2026-09-01
dolzdelcastellar_2021_faces,Adult (18+),,derived_cov_age,18.0,56.0,185,0.0,2026-09-01
dopmeijer_2022_sense_belonging,Mixed,Adolescent (12-18y),derived_cov_age,17.01574264202601,59.85215605749487,3141,0.055715,2026-09-01
dmirt_forsberg_2024,Adult (18+),,derived_cov_age,17.0,85.0,1046,0.005736,2026-09-01
dopmeijer_2022_loneliness,Mixed,Adolescent (12-18y),derived_cov_age,17.01574264202601,59.85215605749487,3141,0.055715,2026-09-01
dominguez_2018_uwes,Adult (18+),,derived_cov_age,23.0,41.0,202,0.0,2026-09-01
dejesus_2017_womac,Elderly (minimum age >50),,derived_cov_age,60.0,85.0,98,0.0,2026-09-01
den_kay_2025,Adult (18+),,derived_cov_age,18.0,81.0,492,0.0,2026-09-01
dopmeijer_2022_performance_pressure,Mixed,Adolescent (12-18y),derived_cov_age,17.01574264202601,59.85215605749487,3141,0.055715,2026-09-01
dominguez_2018_jcs,Adult (18+),,derived_cov_age,23.0,41.0,202,0.0,2026-09-01
derubeis_2017_arsq,Mixed,Adolescent (12-18y),derived_cov_age,17.34154688569473,70.20670773442848,72,0.027778,2026-09-01
derubeis_2017_bdi,Mixed,Adolescent (12-18y),derived_cov_age,17.34154688569473,70.20670773442848,72,0.027778,2026-09-01
duboz_2021_pss10,Adult (18+),,derived_cov_age,18.0,99.0,1493,0.0,2026-09-01
dominguez_2018_mbi,Adult (18+),,derived_cov_age,23.0,41.0,202,0.0,2026-09-01
dopmeijer_2022_ubos,Mixed,Adolescent (12-18y),derived_cov_age,17.01574264202601,59.85215605749487,3141,0.055715,2026-09-01
dolzdelcastellar_2021_stai,Adult (18+),,derived_cov_age,18.0,56.0,185,0.0,2026-09-01
depression_hymcohort_tang2022,Mixed,Adolescent (12-18y),derived_cov_age,16.2026009582478,25.1690622861054,448,0.024554,2026-09-01
dolzdelcastellar_2021_eds,Adult (18+),,derived_cov_age,18.0,56.0,185,0.0,2026-09-01
dominguez_2018_itl,Adult (18+),,derived_cov_age,23.0,41.0,202,0.0,2026-09-01
disgust_berger2014,Adult (18+),,derived_cov_age,12.0,85.0,1414,0.009194,2026-09-01
divia_2025_tiktok_fomo_shopping,Mixed,Adolescent (12-18y),derived_cov_age,12.0,52.0,400,0.045,2026-09-01
dinic_2025_shortdarktriad,Adult (18+),,derived_cov_age,16.0,88.0,14631,0.003076,2026-09-01
ders16_xiong_2025,Mixed,"Child (6-12y), Adolescent (12-18y)",derived_cov_age,8.0,70.0,9506,0.37429,2026-09-01
ders_valencia_2025,Adult (18+),,derived_cov_age,18.0,29.0,345,0.0,2026-09-01
eammi_grahe_2018_belong,Adult (18+),,derived_cov_age,18.0,61.0,2168,0.0,2026-09-01
eammi_grahe_2018_idea,Adult (18+),,derived_cov_age,18.0,61.0,2168,0.0,2026-09-01
dvivdtws_ppmial_marcatto_2023_dtw,Adult (18+),,derived_cov_age,20.0,62.0,299,0.0,2026-09-01
eammi_grahe_2018_american_dream,Adult (18+),,derived_cov_age,18.0,61.0,2163,0.0,2026-09-01
eammi_grahe_2018_efficacy,Adult (18+),,derived_cov_age,18.0,61.0,2169,0.0,2026-09-01
dwyer_2025_genomics_pc,Adult (18+),,derived_cov_age,3.0,59.0,453,0.002208,2026-09-01
dvivdtws_ppmial_marcatto_2023_ocs,Adult (18+),,derived_cov_age,20.0,62.0,299,0.0,2026-09-01
dwyer_2025_genomics_sjc,Adult (18+),,derived_cov_age,3.0,59.0,453,0.002208,2026-09-01
dwyer_2019_clinton_activist,Adult (18+),,derived_cov_age,18.25,75.8333,167,0.0,2026-09-01
eammi_grahe_2018_marriage_identity_allocation,Adult (18+),,derived_cov_age,18.0,61.0,2167,0.0,2026-09-01
eammi_grahe_2018_disability_identity,Adult (18+),,derived_cov_age,18.0,61.0,1360,0.0,2026-09-01
eammi_grahe_2018_exploit,Adult (18+),,derived_cov_age,18.0,61.0,2169,0.0,2026-09-01
eammi_grahe_2018_marriage_attitudes,Adult (18+),,derived_cov_age,18.0,61.0,2166,0.0,2026-09-01
dwyer_2025_genomics_gec,Adult (18+),,derived_cov_age,3.0,59.0,453,0.002208,2026-09-01
dwyer_2025_genomics_pb,Adult (18+),,derived_cov_age,3.0,59.0,453,0.002208,2026-09-01
dvivdtws_ppmial_marcatto_2023_snaq,Adult (18+),,derived_cov_age,20.0,62.0,299,0.0,2026-09-01
dwyer_2025_genomics_os,Adult (18+),,derived_cov_age,3.0,59.0,453,0.002208,2026-09-01
dwyer_2025_genomics_ec,Adult (18+),,derived_cov_age,3.0,59.0,453,0.002208,2026-09-01
eammi_grahe_2018_mindful,Adult (18+),,derived_cov_age,18.0,61.0,2166,0.0,2026-09-01
dwyer_2019_clinton_cesd,Adult (18+),,derived_cov_age,18.25,75.8333,167,0.0,2026-09-01
dvivdtws_ppmial_marcatto_2023_ocb,Adult (18+),,derived_cov_age,20.0,62.0,299,0.0,2026-09-01
dvivdtws_ppmial_marcatto_2023_cwb,Adult (18+),,derived_cov_age,20.0,62.0,299,0.0,2026-09-01
duboz_2021_swls,Adult (18+),,derived_cov_age,18.0,99.0,1493,0.0,2026-09-01
ecps_sahm_2024_ia,Adult (18+),,derived_cov_age,18.0,100.0,13093,0.0,2026-09-01
ecuador_2011_safety_impact,Mixed,Adolescent (12-18y),derived_cov_age,16.0,97.0,117737,0.049143,2026-09-01
eammi_grahe_2018_npi,Adult (18+),,derived_cov_age,18.0,61.0,2169,0.0,2026-09-01
ecuador_2011_safety_confidence,Mixed,Adolescent (12-18y),derived_cov_age,16.0,97.0,117150,0.049279,2026-09-01
ecps_sahm_2024_trust,Adult (18+),,derived_cov_age,18.0,100.0,15254,0.0,2026-09-01
ecps_sahm_2024_stress,Adult (18+),,derived_cov_age,18.0,100.0,15678,0.0,2026-09-01
ecps_sahm_2024_emotion,Adult (18+),,derived_cov_age,18.0,100.0,12947,0.0,2026-09-01
eammi_grahe_2018_transgressions,Adult (18+),,derived_cov_age,18.0,61.0,2166,0.0,2026-09-01
eammi_grahe_2018_moa2,Adult (18+),,derived_cov_age,18.0,61.0,2167,0.0,2026-09-01
ecuador_2011_safety_crime,Mixed,Adolescent (12-18y),derived_cov_age,16.0,97.0,117737,0.049143,2026-09-01
eammi_grahe_2018_stress,Adult (18+),,derived_cov_age,18.0,61.0,2164,0.0,2026-09-01
eammi_grahe_2018_physsx,Adult (18+),,derived_cov_age,18.0,61.0,2164,0.0,2026-09-01
ecps_sahm_2024_dtl,Adult (18+),,derived_cov_age,18.0,100.0,13253,0.0,2026-09-01
ecps_sahm_2024_vaccine,Adult (18+),,derived_cov_age,18.0,100.0,15318,0.0,2026-09-01
ecps_sahm_2024_sscd,Adult (18+),,derived_cov_age,18.0,100.0,15550,0.0,2026-09-01
eammi_grahe_2018_support,Adult (18+),,derived_cov_age,18.0,61.0,2168,0.0,2026-09-01
eammi_grahe_2018_socmedia,Adult (18+),,derived_cov_age,18.0,61.0,2168,0.0,2026-09-01
ecps_sahm_2024_distrust,Adult (18+),,derived_cov_age,18.0,100.0,13093,0.0,2026-09-01
ecps_sahm_2024_identity,Adult (18+),,derived_cov_age,18.0,100.0,15641,0.0,2026-09-01
ecuador_2011_safety_homesec,Mixed,Adolescent (12-18y),derived_cov_age,16.0,97.0,117685,0.049148,2026-09-01
ecps_sahm_2024_support,Adult (18+),,derived_cov_age,18.0,100.0,15665,0.0,2026-09-01
eammi_grahe_2018_swb,Adult (18+),,derived_cov_age,18.0,61.0,2168,0.0,2026-09-01
eammi_grahe_2018_moa1,Adult (18+),,derived_cov_age,18.0,61.0,2166,0.0,2026-09-01
ecps_sahm_2024_moral,Adult (18+),,derived_cov_age,18.0,100.0,13014,0.0,2026-09-01
ecuador_2011_safety_avoidance,Mixed,Adolescent (12-18y),derived_cov_age,16.0,97.0,117651,0.049179,2026-09-01
emiral_2025_aips,Adult (18+),,derived_cov_age,17.0,55.0,729,0.001372,2026-09-01
ecuador_2011_safety_victimtype,Mixed,Adolescent (12-18y),derived_cov_age,16.0,97.0,117737,0.049143,2026-09-01
ecuador_2011_safety_victim,Mixed,Adolescent (12-18y),derived_cov_age,16.0,97.0,117737,0.049143,2026-09-01
ecuador_2011_safety_safety,Mixed,Adolescent (12-18y),derived_cov_age,16.0,97.0,117647,0.049122,2026-09-01
EEEDPRM_Bulut_2021,Mixed,Adolescent (12-18y),derived_cov_age,10.0,70.0,961,0.228928,2026-09-01
ecuador_2011_safety_operatives,Mixed,Adolescent (12-18y),derived_cov_age,16.0,97.0,115835,0.049208,2026-09-01
ecuador_2011_safety_places,Mixed,Adolescent (12-18y),derived_cov_age,16.0,97.0,117696,0.049161,2026-09-01
ees_sarling_2024,Adult (18+),,derived_cov_age,18.0,83.0,805,0.0,2026-09-01
estevez_2021_actitu,Child (<18y),"Child (6-12y), Adolescent (12-18y)",derived_cov_age,9.0,13.0,863,0.0,2026-09-01
ecuador_2011_safety_trend,Mixed,Adolescent (12-18y),derived_cov_age,16.0,97.0,117058,0.049095,2026-09-01
erf_breuer_2017_tai,Mixed,Adolescent (12-18y),derived_cov_age,14.0,20.0,433,0.193995,2026-09-01
erf_breuer_2017_dosp,Mixed,Adolescent (12-18y),derived_cov_age,14.0,20.0,433,0.193995,2026-09-01
erf_breuer_2017_frmfr,Mixed,Adolescent (12-18y),derived_cov_age,14.0,20.0,433,0.193995,2026-09-01
envirisk_lalot_2025,Adult (18+),,derived_cov_age,18.0,76.0,2000,0.0,2026-09-01
erf_breuer_2017_frmmc,Mixed,Adolescent (12-18y),derived_cov_age,14.0,20.0,433,0.193995,2026-09-01
ecuador_2011_safety_surroundings,Mixed,Adolescent (12-18y),derived_cov_age,16.0,97.0,117584,0.049199,2026-09-01
estevez_2021_feepad,Child (<18y),"Child (6-12y), Adolescent (12-18y)",derived_cov_age,9.0,13.0,863,0.0,2026-09-01
estevez_2021_feepr,Child (<18y),"Child (6-12y), Adolescent (12-18y)",derived_cov_age,9.0,13.0,863,0.0,2026-09-01
estevez_2021_gest,Child (<18y),"Child (6-12y), Adolescent (12-18y)",derived_cov_age,9.0,13.0,863,0.0,2026-09-01
estevez_2021_homework_engagement,Child (<18y),"Child (6-12y), Adolescent (12-18y)",derived_cov_age,9.0,13.0,863,0.0,2026-09-01
estevez_2021_inter,Child (<18y),"Child (6-12y), Adolescent (12-18y)",derived_cov_age,9.0,13.0,863,0.0,2026-09-01
estevez_2021_math_attitudes,Child (<18y),"Child (6-12y), Adolescent (12-18y)",derived_cov_age,9.0,13.0,863,0.0,2026-09-01
estevez_2021_motiv,Child (<18y),"Child (6-12y), Adolescent (12-18y)",derived_cov_age,9.0,13.0,863,0.0,2026-09-01
evpromisi_stone_2021_cdiag,Adult (18+),,derived_cov_age,21.0,81.0,484,0.0,2026-09-01
evpromisi_stone_2021_ddedanx,Adult (18+),,derived_cov_age,30.0,70.0,85,0.0,2026-09-01
evpromisi_stone_2021_ddeddep,Adult (18+),,derived_cov_age,21.0,77.0,283,0.0,2026-09-01
evpromisi_stone_2021_global,Adult (18+),,derived_cov_age,21.0,81.0,484,0.0,2026-09-01
extremera_2016_ei,Adult (18+),,derived_cov_age,17.0,64.0,1121,0.000892,2026-09-01
extremera_2016_sbq,Adult (18+),,derived_cov_age,17.0,64.0,961,0.001041,2026-09-01
extremera_2016_shs,Adult (18+),,derived_cov_age,17.0,64.0,1123,0.00089,2026-09-01
extremera_2016_swls,Adult (18+),,derived_cov_age,17.0,64.0,1123,0.00089,2026-09-01
eyrenci_2025_mental_health_literacy,Adult (18+),,derived_cov_age,18.0,88.0,240,0.0,2026-09-01
face_memory_amado_2024,Adult (18+),,derived_cov_age,18.0,63.0,597,0.0,2026-09-01
FAD_fadplus_goto2021,Adult (18+),,derived_cov_age,18.0,80.0,802,0.0,2026-09-01
falih_2026_dass21,Adult (18+),,derived_cov_age,22.0,50.0,262,0.0,2026-09-01
falih_2026_mds16,Adult (18+),,derived_cov_age,22.0,50.0,262,0.0,2026-09-01
fatima_2025_mslq,Adult (18+),,derived_cov_age,21.0,88.0,349,0.0,2026-09-01
