journal,issn_l,publisher,in_pmc,pmc_deposit_scope_proxy,year,n_records,n_fulltext,n_oa,pct_fulltext,pct_oa,springer_oa_n,sample_n,pct_with_supp,pct_with_data_like_supp,pct_data_like_ambiguous_only,median_data_files,pct_cc_by,pct_cc_by_nc,pct_cc_by_nc_nd,pct_license_other,pct_license_unknown
Cognitive Research: Principles and Implications,2365-7464,Springer (Biomed Central Ltd.),TRUE,0.986,2024,82,81,81,0.988,0.988,,100,93.0,1.0,0.0,2,99.0,0.0,1.0,0.0,0.0
Cognitive Research: Principles and Implications,2365-7464,Springer (Biomed Central Ltd.),TRUE,0.986,2025,86,86,86,1.0,1.0,,100,93.0,1.0,0.0,2,99.0,0.0,1.0,0.0,0.0
Journal of Open Psychology Data,2050-9863,"Ubiquity Press, Ltd.",UNKNOWN,1.0,2015,0,0,0,,,,37,91.9,8.1,5.4,1,100.0,0.0,0.0,0.0,0.0
Journal of Open Psychology Data,2050-9863,"Ubiquity Press, Ltd.",UNKNOWN,1.0,2016,0,0,0,,,,37,91.9,8.1,5.4,1,100.0,0.0,0.0,0.0,0.0
Journal of Open Psychology Data,2050-9863,"Ubiquity Press, Ltd.",UNKNOWN,1.0,2017,0,0,0,,,,37,91.9,8.1,5.4,1,100.0,0.0,0.0,0.0,0.0
Journal of Open Psychology Data,2050-9863,"Ubiquity Press, Ltd.",UNKNOWN,1.0,2018,0,0,0,,,,37,91.9,8.1,5.4,1,100.0,0.0,0.0,0.0,0.0
Journal of Open Psychology Data,2050-9863,"Ubiquity Press, Ltd.",UNKNOWN,1.0,2019,0,0,0,,,,37,91.9,8.1,5.4,1,100.0,0.0,0.0,0.0,0.0
Journal of Open Psychology Data,2050-9863,"Ubiquity Press, Ltd.",UNKNOWN,1.0,2020,0,0,0,,,,37,91.9,8.1,5.4,1,100.0,0.0,0.0,0.0,0.0
Journal of Open Psychology Data,2050-9863,"Ubiquity Press, Ltd.",UNKNOWN,1.0,2021,0,0,0,,,,37,91.9,8.1,5.4,1,100.0,0.0,0.0,0.0,0.0
Journal of Open Psychology Data,2050-9863,"Ubiquity Press, Ltd.",TRUE,1.0,2022,1,1,0,1.0,0.0,,37,91.9,8.1,5.4,1,100.0,0.0,0.0,0.0,0.0
Journal of Open Psychology Data,2050-9863,"Ubiquity Press, Ltd.",TRUE,1.0,2023,19,19,19,1.0,1.0,,37,91.9,8.1,5.4,1,100.0,0.0,0.0,0.0,0.0
Journal of Open Psychology Data,2050-9863,"Ubiquity Press, Ltd.",TRUE,1.0,2024,12,12,12,1.0,1.0,,37,91.9,8.1,5.4,1,100.0,0.0,0.0,0.0,0.0
Journal of Open Psychology Data,2050-9863,"Ubiquity Press, Ltd.",TRUE,1.0,2025,6,6,6,1.0,1.0,,37,91.9,8.1,5.4,1,100.0,0.0,0.0,0.0,0.0
Journal of Intelligence,2079-3200,MDPI AG,UNKNOWN,1.0,2015,0,0,0,,,,100,78.0,15.0,15.0,1,100.0,0.0,0.0,0.0,0.0
Journal of Intelligence,2079-3200,MDPI AG,TRUE,1.0,2016,3,3,3,1.0,1.0,,100,78.0,15.0,15.0,1,100.0,0.0,0.0,0.0,0.0
Journal of Intelligence,2079-3200,MDPI AG,TRUE,1.0,2017,34,34,34,1.0,1.0,,100,78.0,15.0,15.0,1,100.0,0.0,0.0,0.0,0.0
Journal of Intelligence,2079-3200,MDPI AG,TRUE,1.0,2018,53,53,53,1.0,1.0,,100,78.0,15.0,15.0,1,100.0,0.0,0.0,0.0,0.0
Journal of Intelligence,2079-3200,MDPI AG,TRUE,1.0,2019,27,27,27,1.0,1.0,,100,78.0,15.0,15.0,1,100.0,0.0,0.0,0.0,0.0
Journal of Intelligence,2079-3200,MDPI AG,TRUE,1.0,2020,43,43,43,1.0,1.0,,100,78.0,15.0,15.0,1,100.0,0.0,0.0,0.0,0.0
Journal of Intelligence,2079-3200,MDPI AG,TRUE,1.0,2021,63,63,63,1.0,1.0,,100,78.0,15.0,15.0,1,100.0,0.0,0.0,0.0,0.0
Journal of Intelligence,2079-3200,MDPI AG,TRUE,1.0,2022,134,134,134,1.0,1.0,,100,78.0,15.0,15.0,1,100.0,0.0,0.0,0.0,0.0
Journal of Intelligence,2079-3200,MDPI AG,TRUE,1.0,2023,221,221,221,1.0,1.0,,100,78.0,15.0,15.0,1,100.0,0.0,0.0,0.0,0.0
Journal of Intelligence,2079-3200,MDPI AG,TRUE,1.0,2024,131,131,131,1.0,1.0,,100,78.0,15.0,15.0,1,100.0,0.0,0.0,0.0,0.0
Journal of Intelligence,2079-3200,MDPI AG,TRUE,1.0,2025,164,164,164,1.0,1.0,,100,78.0,15.0,15.0,1,100.0,0.0,0.0,0.0,0.0
Behavioral Sciences,2076-328X,MDPI AG,TRUE,0.998,2015,35,35,35,1.0,1.0,,100,84.0,12.0,12.0,1,100.0,0.0,0.0,0.0,0.0
Behavioral Sciences,2076-328X,MDPI AG,TRUE,0.998,2016,30,30,30,1.0,1.0,,100,84.0,12.0,12.0,1,100.0,0.0,0.0,0.0,0.0
Behavioral Sciences,2076-328X,MDPI AG,TRUE,0.998,2017,87,87,87,1.0,1.0,,100,84.0,12.0,12.0,1,100.0,0.0,0.0,0.0,0.0
Behavioral Sciences,2076-328X,MDPI AG,TRUE,0.998,2018,117,117,117,1.0,1.0,,100,84.0,12.0,12.0,1,100.0,0.0,0.0,0.0,0.0
Behavioral Sciences,2076-328X,MDPI AG,TRUE,0.998,2019,178,178,178,1.0,1.0,,100,84.0,12.0,12.0,1,100.0,0.0,0.0,0.0,0.0
Behavioral Sciences,2076-328X,MDPI AG,TRUE,0.998,2020,174,174,174,1.0,1.0,,100,84.0,12.0,12.0,1,100.0,0.0,0.0,0.0,0.0
Behavioral Sciences,2076-328X,MDPI AG,TRUE,0.998,2021,187,187,187,1.0,1.0,,100,84.0,12.0,12.0,1,100.0,0.0,0.0,0.0,0.0
Behavioral Sciences,2076-328X,MDPI AG,TRUE,0.998,2022,549,549,549,1.0,1.0,,100,84.0,12.0,12.0,1,100.0,0.0,0.0,0.0,0.0
Behavioral Sciences,2076-328X,MDPI AG,TRUE,0.998,2023,1010,1008,1008,0.998,0.998,,100,84.0,12.0,12.0,1,100.0,0.0,0.0,0.0,0.0
Behavioral Sciences,2076-328X,MDPI AG,TRUE,0.998,2024,1239,1239,1239,1.0,1.0,,100,84.0,12.0,12.0,1,100.0,0.0,0.0,0.0,0.0
Behavioral Sciences,2076-328X,MDPI AG,TRUE,0.998,2025,1784,1784,1784,1.0,1.0,,100,84.0,12.0,12.0,1,100.0,0.0,0.0,0.0,0.0
Behavior Research Methods,1554-351X,Springer - Psychonomic Society,TRUE,0.614,2015,112,23,10,0.205,0.089,,100,97.0,1.0,0.0,1,99.0,0.0,0.0,0.0,1.0
Behavior Research Methods,1554-351X,Springer - Psychonomic Society,TRUE,0.614,2016,129,26,17,0.202,0.132,,100,97.0,1.0,0.0,1,99.0,0.0,0.0,0.0,1.0
Behavior Research Methods,1554-351X,Springer - Psychonomic Society,TRUE,0.614,2017,174,38,23,0.218,0.132,,100,97.0,1.0,0.0,1,99.0,0.0,0.0,0.0,1.0
Behavior Research Methods,1554-351X,Springer - Psychonomic Society,TRUE,0.614,2018,181,45,38,0.249,0.21,,100,97.0,1.0,0.0,1,99.0,0.0,0.0,0.0,1.0
Behavior Research Methods,1554-351X,Springer - Psychonomic Society,TRUE,0.614,2019,181,63,51,0.348,0.282,,100,97.0,1.0,0.0,1,99.0,0.0,0.0,0.0,1.0
Behavior Research Methods,1554-351X,Springer - Psychonomic Society,TRUE,0.614,2020,200,80,67,0.4,0.335,,100,97.0,1.0,0.0,1,99.0,0.0,0.0,0.0,1.0
Behavior Research Methods,1554-351X,Springer - Psychonomic Society,TRUE,0.614,2021,286,163,143,0.57,0.5,,100,97.0,1.0,0.0,1,99.0,0.0,0.0,0.0,1.0
Behavior Research Methods,1554-351X,Springer - Psychonomic Society,TRUE,0.614,2022,287,166,153,0.578,0.533,,100,97.0,1.0,0.0,1,99.0,0.0,0.0,0.0,1.0
Behavior Research Methods,1554-351X,Springer - Psychonomic Society,TRUE,0.614,2023,277,170,155,0.614,0.56,,100,97.0,1.0,0.0,1,99.0,0.0,0.0,0.0,1.0
Behavior Research Methods,1554-351X,Springer - Psychonomic Society,TRUE,0.614,2024,240,160,153,0.667,0.637,,100,97.0,1.0,0.0,1,99.0,0.0,0.0,0.0,1.0
Behavior Research Methods,1554-351X,Springer - Psychonomic Society,TRUE,0.614,2025,341,211,208,0.619,0.61,,100,97.0,1.0,0.0,1,99.0,0.0,0.0,0.0,1.0
Assessment,1073-1911,SAGE Publications,TRUE,0.412,2015,85,13,0,0.153,0.0,,86,100.0,0.0,0.0,,73.3,26.7,0.0,0.0,0.0
Assessment,1073-1911,SAGE Publications,TRUE,0.412,2016,136,20,1,0.147,0.007,,86,100.0,0.0,0.0,,73.3,26.7,0.0,0.0,0.0
Assessment,1073-1911,SAGE Publications,TRUE,0.412,2017,126,24,7,0.19,0.056,,86,100.0,0.0,0.0,,73.3,26.7,0.0,0.0,0.0
Assessment,1073-1911,SAGE Publications,TRUE,0.412,2018,80,21,4,0.263,0.05,,86,100.0,0.0,0.0,,73.3,26.7,0.0,0.0,0.0
Assessment,1073-1911,SAGE Publications,TRUE,0.412,2019,93,23,8,0.247,0.086,,86,100.0,0.0,0.0,,73.3,26.7,0.0,0.0,0.0
Assessment,1073-1911,SAGE Publications,TRUE,0.412,2020,124,31,15,0.25,0.121,,86,100.0,0.0,0.0,,73.3,26.7,0.0,0.0,0.0
Assessment,1073-1911,SAGE Publications,TRUE,0.412,2021,153,49,31,0.32,0.203,,86,100.0,0.0,0.0,,73.3,26.7,0.0,0.0,0.0
Assessment,1073-1911,SAGE Publications,TRUE,0.412,2022,92,36,27,0.391,0.293,,86,100.0,0.0,0.0,,73.3,26.7,0.0,0.0,0.0
Assessment,1073-1911,SAGE Publications,TRUE,0.412,2023,119,49,34,0.412,0.286,,86,100.0,0.0,0.0,,73.3,26.7,0.0,0.0,0.0
Assessment,1073-1911,SAGE Publications,TRUE,0.412,2024,99,42,31,0.424,0.313,,86,100.0,0.0,0.0,,73.3,26.7,0.0,0.0,0.0
Assessment,1073-1911,SAGE Publications,TRUE,0.412,2025,109,25,21,0.229,0.193,,86,100.0,0.0,0.0,,73.3,26.7,0.0,0.0,0.0
Educational and Psychological Measurement,0013-1644,SAGE Publications,TRUE,1.0,2015,50,50,1,1.0,0.02,,43,100.0,0.0,0.0,,53.5,46.5,0.0,0.0,0.0
Educational and Psychological Measurement,0013-1644,SAGE Publications,TRUE,1.0,2016,71,71,1,1.0,0.014,,43,100.0,0.0,0.0,,53.5,46.5,0.0,0.0,0.0
Educational and Psychological Measurement,0013-1644,SAGE Publications,TRUE,1.0,2017,45,45,3,1.0,0.067,,43,100.0,0.0,0.0,,53.5,46.5,0.0,0.0,0.0
Educational and Psychological Measurement,0013-1644,SAGE Publications,TRUE,1.0,2018,26,26,0,1.0,0.0,,43,100.0,0.0,0.0,,53.5,46.5,0.0,0.0,0.0
Educational and Psychological Measurement,0013-1644,SAGE Publications,TRUE,1.0,2019,56,56,3,1.0,0.054,,43,100.0,0.0,0.0,,53.5,46.5,0.0,0.0,0.0
Educational and Psychological Measurement,0013-1644,SAGE Publications,TRUE,1.0,2020,52,52,5,1.0,0.096,,43,100.0,0.0,0.0,,53.5,46.5,0.0,0.0,0.0
Educational and Psychological Measurement,0013-1644,SAGE Publications,TRUE,1.0,2021,57,57,9,1.0,0.158,,43,100.0,0.0,0.0,,53.5,46.5,0.0,0.0,0.0
Educational and Psychological Measurement,0013-1644,SAGE Publications,TRUE,1.0,2022,54,54,11,1.0,0.204,,43,100.0,0.0,0.0,,53.5,46.5,0.0,0.0,0.0
Educational and Psychological Measurement,0013-1644,SAGE Publications,TRUE,1.0,2023,43,43,16,1.0,0.372,,43,100.0,0.0,0.0,,53.5,46.5,0.0,0.0,0.0
Educational and Psychological Measurement,0013-1644,SAGE Publications,TRUE,1.0,2024,36,36,10,1.0,0.278,,43,100.0,0.0,0.0,,53.5,46.5,0.0,0.0,0.0
Educational and Psychological Measurement,0013-1644,SAGE Publications,TRUE,1.0,2025,52,33,17,0.635,0.327,,43,100.0,0.0,0.0,,53.5,46.5,0.0,0.0,0.0
European Journal of Psychological Assessment,1015-5759,Hogrefe Publishing Group,UNKNOWN,1.0,2015,0,0,0,,,,,,,,,,,,,
European Journal of Psychological Assessment,1015-5759,Hogrefe Publishing Group,UNKNOWN,1.0,2016,0,0,0,,,,,,,,,,,,,
European Journal of Psychological Assessment,1015-5759,Hogrefe Publishing Group,UNKNOWN,1.0,2017,0,0,0,,,,,,,,,,,,,
European Journal of Psychological Assessment,1015-5759,Hogrefe Publishing Group,TRUE,1.0,2018,1,1,0,1.0,0.0,,,,,,,,,,,
European Journal of Psychological Assessment,1015-5759,Hogrefe Publishing Group,TRUE,1.0,2019,2,2,0,1.0,0.0,,,,,,,,,,,
European Journal of Psychological Assessment,1015-5759,Hogrefe Publishing Group,TRUE,1.0,2020,3,3,0,1.0,0.0,,,,,,,,,,,
European Journal of Psychological Assessment,1015-5759,Hogrefe Publishing Group,UNKNOWN,1.0,2021,0,0,0,,,,,,,,,,,,,
European Journal of Psychological Assessment,1015-5759,Hogrefe Publishing Group,TRUE,1.0,2022,1,1,0,1.0,0.0,,,,,,,,,,,
European Journal of Psychological Assessment,1015-5759,Hogrefe Publishing Group,TRUE,1.0,2023,1,1,0,1.0,0.0,,,,,,,,,,,
European Journal of Psychological Assessment,1015-5759,Hogrefe Publishing Group,UNKNOWN,1.0,2024,0,0,0,,,,,,,,,,,,,
European Journal of Psychological Assessment,1015-5759,Hogrefe Publishing Group,UNKNOWN,1.0,2025,0,0,0,,,,,,,,,,,,,
Applied Psychological Measurement,0146-6216,SAGE Publications,TRUE,1.0,2015,42,42,0,1.0,0.0,,23,91.3,13.0,13.0,1,65.2,34.8,0.0,0.0,0.0
Applied Psychological Measurement,0146-6216,SAGE Publications,TRUE,1.0,2016,46,46,0,1.0,0.0,,23,91.3,13.0,13.0,1,65.2,34.8,0.0,0.0,0.0
Applied Psychological Measurement,0146-6216,SAGE Publications,TRUE,1.0,2017,55,55,4,1.0,0.073,,23,91.3,13.0,13.0,1,65.2,34.8,0.0,0.0,0.0
Applied Psychological Measurement,0146-6216,SAGE Publications,TRUE,1.0,2018,58,58,3,1.0,0.052,,23,91.3,13.0,13.0,1,65.2,34.8,0.0,0.0,0.0
Applied Psychological Measurement,0146-6216,SAGE Publications,TRUE,1.0,2019,26,26,1,1.0,0.038,,23,91.3,13.0,13.0,1,65.2,34.8,0.0,0.0,0.0
Applied Psychological Measurement,0146-6216,SAGE Publications,TRUE,1.0,2020,28,28,2,1.0,0.071,,23,91.3,13.0,13.0,1,65.2,34.8,0.0,0.0,0.0
Applied Psychological Measurement,0146-6216,SAGE Publications,TRUE,1.0,2021,34,34,5,1.0,0.147,,23,91.3,13.0,13.0,1,65.2,34.8,0.0,0.0,0.0
Applied Psychological Measurement,0146-6216,SAGE Publications,TRUE,1.0,2022,50,50,12,1.0,0.24,,23,91.3,13.0,13.0,1,65.2,34.8,0.0,0.0,0.0
Applied Psychological Measurement,0146-6216,SAGE Publications,TRUE,1.0,2023,24,24,3,1.0,0.125,,23,91.3,13.0,13.0,1,65.2,34.8,0.0,0.0,0.0
Applied Psychological Measurement,0146-6216,SAGE Publications,TRUE,1.0,2024,29,29,7,1.0,0.241,,23,91.3,13.0,13.0,1,65.2,34.8,0.0,0.0,0.0
Applied Psychological Measurement,0146-6216,SAGE Publications,TRUE,1.0,2025,38,33,13,0.868,0.342,,23,91.3,13.0,13.0,1,65.2,34.8,0.0,0.0,0.0
Journal of Educational Measurement,0022-0655,Wiley (Blackwell Publishing),UNKNOWN,1.0,2015,0,0,0,,,,,,,,,,,,,
Journal of Educational Measurement,0022-0655,Wiley (Blackwell Publishing),UNKNOWN,1.0,2016,0,0,0,,,,,,,,,,,,,
Journal of Educational Measurement,0022-0655,Wiley (Blackwell Publishing),UNKNOWN,1.0,2017,0,0,0,,,,,,,,,,,,,
Journal of Educational Measurement,0022-0655,Wiley (Blackwell Publishing),UNKNOWN,1.0,2018,0,0,0,,,,,,,,,,,,,
Journal of Educational Measurement,0022-0655,Wiley (Blackwell Publishing),UNKNOWN,1.0,2019,0,0,0,,,,,,,,,,,,,
Journal of Educational Measurement,0022-0655,Wiley (Blackwell Publishing),UNKNOWN,1.0,2020,0,0,0,,,,,,,,,,,,,
Journal of Educational Measurement,0022-0655,Wiley (Blackwell Publishing),UNKNOWN,1.0,2021,0,0,0,,,,,,,,,,,,,
Journal of Educational Measurement,0022-0655,Wiley (Blackwell Publishing),UNKNOWN,1.0,2022,0,0,0,,,,,,,,,,,,,
Journal of Educational Measurement,0022-0655,Wiley (Blackwell Publishing),TRUE,1.0,2023,1,1,0,1.0,0.0,,,,,,,,,,,
Journal of Educational Measurement,0022-0655,Wiley (Blackwell Publishing),UNKNOWN,1.0,2024,0,0,0,,,,,,,,,,,,,
Journal of Educational Measurement,0022-0655,Wiley (Blackwell Publishing),UNKNOWN,1.0,2025,0,0,0,,,,,,,,,,,,,
Psychometrika,0033-3123,Cambridge University Press,TRUE,0.467,2015,42,7,5,0.167,0.119,,100,91.0,11.0,10.0,1,88.0,3.0,2.0,7.0,0.0
Psychometrika,0033-3123,Cambridge University Press,TRUE,0.467,2016,61,10,4,0.164,0.066,,100,91.0,11.0,10.0,1,88.0,3.0,2.0,7.0,0.0
Psychometrika,0033-3123,Cambridge University Press,TRUE,0.467,2017,43,4,0,0.093,0.0,,100,91.0,11.0,10.0,1,88.0,3.0,2.0,7.0,0.0
Psychometrika,0033-3123,Cambridge University Press,TRUE,0.467,2018,41,4,1,0.098,0.024,,100,91.0,11.0,10.0,1,88.0,3.0,2.0,7.0,0.0
Psychometrika,0033-3123,Cambridge University Press,TRUE,0.467,2019,40,12,8,0.3,0.2,,100,91.0,11.0,10.0,1,88.0,3.0,2.0,7.0,0.0
Psychometrika,0033-3123,Cambridge University Press,TRUE,0.467,2020,41,19,15,0.463,0.366,,100,91.0,11.0,10.0,1,88.0,3.0,2.0,7.0,0.0
Psychometrika,0033-3123,Cambridge University Press,TRUE,0.467,2021,76,33,31,0.434,0.408,,100,91.0,11.0,10.0,1,88.0,3.0,2.0,7.0,0.0
Psychometrika,0033-3123,Cambridge University Press,TRUE,0.467,2022,70,38,32,0.543,0.457,,100,91.0,11.0,10.0,1,88.0,3.0,2.0,7.0,0.0
Psychometrika,0033-3123,Cambridge University Press,TRUE,0.467,2023,45,21,21,0.467,0.467,,100,91.0,11.0,10.0,1,88.0,3.0,2.0,7.0,0.0
Psychometrika,0033-3123,Cambridge University Press,TRUE,0.467,2024,48,20,20,0.417,0.417,,100,91.0,11.0,10.0,1,88.0,3.0,2.0,7.0,0.0
Psychometrika,0033-3123,Cambridge University Press,TRUE,0.467,2025,96,94,94,0.979,0.979,,100,91.0,11.0,10.0,1,88.0,3.0,2.0,7.0,0.0
Multivariate Behavioral Research,0027-3171,Informa UK (Taylor & Francis),TRUE,0.21,2015,63,11,0,0.175,0.0,,9,77.8,22.2,22.2,20,66.7,0.0,33.3,0.0,0.0
Multivariate Behavioral Research,0027-3171,Informa UK (Taylor & Francis),TRUE,0.21,2016,74,14,0,0.189,0.0,,9,77.8,22.2,22.2,20,66.7,0.0,33.3,0.0,0.0
Multivariate Behavioral Research,0027-3171,Informa UK (Taylor & Francis),TRUE,0.21,2017,44,10,1,0.227,0.023,,9,77.8,22.2,22.2,20,66.7,0.0,33.3,0.0,0.0
Multivariate Behavioral Research,0027-3171,Informa UK (Taylor & Francis),TRUE,0.21,2018,73,7,1,0.096,0.014,,9,77.8,22.2,22.2,20,66.7,0.0,33.3,0.0,0.0
Multivariate Behavioral Research,0027-3171,Informa UK (Taylor & Francis),TRUE,0.21,2019,111,17,0,0.153,0.0,,9,77.8,22.2,22.2,20,66.7,0.0,33.3,0.0,0.0
Multivariate Behavioral Research,0027-3171,Informa UK (Taylor & Francis),TRUE,0.21,2020,65,9,0,0.138,0.0,,9,77.8,22.2,22.2,20,66.7,0.0,33.3,0.0,0.0
Multivariate Behavioral Research,0027-3171,Informa UK (Taylor & Francis),TRUE,0.21,2021,55,4,0,0.073,0.0,,9,77.8,22.2,22.2,20,66.7,0.0,33.3,0.0,0.0
Multivariate Behavioral Research,0027-3171,Informa UK (Taylor & Francis),TRUE,0.21,2022,44,1,0,0.023,0.0,,9,77.8,22.2,22.2,20,66.7,0.0,33.3,0.0,0.0
Multivariate Behavioral Research,0027-3171,Informa UK (Taylor & Francis),TRUE,0.21,2023,62,13,4,0.21,0.065,,9,77.8,22.2,22.2,20,66.7,0.0,33.3,0.0,0.0
Multivariate Behavioral Research,0027-3171,Informa UK (Taylor & Francis),TRUE,0.21,2024,62,14,5,0.226,0.081,,9,77.8,22.2,22.2,20,66.7,0.0,33.3,0.0,0.0
Multivariate Behavioral Research,0027-3171,Informa UK (Taylor & Francis),TRUE,0.21,2025,68,3,0,0.044,0.0,,9,77.8,22.2,22.2,20,66.7,0.0,33.3,0.0,0.0
Memory & Cognition,0090-502X,Springer - Psychonomic Society,TRUE,0.425,2015,92,15,4,0.163,0.043,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Memory & Cognition,0090-502X,Springer - Psychonomic Society,TRUE,0.425,2016,99,15,10,0.152,0.101,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Memory & Cognition,0090-502X,Springer - Psychonomic Society,TRUE,0.425,2017,103,19,10,0.184,0.097,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Memory & Cognition,0090-502X,Springer - Psychonomic Society,TRUE,0.425,2018,106,21,13,0.198,0.123,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Memory & Cognition,0090-502X,Springer - Psychonomic Society,TRUE,0.425,2019,111,27,18,0.243,0.162,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Memory & Cognition,0090-502X,Springer - Psychonomic Society,TRUE,0.425,2020,132,35,25,0.265,0.189,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Memory & Cognition,0090-502X,Springer - Psychonomic Society,TRUE,0.425,2021,167,70,58,0.419,0.347,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Memory & Cognition,0090-502X,Springer - Psychonomic Society,TRUE,0.425,2022,120,62,59,0.517,0.492,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Memory & Cognition,0090-502X,Springer - Psychonomic Society,TRUE,0.425,2023,120,51,46,0.425,0.383,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Memory & Cognition,0090-502X,Springer - Psychonomic Society,TRUE,0.425,2024,165,75,69,0.455,0.418,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
Memory & Cognition,0090-502X,Springer - Psychonomic Society,TRUE,0.425,2025,150,84,79,0.56,0.527,,100,94.0,0.0,0.0,,100.0,0.0,0.0,0.0,0.0
"Attention, Perception & Psychophysics",1943-3921,Springer - Psychonomic Society,TRUE,0.49,2015,222,48,18,0.216,0.081,,100,96.0,0.0,0.0,,99.0,0.0,0.0,0.0,1.0
"Attention, Perception & Psychophysics",1943-3921,Springer - Psychonomic Society,TRUE,0.49,2016,210,54,23,0.257,0.11,,100,96.0,0.0,0.0,,99.0,0.0,0.0,0.0,1.0
"Attention, Perception & Psychophysics",1943-3921,Springer - Psychonomic Society,TRUE,0.49,2017,206,38,22,0.184,0.107,,100,96.0,0.0,0.0,,99.0,0.0,0.0,0.0,1.0
"Attention, Perception & Psychophysics",1943-3921,Springer - Psychonomic Society,TRUE,0.49,2018,171,30,17,0.175,0.099,,100,96.0,0.0,0.0,,99.0,0.0,0.0,0.0,1.0
"Attention, Perception & Psychophysics",1943-3921,Springer - Psychonomic Society,TRUE,0.49,2019,219,77,47,0.352,0.215,,100,96.0,0.0,0.0,,99.0,0.0,0.0,0.0,1.0
"Attention, Perception & Psychophysics",1943-3921,Springer - Psychonomic Society,TRUE,0.49,2020,356,124,94,0.348,0.264,,100,96.0,0.0,0.0,,99.0,0.0,0.0,0.0,1.0
"Attention, Perception & Psychophysics",1943-3921,Springer - Psychonomic Society,TRUE,0.49,2021,228,106,93,0.465,0.408,,100,96.0,0.0,0.0,,99.0,0.0,0.0,0.0,1.0
"Attention, Perception & Psychophysics",1943-3921,Springer - Psychonomic Society,TRUE,0.49,2022,228,118,95,0.518,0.417,,100,96.0,0.0,0.0,,99.0,0.0,0.0,0.0,1.0
"Attention, Perception & Psychophysics",1943-3921,Springer - Psychonomic Society,TRUE,0.49,2023,194,95,90,0.49,0.464,,100,96.0,0.0,0.0,,99.0,0.0,0.0,0.0,1.0
"Attention, Perception & Psychophysics",1943-3921,Springer - Psychonomic Society,TRUE,0.49,2024,164,86,78,0.524,0.476,,100,96.0,0.0,0.0,,99.0,0.0,0.0,0.0,1.0
"Attention, Perception & Psychophysics",1943-3921,Springer - Psychonomic Society,TRUE,0.49,2025,202,101,97,0.5,0.48,,100,96.0,0.0,0.0,,99.0,0.0,0.0,0.0,1.0
