table,name_surname,name_year,resolved_first_author,resolved_all_authors,resolved_year,doi,registrant,verdict,batch_date,proposed_name,note
dpt_noncog__interpersonal_reactivity,,,,,,,,not_author_named,6/7/2026,,
dpt_noncog__intolerance_of_uncertainty,,,,,,,,not_author_named,6/7/2026,,
dpt_noncog__psychological_flexibility,,,,,,,,not_author_named,6/7/2026,,
dpt_noncog__social_intelligence,,,,,,,,not_author_named,6/7/2026,,
kraft_todd_2017_care_measure,,,,,,10.1371/journal.pone.0177758,,not_author_named,7/26/2026,,
kraft_todd_2017_competence,,,,,,10.1371/journal.pone.0177758,,not_author_named,7/26/2026,,
kraft_todd_2017_panas,,,,,,10.1371/journal.pone.0177758,,not_author_named,7/26/2026,,
kraft_todd_2017_warmth,,,,,,10.1371/journal.pone.0177758,,not_author_named,7/26/2026,,
leon_guereno_2020_breq,,,,,,10.1371/journal.pone.0231628,,not_author_named,7/26/2026,,
leon_guereno_2020_resilience,,,,,,10.1371/journal.pone.0231628,,not_author_named,7/26/2026,,
ma2021_sme_covid,,,,,,10.1371/journal.pone.0257036,,not_author_named,6/9/2026,,
ma2026_bsmas,,,,,,10.21203/rs.3.rs-9429022/v1,,not_author_named,7/14/2026,,
ma2026_igds,,,,,,10.21203/rs.3.rs-9429022/v1,,not_author_named,7/14/2026,,
ma2026_sabas,,,,,,10.21203/rs.3.rs-9429022/v1,,not_author_named,7/14/2026,,
mfq_adolescent_athletes,,,,,,,,not_author_named,6/7/2026,,
pcss_adolescent_athletes,,,,,,,,not_author_named,6/7/2026,,
personality_entrepreneurship_brazil__abex,,,,,,,,not_author_named,6/7/2026,,
personality_entrepreneurship_brazil__con,,,,,,,,not_author_named,6/7/2026,,
personality_entrepreneurship_brazil__ex,,,,,,,,not_author_named,6/7/2026,,
personality_entrepreneurship_brazil__inem,,,,,,,,not_author_named,6/7/2026,,
personality_entrepreneurship_brazil__neu,,,,,,,,not_author_named,6/7/2026,,
personality_handwriting__financial_behavior,,,,,,,,not_author_named,6/7/2026,,
personality_handwriting__graphology,,,,,,,,not_author_named,6/7/2026,,
quarter_life_crisis__cd,,,,,,,,not_author_named,6/7/2026,,
quarter_life_crisis__iuc,,,,,,,,not_author_named,6/7/2026,,
quarter_life_crisis__mwb,,,,,,,,not_author_named,6/7/2026,,
ruiz_parra_2023_bdi2,,,,,,10.1371/journal.pone.0274378,,not_author_named,7/28/2026,,
ruiz_parra_2023_iip32,,,,,,10.1371/journal.pone.0274378,,not_author_named,7/28/2026,,
ruiz_parra_2023_ipo83,,,,,,10.1371/journal.pone.0274378,,not_author_named,7/28/2026,,
ruiz_parra_2023_iri_pt,,,,,,10.1371/journal.pone.0274378,,not_author_named,7/28/2026,,
ruiz_parra_2023_maas,,,,,,10.1371/journal.pone.0274378,,not_author_named,7/28/2026,,
ruiz_parra_2023_pid5bf,,,,,,10.1371/journal.pone.0274378,,not_author_named,7/28/2026,,
ruiz_parra_2023_rfq8,,,,,,10.1371/journal.pone.0274378,,not_author_named,7/28/2026,,
ruiz_parra_2023_scl90r,,,,,,10.1371/journal.pone.0274378,,not_author_named,7/28/2026,,
ruiz_parra_2023_tas20,,,,,,10.1371/journal.pone.0274378,,not_author_named,7/28/2026,,
van_der_donk_2019_bdi,,,,,,10.1371/journal.pone.0212304,,not_author_named,7/26/2026,,
wu2021_burnout,,,,,,10.3389/fpsyg.2021.708342,,not_author_named,6/8/2026,,
wu2021_career_expectation,,,,,,10.3389/fpsyg.2021.708342,,not_author_named,6/8/2026,,
wu2021_empathy,,,,,,10.3389/fpsyg.2021.708342,,not_author_named,6/8/2026,,
wu2021_panas,,,,,,10.3389/fpsyg.2021.708342,,not_author_named,6/8/2026,,
wu2021_resilience,,,,,,10.3389/fpsyg.2021.708342,,not_author_named,6/8/2026,,
wu2021_swls,,,,,,10.3389/fpsyg.2021.708342,,not_author_named,6/8/2026,,
wu2026_liking,,,,,,10.1371/journal.pone.0342855,,not_author_named,6/8/2026,,
wu2026_novel,,,,,,10.1371/journal.pone.0342855,,not_author_named,6/8/2026,,
wu2026_typical,,,,,,10.1371/journal.pone.0342855,,not_author_named,6/8/2026,,
xu2024_emotional_exhaust,,,,,,10.7910/dvn/atlxc5,dataverse,not_author_named,6/8/2026,,
xu2024_noncompliance,,,,,,10.7910/dvn/atlxc5,dataverse,not_author_named,6/8/2026,,
xu2024_self_efficacy,,,,,,10.7910/dvn/atlxc5,dataverse,not_author_named,6/8/2026,,
xu2024_turnover_intent,,,,,,10.7910/dvn/atlxc5,dataverse,not_author_named,6/8/2026,,
xu2024_unethical_behav,,,,,,10.7910/dvn/atlxc5,dataverse,not_author_named,6/8/2026,,
