Filename,Description,URL,Reference,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,Measurement Focus,Response Type,Target Population,Domain of Measurement,Scoring Methodology,Data Structure,Data Source,Context of Use,Item Format,Geographic Location
ffm_OPN,"Brennan, K., Clark, C. & Shaver, P. (2018). Experiences in Close Relationships Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/ECR-data-1March2018.zip",https://openpsychometrics.org/_rawdata/,,,Public,CC BY 4.0,,BD,,Personality Traits,Unknown,Unknown,Affective Measures,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
figure_skating,Judges scores for different aspects of international figure skaters' performances (2016-17 and 2017-18 seasons),https://github.com/BuzzFeedNews/figure-skating-scores,"Singer-Vine, J. & Templon, J. (2021). ISU Figure Skating Score Sheets as Structured Data [data set]. BuzzFeed News. https://github.com/BuzzFeedNews/figure-skating-scores",Creative Commons Attribution 4.0 International (CC BY 4.0),Public,CC BY 4.0,Data modified from original on 7-12-2023. Original license: https://github.com/ccp-eva/vocab/blob/main/LICENSE,LCM,,Unknown,Structured Data,International Figure Skaters,Unknown,Unknown,Cross-sectional,Unknown,Competition Evaluation,Unknown,Global
fims_tam,Math items from FIMS study (Australian and Japanese students),https://cran.r-project.org/web/packages/TAM/index.html,"Robitzsch A, Kiefer T, Wu M (2022). TAM: Test Analysis Modules. R package version 4.1-4, https://CRAN.R-project.org/package=TAM.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,,Unknown,Polytomous,"K-12 Students, College Students",Cognitive Skills,Item Response Theory,Unknown,Test-based,Educational Assessment,Unknown,"Australian, Japanese"
firstborn_personality,Data from a survey with personality items that correlate with being a firstborn child,http://openpsychometrics.org/_rawdata/,(2019). Development of the Firstborn Personality Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/FBPS-ValidationData.zip,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License,Public,CC-BY-NC-SA 4.0,Data modified from original on 4-27-2023. Original license: https://creativecommons.org/licenses/by-nc-sa/4.0/,LCM,,Personality Traits,Unknown,Unknown,Affective Measures,Unknown,Unknown,Survey-based,Educational Assessment,Unknown,Global
fisher_temperment,"Data from an online version of the Fisher Temperment Inventory, which is a measure of personality based on the idea that behavior is influenced by the dominance of neurotransmitters in the brain.",http://openpsychometrics.org/_rawdata/,"Brown, LL., Acevedo, B., Fisher, HE. Fisher Temperament Inventory [dataset and codebook]. http://openpsychometrics.org/_rawdata/FTI-data.zip///Brown LL, Acevedo B, Fisher HE (2013). Neural Correlates of Four Broad Temperament Dimensions: Testing Predictions for a Novel Construct of Personality. PLoS ONE 8(11): e78734.
",,Public,CC BY 4.0,,LCM,,Personality Traits,Unknown,Unknown,Affective Measures,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Global
florida_twins_behavior,Study from Florida about twins 9 years and older. Items related to twins' behavior and environment,https://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20,"Schatschneider, C., Lonigan, C., & Taylor, J. E. (2021). Behavior and Environment Survey Codebook. LDbase. http://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20
","Open Data Commons Attribution License (ODC-By)
",Public,CC BY 4.0,,LCM,,Behavioral Measures,Unknown,Twins 9 years and older,Behavioral Measures,Unknown,Unknown,Survey-based,Unknown,Unknown,"Florida, U.S.-based"
florida_twins,"Study from Florida about twins 9 years and older. Items related to twins' home and school environment, behavioral tendencies, and attitudes about schooling/home/social aspects",https://ldbase.org/datasets/3f7033dd-47a5-4ef8-aeab-08a559dce0d1,"Hart, S. A., Schatschneider, C., & Taylor, J. E. (2021). Wave 1, Wave 2, Wave 3 Child Survey Measures. LDbase. https://doi.org/10.33009/ldbase.1624481381.d9ec
","Open Data Commons Attribution License (ODC-By)
",Public,CC BY 4.0,,LCM,,Behavioral Measures,Unknown,Twins 9 years and older,"Home and school environment, behavioral tendencies, attitudes about schooling/home/social aspects",Unknown,Cross-sectional,Survey-based,Educational Assessment,Unknown,"Florida, U.S.-based"
frac20,Data from fraction subtraction problems.,https://cran.r-project.org/web/packages/GDINA/index.html,"Tatsuoka, C. (2002). Data analytic methods for latent partially ordered classification models. Journal of the Royal Statistical Society: Series C (Applied Statistics), 51(3), 337-350.",GPL-3,Public,GPL-3,Data modified from original on 2-7-2023,BD,,Cognitive Skills,Polytomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
fractions_experiment,Data from an experiment using an online tutor to teach fractions,https://pslcdatashop.web.cmu.edu/Files?datasetId=580,"Aleven, V., Rau, M., Weitekamp, D. (2013) Cleaned logs with modified step names [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=580",,,,,LCM,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
g308_sirt,Data from C-tests with a testlet structure,https://cran.r-project.org/web/packages/sirt/index.html,"Schroeders, U., Robitzsch, A., & Schipolowski, S. (2014). A Comparison of Different Psychometric Approaches to Modeling Testlet Structures: An Example with C‐Tests. Journal of Educational Measurement, 51(4), 400-418.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-29-2023,BD,,Educational Ability,Unknown,Unknown,Cognitive Skills,Item Response Theory,Unknown,Test-based,Educational Assessment,Unknown,Unknown
gatech_cappunish,Attitudes towards capital punishment,https://prdlab.gatech.edu/unfolding/data/,"Roberts, J. S. (1995). Item response theory approaches to attitude measurement. (Doctoral dissertation, University of South Carolina, Columbia, 1995). Dissertation Abstracts International, 56, 7089B.",email sent may 24,,,,BD,,Social Attitudes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,U.S.-based
gatech_censor,Attitudes about censorship,https://prdlab.gatech.edu/unfolding/data/,"Roberts, J. S. (1995). Item response theory approaches to attitude measurement. (Doctoral dissertation, University of South Carolina, Columbia, 1995). Dissertation Abstracts International, 56, 7089B.",email,,,,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,U.S.-based
geiser_tam,Data from mental rotation tasks,https://cran.r-project.org/web/packages/TAM/index.html,"Geiser, C., Lehmann, W., & Eid, M. (2006). Separating"" rotators"" from"" nonrotators"" in the mental rotations test: A multigroup latent class analysis. Multivariate Behavioral Research, 41(3), 261-293.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,,Unknown,Polytomous,Unknown,Unknown,Item Response Theory,Unknown,Unknown,Educational Assessment,Unknown,Unknown
gender_roles,"Data from an interactive version of the Open Sex-Role Inventory, which measures masculinity and femininity (or gendered personality traits) ",http://openpsychometrics.org/_rawdata/,(2019). Open Sex Role Inventory [dataset and codebook]. https://openpsychometrics.org/_rawdata/OSRI44_dev_data.zip,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License,Public,CC-BY-NC-SA 4.0,Data modified from original on 4-27-2023. Original license: https://creativecommons.org/licenses/by-nc-sa/4.0/,LCM,,Personality Traits,Unknown,Unknown,Unknown,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
geography,Items testing knowledge of geography,https://www.fi.muni.cz/adaptivelearning/data/slepemapy/,"Papoušek, J., Pelánek, R., & Stanislav, V. (2016). Adaptive geography practice data set. Journal of Learning Analytics, 3(2), 317-321.",ODbL 1.0,Public,ODbL 1.0,,BD,,Geography Knowledge,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
geometry_course,"Data from an online geomtry course, which allows students to get hints",https://pslcdatashop.web.cmu.edu/Files?datasetId=122,"Aleven, V., Bllings, B. (2007). Step tables and test scores [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=122",,,,,LCM,,Educational Ability,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
graphmapping_study1,Study 1 of Graph Mapping Measure,https://osf.io/wh7zv/,"Jastrzębski, J., Ociepka, M., & Chuderski, A. (2022). Graph Mapping: A novel and simple test to validly assess fluid reasoning. Behavior Research Methods, 1-13.",Email confirmation,Public,CC BY 4.0,,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
grit,Answers to grit scale items,https://openpsychometrics.org/_rawdata/,"Duckworth, A. L., Peterson, C., Matthews, M. D., & Kelly, D. R. (2007). Grit: perseverance and passion for long-term goals. Journal of personality and social psychology, 92(6), 1087.",,Public,CC BY 4.0,,BD,,Personality Traits,Unknown,Unknown,Unknown,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Global
hads_multilcirt,Anxiety scale (HADS) administered to oncology patients,https://cran.r-project.org/web/packages/MultiLCIRT/index.html,"Zigmond, A. and Snaith, R. (1983), The hospital anxiety and depression scale, Acta Psychiatrika Scandinavica, 67, 361-370.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 5-8-2023,BD,,Health/Well-being,Polytomous,Oncology Patients,Affective Measures,Item Response Theory,Unknown,Unknown,Unknown,Unknown,Unknown
handwriting_2006,Items from a study that compares a Cognitive Tutor Algebra tutor (used in a handwriting-based interface) to one enhanced with examples,https://pslcdatashop.web.cmu.edu/Files?datasetId=145,"Anthony, L., & Ritter, S. (2008). Handwriting2/Examples Spring 2007. Dataset 165 in DataShop. Retrieved from https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=165. ",,,,,LCM,,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
handwriting_2007,Items from a study used to assess various cognitive tutor interventions in a handwriting-based interface,https://pslcdatashop.web.cmu.edu/Files?datasetId=165,"Anthony, L., & Ritter, S. (2008). Handwriting/Examples Dec 2006. Dataset 145 in DataShop. Retrieved from https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=145. ",,,,,LCM,,Cognitive Skills,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
human_learning_rate,Data from an online tutoring system used to study human learning rates,https://pslcdatashop.web.cmu.edu/Files?datasetId=4629,"Koedinger, K. R., Carvalho, P., Liu, R., & McLaughlin, E. A. (2023). Student-step roll up for ds104 from An Astonishing Regularity in Student Learning Rate [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=4629",,,,,LCM,,Human Learning Rates,Unknown,Unknown,Unknown,Unknown,Unknown,Online tutoring system,Educational Assessment,Unknown,Unknown
humor_styles,Answers to the Humor Styles Questionnaire,http://openpsychometrics.org/_rawdata/,"Martin, R. A., Puhlik-Doris, P., Larsen, G., Gray, J., & Weir, K. Humor Styles Questionnaire [dataset and codebook]. http://openpsychometrics.org/_rawdata/HSQ.zip///Martin, R. A., Puhlik-Doris, P., Larsen, G., Gray, J., & Weir, K. (2003). Individual differences in uses of humor and their relation to psychological well-being: Development of the Humor Styles Questionnaire. Journal of Research in Personality, 37, 48-75.
",,Public,CC BY 4.0,,LCM,,Personality Traits,Unknown,Unknown,Affective Measures,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Global
hypersensitive_narcissism,Data on agreeability with certain narcisstic personality characteristics,http://openpsychometrics.org/_rawdata/,"Jorgenson, E. (2016). Open Hemispheric Brain Dominance Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/OHBDS-data.zip",,Public,CC BY 4.0,,LCM,,Personality Traits,Unknown,Unknown,Affective Measures,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
iat_difference,Attitudes about difference from IAT database,https://osf.io/52qxl/,"Xu, K., Nosek, B., & Greenwald, A. (2014). Psychology data from the race implicit association test on the project implicit demo website. Journal of open psychology data, 2(1).",CC0 1.0 Universal,Public,CC BY 4.0,,BD,,Attitudes,Unknown,Unknown,Social Attitudes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
iat_poverty,Attitudes towards poverty from IAT database,https://osf.io/52qxl/,"Xu, K., Nosek, B., & Greenwald, A. (2014). Psychology data from the race implicit association test on the project implicit demo website. Journal of open psychology data, 2(1).",CC0 1.0 Universal,Public,CC BY 4.0,,BD,,Social Attitudes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
icar_sapa,Sixty items from 4 cognitive ability tests,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AD9RVY,"Condon, David; Revelle, William, 2015, ""Selected ICAR data from the SAPA-Project: Development and initial validation of a public-domain measure"", https://doi.org/10.7910/DVN/AD9RVY, Harvard Dataverse, V2, UNF:6:73sL85mhjMM9L1xA7R6JTA== [fileUNF]",CC0 1.0 ,Public,CC BY 4.0,,BD,,Cognitive Skills,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
immer09_immer,Reviewer ratings for conference papers.,https://cran.r-project.org/web/packages/immer/index.html,"Kuhlisch, W., Roos, M., Rothe, J., Rudolph, J., Scheuermann, B., & Stoyan, D. (2016). A statistical approach to calibrating the scores of biased reviewers of scientific papers. Metrika, 79, 37-57.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,Review of conference papers,Polytomous,Unknown,Unknown,Item Response Theory,Unknown,Test-based,Educational Assessment,Unknown,Unknown
immer10_immer,Standard settings ratings,https://cran.r-project.org/web/packages/immer/index.html,,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
immer12_immer,Ratings of 2002 olympics pairs figure skating,https://cran.r-project.org/web/packages/immer/index.html,,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,Sports Performance,Multiple ratings,Unknown,Figure Skating Performance,"Hierarchical Rater Model, Conditional Maximum Likelihood Estimation of Linear Logistic Partial Credit Model, Wrapper function to FACETS program",Unknown,Unknown,Performance Evaluation,Unknown,Unknown
introversion_extroversion,Participants respond to statements on extraversion and introversion behaviors on a likert scale,http://openpsychometrics.org/_rawdata/,Development of the Multidimensional Introversion-Extraversion ScalesX [dataset and codebook]. http://openpsychometrics.org/_rawdata/MIES_Dev_Data.zip,,Public,CC BY 4.0,,LCM,,Personality Traits,Polytomous,Unknown,Behavioral Measures,Unknown,Unknown,Unknown,Unknown,Likert Scale,Unknown
iowa_gambling_task,"Across 10 different trials, 617 healthy (no neurological impairments) participants perform the Iowa gambling task (choose among options, each of which was associated with different risks and rewards)",https://osf.io/8t7rm/,"Steingroever, H., Fridberg, D. J., Horstmann, A., Kjome, K. L., Kumari, V., Lane, S. D., PhD, … Wagenmakers, E.-J. (2015, March 30). Data from 617 Healthy Participants Performing the Iowa Gambling Task: A “Many Labs” Collaboration. Retrieved from osf.io/8t7rm","Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)

",Public,CC BY-SA 4.0,Data modified from original on 7-18-2023. Original data license at: https://creativecommons.org/licenses/by-sa/4.0/,LCM,,Decision Making,Polytomous,Adults,Cognitive Skills,Unknown,Cross-sectional,Behavioral Task-based,Unknown,Unknown,Unknown
janssen2_tam,Data from mental rotation tasks,https://cran.r-project.org/web/packages/TAM/index.html,"Janssen, A. B., & Geiser, C. (2010). On the relationship between solution strategies in two mental rotation tasks. Learning and Individual Differences, 20(5), 473-478.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,,Cognitive Skills,Unknown,Unknown,Unknown,Item Response Theory,Unknown,Test-based,Educational Assessment,Unknown,Unknown
johnson_ipip_2005,IPIP (personality test) item response data from Johnson's 2005 study,https://osf.io/tbmh5/,"Johnson, J. A. (2015, November 4). Data from Johnson, J. A. (2005). Ascertaining the validity of web-based personality inventories. Journal of Research in Personality, 39, 103-129. doi:10.1016/j.jrp.2004.09.009. Retrieved from osf.io/sxeq5",,Private,,,LCM,,Personality Traits,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
joreskog_moustaki_2001,"Common responses (i.e., Table 3) to political action survey",https://www.researchgate.net/profile/Ir-Moustaki/publication/255572793_Factor_Analysis_of_Ordinal_Variables_A_Comparison_of_Three_Approaches/links/56993b0508aea14769432fe5/Factor-Analysis-of-Ordinal-Variables-A-Comparison-of-Three-Approaches.pdf,"Jöreskog, K. G., & Moustaki, I. (2001). Factor analysis of ordinal variables: A comparison of three approaches. Multivariate Behavioral Research,, 36(3), 347-387.",,Public,,See table 3 (not copyrightable),BD,,Political Attitudes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
junyi_academy_problems,"Item data from exercsies from Junyi Academy, which is an online learning platform",https://pslcdatashop.web.cmu.edu/Files?datasetId=1198,"Chang, H., Hsu, H., & Chen, K. (2015). Problem log, from ""Modeling Exercise Relationships in E-Learning: A Unified Approach"" [data set]. International Conference on Educational Data Mining (EDM). https://pslcdatashop.web.cmu.edu/Files?datasetId=1198",,,,,LCM,,Educational Ability,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
mtf,"Affective self-report data (brief scales on depression, self-esteem, loneliness, self-derogation) from the ""Monitoring the Future"" study",https://www.icpsr.umich.edu/web/NAHDAP/series/35,"Miech, Richard A., Johnston, Lloyd D., Bachman, Jerald G., O’Malley, Patrick M., Schulenberg, John E., and Patrick, Megan E. Monitoring the Future: A Continuing Study of American Youth (12th-Grade Survey), 2021. Inter-university Consortium for Political and Social Research [distributor], 2022-10-31. https://doi.org/10.3886/ICPSR38503.v1",,Private,,,BD,,Affective Measures,Polytomous,"8th-, 10th-, and 12th-grade students in the United States","Self-esteem, depression, loneliness, self-derogation",Unknown,Cross-sectional,Survey-based,Monitoring the Future Study,Brief scales,U.S.-based
lessR_Mach4,Responses to Mach-4 scale on Machiavellianism,https://cran.r-project.org/web/packages/lessR/index.html,"Hunter, J. E., Gerbing, D. W., & Boster, F. J. (1982). Machiavellian beliefs and personality: Construct invalidity of the Machiavellianism dimension. Journal of personality and social psychology, 43(6), 1293.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,Personality Traits,Continuous,Unknown,Psychological Measures,Unknown,Unknown,Unknown,Unknown,Likert Scale,Unknown
loneliness_mudfold,De Jong-Gierveld loneliness scale,https://cran.r-project.org/web/packages/mudfold/index.html,G. J. De Jong and T. van Tilburg (1999). Manual of the loneliness scale. Amsterdam: VU University Amsterdam.,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,Affective Measures,Dichotomous,Unknown,Loneliness,Nonparametric Unfolding Item Response Theory,Unknown,Unknown,Psychological Screening,Preferential-choice,Unknown
lsat,Data from LSAT,https://cran.r-project.org/web/packages/ltm/index.html,"Bock, R. and Lieberman, M. (1970) Fitting a response model for n dichotomously scored items. Psychometrika, 35, 179–197.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-25-2023,BD,,Unknown,"Dichotomous, Polytomous",Unknown,Unknown,Item Response Theory,Unknown,Unknown,Unknown,Unknown,Unknown
mcmi_mokken,Million clinical multiaxial inventory (see https://osf.io/e9jrz),https://cran.r-project.org/web/packages/mokken/index.html,"Rossi, G., Elklit, A., & Simonsen, E. (2010). Empirical evidence for a four factor framework of personality disorder organization: multigroup confirmatory factor analysis of the millon clinical multiaxial inventory—III personality disorder scales across belgian and danish data samples. Journal of Personality Disorders, 24(1), 128-150.",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
measuring_lexical_quality,Spelling test results,https://osf.io/t4x7r/,"Andrews, S., Veldre, A. & Clarke, I.E. Measuring Lexical Quality: The Role of Spelling Ability. Behav Res 52, 2257–2282 (2020). https://doi.org/10.3758/s13428-020-01387-3",license,,,,BD,,Educational Ability,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
mental_health_malawi,Survey data on public and private university students' mental health symptoms as a consequence of internet usage,https://data.mendeley.com/datasets/xbfbcy5bhv/3,"Mwakilama, Elias; Jamu, Edister; Senganimalunje, Limbika ; Manda, Tiwonge (2022), “Data on Internet Addiction and Mental Health among university students in Malawi”, Mendeley Data, V3, doi: 10.17632/xbfbcy5bhv.3",CC BY 4.0,Public,CC BY 4.0,Data modified from original on 7-9-2023. Original license available at: https://creativecommons.org/licenses/by/4.0/,LCM,,Health/Well-being,Unknown,College Students,Mental Health,Unknown,Cross-sectional,Survey-based,Unknown,Unknown,Malawi
Mental_Health_Questionnaire_for_the_Elderly,"In order to accurately and effectively measure the level of anxiety symptoms in the elderly (above 60 years old), from 2010 to 2011, this project translated, test-tested, and used the English version of the Geriatric Anxiety Inventory (GAI) developed in 2007 by Australian scholar Pachana. This dataset includes the responses from 1318 Chinese elderly people living in urban communities, rural communities, and nursing homes in Beijing.",http://www.cnsda.org/index.php?r=projects/view&id=60493698,"Wang T, Tang D, Gong X, Wang D. Anxiety and Depression Among Older People Dwelling in Nursing Homes Versus Communities. Chinese Journal of Clinical Psychology,2012,20(6):868-870.",,Private,,,Liu Yiqing,,Health/Well-being,Unknown,Elderly (above 60 years old),Anxiety Symptoms,Unknown,Cross-sectional,Survey-based,Psychological Screening,Unknown,Beijing
mindfulness_assessment,"Responses to the  Kentucky Inventory of Mindfulness Skills Assessment, which asks participants to rate how much they agree with certain statements about self-care and mindfulness practice",http://openpsychometrics.org/_rawdata/,"Baer, R. A., Smith G. T., Allen, K. B. Kentucky Inventory of Mindful Skills [dataset and codebook]. http://openpsychometrics.org/_rawdata/KIMS.zip///Baer, R. A., Smith G. T., Allen, K. B. (2004). Assessment of mindfulness by self-report: The Kentucky Inventory of Mindfulness Skills. Assessment, 11, 191-206.
",,Public,CC BY 4.0,,LCM,,Health/Well-being,Continuous,Unknown,Affective Measures,Unknown,Unknown,Survey-based,Unknown,Likert Scale,Global
mobility,Social mobility for women in Bangladesh,https://cran.r-project.org/web/packages/ltm/index.html,"Huq, N. and Cleland, J. (1990) Bangladesh Fertility Survey, 1989. Dhaka: National Institute of Population Research and Training (NIPORT).",GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-25-2023,BD,,Social Mobility,Dichotomous and Polytomous,Women in Bangladesh,Unknown,Item Response Theory,Unknown,Unknown,Unknown,Unknown,Bangladesh
moralfoundations_vignette,Data from the Moral Foundations Vignette (MFV),https://osf.io/cmwpv/,"Crone, D.L., Rhee, J.J. & Laham, S.M. Developing brief versions of the Moral Foundations Vignettes using a genetic algorithm-based approach. Behav Res 53, 1179–1187 (2021). https://doi.org/10.3758/s13428-020-01489-y",,,,,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
motion,Random dot motion discrimination,https://github.com/yeatmanlab/Parametric_public/blob/master/Analysis/Clean_Motion_Data.csv,"O’Brien, G., & Yeatman, J. D. (2021). Bridging sensory and language theories of dyslexia: Toward a multifactorial model. Developmental Science, 24(3), e13039.",email,Public,CC BY 4.0,,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
mpsycho_asti,Data from a scale assessing wisdom,https://cran.r-project.org/web/packages/MPsychoR/index.html,"Levenson, M. R., Jennings, P. A., Aldwin, C. M., & Shiraishi, R. W. (2005). Self-transcendence: conceptualization and measurement. The International Journal of Aging and Human Development, 60, 127-143.",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Wisdom,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
mpsycho_avlancheprep,Data from a scale assessing avalanche risk awareness,https://cran.r-project.org/web/packages/MPsychoR/index.html,"Haegeli, P., Gunn, M., & Haider, W. (2012). Identifying a high-risk cohort in a complex and dynamic risk environment: Out-of-bounds skiing–an example from avalanche safety. Prevention Science, 13, 562-573",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Risk Awareness,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
mpsycho_bsss,Sensation-seeking scale from out-of-bounds skiers,https://cran.r-project.org/web/packages/MPsychoR/index.html,"Hoyle, R. H., Stephenson, M. T., Palmgreen, P., Lorch, E. P., & Donohew, R. L. (2002). Reliability and validity of a brief measure of sensation. Personality and Individual Differences, 32, 401-414.",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Personality Traits,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
mpsycho_ceaq,Children responding to empathy scale,https://cran.r-project.org/web/packages/MPsychoR/index.html,"urce Funk, J. B., Fox, C. M., Chang, M., & Curtiss, K. (2008). The development of the Children’s Empathic Attitudes Questionnaire using classical and Rasch analyses. Journal of Applied Developmental Psychology, 29, 187-196.",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Empathy,Unknown,Children,Affective Measures,Unknown,Unknown,"Supplementary materials and datasets for the book 'Modern Psychometrics With R' (Mair, 2018, Springer useR! series)",Unknown,Unknown,Unknown
mpsycho_condom,Condom usage scale,https://cran.r-project.org/web/packages/MPsychoR/index.html,"de Ayala, R. J. (2009). The Theory and Practice of Item Response Theory. Guilford Press, New York",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
mpsycho_lakes,Child-focused response to challenge scale,https://cran.r-project.org/web/packages/MPsychoR/index.html,"Lakes, K. D., & Hoyt, W. T. (2009). Applications of generalizability theory to clinical child and adolescent psychology research. Journal of Clinical Child & Adolescent Psychology, 38, 144-165.",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
mpsycho_learnemo,Learning-related emotions for children learning mathematics,https://cran.r-project.org/web/packages/MPsychoR/index.html,"Grand, A., & Dittrich, R. (2015) Modelling assumed metric paired comparison data - application to learning related emotions. Austrian Journal of Statistics, 44, 3-15.",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Learning-related emotions,Unknown,Children,Affective Measures,Unknown,Unknown,Supplementary materials and datasets for the book 'Modern Psychometrics With R',Unknown,Unknown,Unknown
mpsycho_Rmotivation,Motivation for working on open-source software,https://cran.r-project.org/web/packages/MPsychoR/index.html,"Mair, P., Hofmann, E., Gruber, K., Zeileis, A., & Hornik, K. (2015) Motivation, values, and work design as drivers of participation in the R open source Project for Statistical Computing. Proceedings of the National Academy of Sciences of the United States of America, 112(48), 14788-14792.",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
mpsycho_Rogers_adolescent,Depression/OCD collected in a hospital from adolescents,https://cran.r-project.org/web/packages/MPsychoR/index.html,"Jones, P. J., Mair, P., Riemann, B. C., Mugno, B. L., & McNally, R. J. (2018). A network perspective on comorbid depression in adolescents with obsessive-compulsive disorder. Journal of Anxiety Disorders, 53, 1-8. #’",GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,Health/Well-being,Unknown,Adolescents,Depression/OCD,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
