"table","section_id","item","instrument","instructions","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","raw_resp","language"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","खरगोश कहाँ आराम कर रहा था?","Where was the rabbit resting?",NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","खरगोश कहाँ आराम कर रहा था?","Where was the rabbit resting?",NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","चींटी क्या कर रही थी?","What was the ant doing?",NA,"पेड़ पर चढ़ रही थी","climbing the tree",NA,"पेड़ पर चढ़ रही थी","Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","चींटी क्या कर रही थी?","What was the ant doing?",NA,"खेल रही थी","playing",NA,"खेल रही थी","Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","चींटी क्या कर रही थी?","What was the ant doing?",NA,"आराम कर रही थी","resting",NA,"आराम कर रही थी","Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","चींटी क्या कर रही थी?","What was the ant doing?",NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","चींटी क्या कर रही थी?","What was the ant doing?",NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp4","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","चींटी को देखकर खरगोश ने क्या तय किया?","What did the rabbit decide after seeing the ant?",NA,"खेलने का","to play",NA,"खेलने का","Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp4","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","चींटी को देखकर खरगोश ने क्या तय किया?","What did the rabbit decide after seeing the ant?",NA,"आराम करने का","to rest",NA,"आराम करने का","Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp4","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","चींटी को देखकर खरगोश ने क्या तय किया?","What did the rabbit decide after seeing the ant?",NA,"काम करने का","to work",NA,"काम करने का","Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp4","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","चींटी को देखकर खरगोश ने क्या तय किया?","What did the rabbit decide after seeing the ant?",NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_7","langwrit_std12_comp4","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"यह एक खरगोश की कहानी है। कहानी को पूरा पढ़ने के बाद प्रश्नों को पढ़ो और सही उत्तर पर घेरा (O) लगाओ। एक खरगोश था। वह बहुत आलसी था। एक दिन वह पेड़ के नीचे आराम कर रहा था। अचानक उसने चींटी को देखा। चींटी पेड़ पर चढ़ रही थी और फिर नीचे उतर रही थी। खरगोश ने सोचा चींटी इतनी छोटी है, पर वह कितनी मेहनत करती है। उसे देख कर लगता है कि मुझे भी काम करना चाहिये।","This is a story about a rabbit. After reading the whole story, read the questions and circle the correct answer. There was a rabbit. He was very lazy. One day he was resting under a tree. Suddenly he saw an ant. The ant was climbing up the tree and then coming back down. The rabbit thought, the ant is so small, yet how hard she works. Seeing her, it feels as though I too should work.","चींटी को देखकर खरगोश ने क्या तय किया?","What did the rabbit decide after seeing the ant?",NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_8","langwrit_std12_make_sen1a","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"दिये गये शब्दों से वाक्य बनाओ।","Make sentences from the given words.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_8","langwrit_std12_make_sen1a","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"दिये गये शब्दों से वाक्य बनाओ।","Make sentences from the given words.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_8","langwrit_std12_make_sen1b","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"दिये गये शब्दों से वाक्य बनाओ।","Make sentences from the given words.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_8","langwrit_std12_make_sen1b","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"दिये गये शब्दों से वाक्य बनाओ।","Make sentences from the given words.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_8","langwrit_std12_make_sen2a","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"दिये गये शब्दों से वाक्य बनाओ।","Make sentences from the given words.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_8","langwrit_std12_make_sen2a","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"दिये गये शब्दों से वाक्य बनाओ।","Make sentences from the given words.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_8","langwrit_std12_make_sen2b","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"दिये गये शब्दों से वाक्य बनाओ।","Make sentences from the given words.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_8","langwrit_std12_make_sen2b","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"दिये गये शब्दों से वाक्य बनाओ।","Make sentences from the given words.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_9","langwrit_std12_word_dic1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और शब्द लिखो।","Listen and write the word.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_9","langwrit_std12_word_dic1","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और शब्द लिखो।","Listen and write the word.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_9","langwrit_std12_word_dic2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और शब्द लिखो।","Listen and write the word.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_9","langwrit_std12_word_dic2","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और शब्द लिखो।","Listen and write the word.",NA,NA,NA,NA,NA,1,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_9","langwrit_std12_word_dic3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और शब्द लिखो।","Listen and write the word.",NA,NA,NA,NA,NA,0,NA,"Hindi"
"gilbert_meta_70","gilbert_meta_70_9","langwrit_std12_word_dic3","Written Hindi language test for standards 1-2, Bihar and Uttarakhand arm (Banerjee et al. 2017 evaluation)",NA,"सुनो और शब्द लिखो।","Listen and write the word.",NA,NA,NA,NA,NA,1,NA,"Hindi"
