_key,Evaluator,"Decision
Yes=start github issue
,,,figshare,Demographic and cognitive characteristics of the sample groups.,https://plos.figshare.com/articles/dataset/_Demographic_and_cognitive_characteristics_of_the_sample_groups_/319809,10.1371/journal.pone.0036024.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>APOE4 non-carriers</b>', 'Unnamed: 2', '<b>APOE4 carriers</b>', 'Unnamed: 4', '<b></b>.1', '<b></b>.2']",,,,,Table_1.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Mean (and SD) of age and education, and questionnaire scores, in the control and PTSS groups.",https://plos.figshare.com/articles/dataset/_Mean_and_SD_of_age_and_education_and_questionnaire_scores_in_the_control_and_PTSS_groups_/782503,10.1371/journal.pone.0072508.t002,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>Control Group (<i>n</i>\u200a=\u200a39; PCL-M<50)</b>', '<b>PTSS Group (<i>n</i>\u200a=\u200a48; PCL-M≥50)</b>']",,,,,Table_2.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Size and Distance Vocabulary.,https://plos.figshare.com/articles/dataset/_Size_and_Distance_Vocabulary_/1075542,10.1371/journal.pone.0092852.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Lexical Item</b>', '<b>Category</b>', '<b>Condition</b>', '<b>Lexical Item</b>.1', '<b>Category</b>.1', '<b>Condition</b>.1']",,,,,Table_1.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Correlations between personality traits as measured by the different questionnaires and parameters extracted from the behavioral task.,https://plos.figshare.com/articles/dataset/_Correlations_between_personality_traits_as_measured_by_the_different_questionnaires_and_parameters_extracted_from_the_behavioral_task_/1034358,10.1371/journal.pcbi.1003605.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>α/(α+β)</b>', '<b>LOT-R</b>', '<b>Ne</b>', '<b>Ex</b>', '<b>Op</b>', '<b>Ag</b>', '<b>Con</b>', '<b>Att.</b>', '<b>Motor</b>', '<b>S-C</b>', '<b>C-C</b>', '<b>P</b>', '<b>C-In</b>', '<b>TI</b>', '<b>DSAB</b>']",,,,,Table_1.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Socio-demographic and psychometric data.,https://plos.figshare.com/articles/dataset/_Socio_demographic_and_psychometric_data_/1053253,10.1371/journal.pone.0099815.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>mean (SD)</b>']",,,,,Table_1.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Correlations between the Cognitive Reserve Scale (CRS) score and each cognitive variable classified into six cognitive domains.,https://plos.figshare.com/articles/dataset/_Correlations_between_the_Cognitive_Reserve_Scale_CRS_score_and_each_cognitive_variable_classified_into_six_cognitive_domains_/1113857,10.1371/journal.pone.0102632.t004,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Cognitive domain</b>', '<b></b>', '<b>CRS score</b>', 'Unnamed: 3', '<b></b>.1', '<b></b>.2']",,,,,Table_4.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Mean differences for patients with social phobia (SP) and healthy controls (HC) concerning age, verbal intelligence, depression (BDI), Trait- and State anxiety (STAI-T and STAI-S) and social phobia symptoms (SPS/SIAS).",https://plos.figshare.com/articles/dataset/_Mean_differences_for_patients_with_social_phobia_SP_and_healthy_controls_HC_concerning_age_verbal_intelligence_depression_BDI_Trait_and_State_anxiety_STAI_T_and_STAI_S_and_social_phobia_symptoms_SPS_SIAS_/1242575,10.1371/journal.pone.0109949.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column '<b></b>' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>SP <i>M</i>± SD</b>', '<b>HC <i>M</i>± SD</b>', '<b><i>t</i>-value</b>', '<b><i>p</i>-value (2-tail",,,,,Table_1.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Regression model with moral evaluations of causing fear from the Emotionally Evocative Statements Task (EEST) and harm sensitivity from the Moral Foundations Questionnaire (MFQ) predicting psychopathy scores.,https://plos.figshare.com/articles/dataset/_Regression_model_with_moral_evaluations_of_causing_fear_from_the_Emotionally_Evocative_Statements_Task_EEST_and_harm_sensitivity_from_the_Moral_Foundations_Questionnaire_MFQ_predicting_psychopathy_scores_/1421064,10.1371/journal.pone.0125708.t002,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Predictor Variables</b>', '<b><i>&#946;</i></b>', '<b><i>t</i>(39)</b>']",,,,,Table_2.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Table of correlations between Machiavellianism, Narcissism, Psychopathy, Composite Dark Triad, Lie Acceptability, Self-Deception and the four SDT-derived performance measures in the DeceIT task.",https://plos.figshare.com/articles/dataset/_Table_of_correlations_between_Machiavellianism_Narcissism_Psychopathy_Composite_Dark_Triad_Lie_Acceptability_Self_Deception_and_the_four_SDT_derived_performance_measures_in_the_DeceIT_task_/1452689,10.1371/journal.pone.0127315.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>Machiavellianism</b>', '<b>Narcissism</b>', '<b>Psychopathy</b>', '<b>Lie Acceptability</b>', '<b>Self-Deception</b>']",,,,,Table_1.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Demographic characteristics and drug use of stimulant-naïve healthy controls and individuals using methylphenidate for the purpose of pharmacological cognitive enhancement (PCE).,https://plos.figshare.com/articles/dataset/_Demographic_characteristics_and_drug_use_of_stimulant_na_239_ve_healthy_controls_and_individuals_using_methylphenidate_for_the_purpose_of_pharmacological_cognitive_enhancement_PCE_/1462518,10.1371/journal.pone.0129805.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>Controls (<i>n</i> = 39)</b>', '<b>PCE users (<i>n</i> = 25)</b>', '<b><i>X</i><sup><i>2</i></sup> / <i>t</i>-test</b>', '<b><i>df</i></b>', '<b><i>p</i> value</b>']",,,,,Table_1.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Predictors of state anxiety, trait anxiety, social fear/anxiety, and social avoidance in an offending sample.",https://plos.figshare.com/articles/dataset/_Predictors_of_state_anxiety_trait_anxiety_social_fear_anxiety_and_social_avoidance_in_an_offending_sample_/1604173,10.1371/journal.pone.0143120.t003,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b><i>&#946;</i></b>', '<b><i>SE</i></b>', '<b><i>t</i></b>', '<b><i>p</i> value</b>']",,,,,Table_3.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Predictors of state anxiety, trait anxiety, social fear/anxiety, and social avoidance in an undergraduate sample.",https://plos.figshare.com/articles/dataset/_Predictors_of_state_anxiety_trait_anxiety_social_fear_anxiety_and_social_avoidance_in_an_undergraduate_sample_/1604172,10.1371/journal.pone.0143120.t002,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b><i>&#946;</i></b>', '<b><i>SE</i></b>', '<b><i>t</i></b>', '<b><i>p</i> value</b>']",,,,,Table_2.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Mean, standard deviation, and minimum and maximum scores for the callous, egocentric, and antisocial subscales of the LSRP, state anxiety, trait anxiety, and social fear/anxiety and avoidance scales.",https://plos.figshare.com/articles/dataset/_Mean_standard_deviation_and_minimum_and_maximum_scores_for_the_callous_egocentric_and_antisocial_subscales_of_the_LSRP_state_anxiety_trait_anxiety_and_social_fear_anxiety_and_avoidance_scales_/1604171,10.1371/journal.pone.0143120.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>Mean (<i>SD</i>)</b>', 'Unnamed: 2', 'Unnamed: 3']",,,,,Table_1.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Correlation matrix displaying the associations between psychopathy and the cognitive costs of lying (in RTs and errors) and lying frequency on the choice trials.,https://plos.figshare.com/articles/dataset/Correlation_matrix_displaying_the_associations_between_psychopathy_and_the_cognitive_costs_of_lying_in_RTs_and_errors_and_lying_frequency_on_the_choice_trials_/3909717,10.1371/journal.pone.0158595.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>Psychopathy</b>', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', '<b>Deception Indices</b>', 'Unnamed: 6', 'Unnamed: 7']",,,,,Table 1.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Associations between pre-assessment self-report measures and EMA (14-day) ratings.,https://plos.figshare.com/articles/dataset/Associations_between_pre-assessment_self-report_measures_and_EMA_14-day_ratings_/30713647,10.1371/journal.pone.0320104.t002,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b>Variable</b>', '<b>Pre-assessment measure</b>', '<b>EMA (14-day)</b>', '<b>Association</b>']",,,,,Table 2.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Dataset Resultados de la Tesis de Sandra Côrtes-Moreira: ""Tourism Literacy. Propuesta de concepto y competencias a partir de la experiencia y aportaciones de los mediadores turísticos""",https://figshare.com/articles/dataset/Dataset_Resultados_de_la_Tesis_de_Sandra_C_rtes-Moreira_Tourism_Literacy_Propuesta_de_concepto_y_competencias_a_partir_de_la_experiencia_y_aportaciones_de_los_mediadores_tur_sticos_/30774551,10.6084/m9.figshare.30774551.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['RTA + ATA', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10']",,,,,Análise geral dos canais.xlsx,2,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Forward step-wise linear regressions on self-reported self-criticism, self-compassion, and depressive symptoms with age and subsample (Model 1), as well as additionally with the LIWC-categories number of words (LIWC_num), use of the pronoun “you” (LIWC_you-singular), use of emotion words (LIWC_affect-overall), use of positive emotion words (LIWC_posEm), use of negative emotion words (LIWC_negEm), anxiety (LIWC_anx), anger (LIWC_ang), and sadness (LIWC_sad) in Model 2.",https://plos.figshare.com/articles/dataset/Forward_step-wise_linear_regressions_on_self-reported_self-criticism_self-compassion_and_depressive_symptoms_with_age_and_subsample_Model_1_as_well_as_additionally_with_the_LIWC-categories_number_of_words_LIWC_num_use_of_the_pronoun_you_LIW/30872075,10.1371/journal.pone.0337220.t006,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>Self-criticism (TDEQ-SC)</b>', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', '<b>Self-compassion (SCS_pos)</b>', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', '<b>Depressive symptoms (BDI",,,,,Table 6.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Quality of life, depression and anxiety, and stigma, as a function of loneliness and/or social isolation.",https://plos.figshare.com/articles/dataset/Quality_of_life_depression_and_anxiety_and_stigma_as_a_function_of_loneliness_and_or_social_isolation_/30906530,10.1371/journal.pone.0335949.t005,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>Loneliness and/or social isolation</b>', 'Unnamed: 2', '<b></b>.1', '<b></b>.2']",,,,,Table 5.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,dataverse,Cognitive and Economic Development Dataset,https://doi.org/10.7910/DVN/HEWLLB,10.7910/dvn/hewllb,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['International Country Risk Guide'],,,,,ICRG2021.xls,12,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,dataverse,Replication Data and Code for: Cognitive behavior therapy reduces crime and violence over 10 years: Experimental evidence,https://doi.org/10.7910/DVN/KZAAAB,10.7910/dvn/kzaaab,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['var', 'steal', 'marij', 'gambl', 'homeless', 'video', 'phone', 'sensitive', 'nonsensitive']",,,,,AER2017.xlsx,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Answers to the Research Questionnaire of the Research: ""VIANA, Michelangelo. Adoção de Tecnologias de Informação e Comunicação (TICs) por bibliotecas públicas brasileiras para gestão, oferta de recursos e serviços e comunicação com os usuários (2024)""",https://figshare.com/articles/dataset/Answers_to_the_Research_Questionnaire_of_the_Research_VIANA_Michelangelo_Ado_o_de_Tecnologias_de_Informa_o_e_Comunica_o_TICs_por_bibliotecas_p_blicas_brasileiras_para_gest_o_oferta_de_recursos_e_servi_os_e_comunica_o_com_os_usu_rios_2024_/29485733,10.6084/m9.figshare.29485733.v2,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Carimbo de data/hora', 'Concordância com o Termo de Consentimento Livre e Esclarecido', 'Selecionada para a amostra', 'Região do Brasil', 'Tipo de Biblioteca Pública', 'A pessoa gestora da Biblioteca Pública possui curso superior (graduação ou tecnólog",,,,,viana-michelangelo-2024-adocao-tics-bibliotecas-publicas-brasil-sem-cidest.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,dataverse,LLM Preference Alignment in Public Participation for Urban Redevelopment Planning,https://doi.org/10.7910/DVN/6OORTC,10.7910/dvn/6oortc,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['KEY', 'prompt']",,,,,Evaluation Data.xlsx,20,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Datos del artículo: Students’ preferences with university teaching practices: analysis of testimonials with artificial intelligence,https://figshare.com/articles/dataset/Datos_del_art_culo_Students_preferences_with_university_teaching_practices_analysis_of_testimonials_with_artificial_intelligence/31889677,10.6084/m9.figshare.31889677.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Fecha ' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Fecha ', 'Titulación ', 'Comenta y explica con tus palabras la mejor práctica de interacción que has visto en esta",,,,,Datos art. 2023 Álvarez-Falcón.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Literature Review for ""Evolution of Digital Health Literacy in India: A Narrative Review""",https://figshare.com/articles/dataset/Literature_Review_for_Evolution_of_Digital_Health_Literacy_in_India_A_Narrative_Review_/32006580,10.6084/m9.figshare.32006580.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Author(s), Year', 'Title', 'Source / Journal / Publisher', 'DOI / URL', 'Study type', 'Evidence level', 'Data type', 'Thematic category', 'Country/setting', 'Digital health domain', 'Key findings', 'Implications']",,,,,Data Review of Literature.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Demographic and cognitive characteristics of the sample groups.,https://plos.figshare.com/articles/dataset/_Demographic_and_cognitive_characteristics_of_the_sample_groups_/215894,10.1371/journal.pone.0048895.t001,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['<b></b>', '<b>APOE4 non-carriers</b>', 'Unnamed: 2', '<b>APOE4 carriers</b>', 'Unnamed: 4', '<b></b>.1', '<b></b>.2']",,,,,Table_1.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Dataset of tweets collected from London for the study “Private garden uses and associated mental well-being benefits during the first UK Covid-19 lockdown – a social media investigation”,https://figshare.com/articles/dataset/Dataset_containing_the_8_866_tweet_IDs_from_London_of_which_we_sampled_and_analysed_600_posts_in_our_study_Private_garden_uses_during_the_first_UK_Covid-19_lockdown_and_associated_mental_health_benefits_/23397866,10.6084/m9.figshare.23397866.v2,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['tweet_id;period;thematically_analysed;garden_use;mental_health_benefit'],,,,,GardenUses_MentalHealth_Lockdown_tweets-data.csv,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,dataverse,Bachpan Study of Maternal Depression and Child Development: Data from the First Three Years,https://doi.org/10.7910/DVN/IJE2PC,10.7910/dvn/ije2pc,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['\xa0', 'Variable Name', 'Variable Label', 'Response Category', 'Value Label Format', 'Notes', 'Generated variable', 'Baseline/Screening', '3 mo', '6 mo', '12 mo', '24 mo', '36 mo']",,,,,Bachpan Data Dictionary Sharing.xlsx,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Poultry Operational Intelligence and Sentiment Monitoring,https://figshare.com/articles/dataset/Poultry_Operational_Intelligence_and_Sentiment_Monitoring/32229642,10.6084/m9.figshare.32229642.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Date', 'Username', 'Content']",,,,,broiler_breeder_tweets.csv,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,"Price, proficiency, or permission: assessing platform data access for election research",https://tandf.figshare.com/articles/dataset/Price_proficiency_or_permission_assessing_platform_data_access_for_election_research/32415463,10.6084/m9.figshare.32415463.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Name of Access Point', 'Still Active?', 'Link', 'Platform(s)', 'Type', 'Pricing Structure', 'Method for Collection', 'Dashboard/User Interface', 'Date Began', 'Date Ended', 'Platform v. Independent', 'Production v. Consumption', 'Notes']",,,,,rics_a_2667921_sm0958.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Difficulty levels in the flanker and nback task in the adaptive training procedure.,https://plos.figshare.com/articles/dataset/Difficulty_levels_in_the_flanker_and_nback_task_in_the_adaptive_training_procedure_/21605246,10.1371/journal.pone.0276994.t001,human_assistance,Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*,24,12,2,1,Table 1.xls,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,dataverse,Replication Data For: Presidential Moral Rhetoric and the Public's Policy Mood,https://doi.org/10.7910/DVN/O4CX4D,10.7910/dvn/o4cx4d,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",2940,196,15,1,OldsPresidentialMoralRhetoric.xls,0,cc0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Online Survey Response Data,https://jstagedata.jst.go.jp/articles/dataset/Online_Survey_Response_Data/32403504,10.69389/data.ajhw.32403504.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['No.', 'Item', 'Format']",,,,,Online Survey Response Data_2.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Additional file 1 of Literature-derived serum miRNA signatures associated with cognitive decline in Alzheimer’s disease: integrated analysis and machine learning-based diagnostic modeling,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Literature-derived_serum_miRNA_signatures_associated_with_cognitive_decline_in_Alzheimer_s_disease_integrated_analysis_and_machine_learning-based_diagnostic_modeling/32564309,10.6084/m9.figshare.32564309.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Database', 'Search strategy']",,,,,13195_2026_2048_MOESM1_ESM.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Additional file 2 of Literature-derived serum miRNA signatures associated with cognitive decline in Alzheimer’s disease: integrated analysis and machine learning-based diagnostic modeling,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Literature-derived_serum_miRNA_signatures_associated_with_cognitive_decline_in_Alzheimer_s_disease_integrated_analysis_and_machine_learning-based_diagnostic_modeling/32564312,10.6084/m9.figshare.32564312.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['作者', 'Selection', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Comparability', '(miRNA)-Exposure', 'Unnamed: 7', 'Unnamed: 8']",,,,,13195_2026_2048_MOESM2_ESM.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,figshare,Additional file 4 of Literature-derived serum miRNA signatures associated with cognitive decline in Alzheimer’s disease: integrated analysis and machine learning-based diagnostic modeling,https://springernature.figshare.com/articles/dataset/Additional_file_4_of_Literature-derived_serum_miRNA_signatures_associated_with_cognitive_decline_in_Alzheimer_s_disease_integrated_analysis_and_machine_learning-based_diagnostic_modeling/32564318,10.6084/m9.figshare.32564318.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Positively correlated miRNAs', 'miRNA', 'target genes (Functional MTI)', 'gene number']",,,,,13195_2026_2048_MOESM4_ESM.xlsx,0,cc-by,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
