table,shard,n_rows,n_na,pct_na,n_items,n_items_all_na,na_in_all_na_items,n_items_no_na,n_ids,n_ids_all_na,na_in_all_na_ids,n_ids_no_na,pct_na_in_all_na_items,pct_na_in_all_na_ids
dscore_pegboard_weber_2019,item_response_warehouse_2,205,23,11.22,1,0,0,0,205,23,23,182,0.0,100.0
anunciacao_2025_personality_autonomy,item_response_warehouse_2,2455605,131,0.005,9,0,0,0,272845,11,99,272826,0.0,75.57
anunciacao_2025_personality_deference,item_response_warehouse_2,2455605,131,0.005,9,0,0,0,272845,11,99,272828,0.0,75.57
anunciacao_2025_personality_affiliation,item_response_warehouse_2,2455605,131,0.005,9,0,0,0,272845,11,99,272829,0.0,75.57
suicide_reinbergs_2025_stig,item_response_warehouse_2,11322,26,0.23,9,0,0,0,1258,1,9,1242,0.0,34.62
opentsstvr_linnig_2025_vas,item_response_warehouse_2,7154,21,0.294,7,0,0,0,98,0,0,96,0.0,0.0
suicide_reinbergs_2025_phq,item_response_warehouse_2,11322,24,0.212,9,0,0,1,1258,0,0,1238,0.0,0.0
dscore_denver_weber_2019,item_response_warehouse_2,142899,118589,82.988,109,0,0,0,1311,635,69215,0,0.0,58.37
crspolish_wiesyk_2024_enrich,item_response_warehouse_2,21720,15858,73.011,15,0,0,0,783,562,12585,3,0.0,79.36
psychotools_gratitude_gq6,item_response_warehouse_2,8430,10,0.119,6,0,0,0,1405,0,0,1397,0.0,0.0
quopl2_forster_2021_dmat,item_response_warehouse_2,63808,53823,84.351,32,0,0,0,1994,1662,53184,186,0.0,98.81
hexaco_silvia_2025,item_response_warehouse_2,53000,222,0.419,100,0,0,6,530,0,0,423,0.0,0.0
issueirt_votes_shin_2024,item_response_warehouse_2,303921,130615,42.977,373,0,0,0,697,0,0,1,0.0,0.0
dscore_dutch_weber_2019,item_response_warehouse_2,953154,787033,82.571,57,0,0,0,2038,0,0,0,0.0,0.0
anunciacao_2025_personality_persistence,item_response_warehouse_2,2182760,95,0.004,8,0,0,0,272845,11,88,272832,0.0,92.63
pezzuti_2025_coolpeople_single-items,item_response_warehouse_2,56560,627,1.109,10,0,0,0,5656,0,0,5039,0.0,0.0
anunciacao_2025_personality_nurturance,item_response_warehouse_2,2182760,125,0.006,8,0,0,0,272845,11,88,272828,0.0,70.4
opentsstvr_linnig_2025_vrexperience,item_response_warehouse_2,2774,365,13.158,19,0,0,14,98,0,0,25,0.0,0.0
schoen_2019_to_2022_mkt,item_response_warehouse_2,74624,814,1.091,35,0,0,1,1045,0,0,1009,0.0,0.0
quopl2_forster_2021_cft,item_response_warehouse_2,149550,129069,86.305,75,0,0,0,1994,1662,124650,6,0.0,96.58
rating_speed_2025,item_response_warehouse_2,2286137,40817,1.785,8,0,0,0,24037,0,0,19429,0.0,0.0
act_kay_2025,item_response_warehouse_2,3936,412,10.467,4,0,0,0,492,0,0,389,0.0,0.0
pezzuti_2025_coolpeople_benevolent,item_response_warehouse_2,33936,3349,9.869,6,0,0,0,5656,558,3348,5097,0.0,99.97
dscore_macarthur_weber_2019,item_response_warehouse_2,1230,356,28.943,6,0,0,0,205,46,276,128,0.0,77.53
nit_must_2014,item_response_warehouse_2,512052,106566,20.812,284,0,0,3,1803,0,0,0,0.0,0.0
crspolish_wiesyk_2024_p_stress,item_response_warehouse_2,10136,7399,72.997,7,0,0,0,783,562,5873,3,0.0,79.38
dscore_barrera_weber_2019,item_response_warehouse_2,14674,11328,77.198,22,0,0,0,667,0,0,0,0.0,0.0
suicide_reinbergs_2025_ghsq,item_response_warehouse_2,11322,26,0.23,9,0,0,0,1258,1,9,1242,0.0,34.62
onecm_kay_2025,item_response_warehouse_2,984,103,10.467,1,0,0,0,492,0,0,389,0.0,0.0
anunciacao_2025_personality_achievement,item_response_warehouse_2,2455605,125,0.005,9,0,0,0,272845,11,99,272828,0.0,79.2
pezzuti_2025_coolpeople_secure,item_response_warehouse_2,22624,1,0.004,4,0,0,3,5656,0,0,5655,0.0,0.0
anunciacao_2025_personality_succorance,item_response_warehouse_2,1909915,102,0.005,7,0,0,0,272845,11,77,272828,0.0,75.49
pezzuti_2025_coolpeople_warm,item_response_warehouse_2,22624,2,0.009,4,0,0,2,5656,0,0,5654,0.0,0.0
sd3ypl_klimczak_2019_sd3,item_response_warehouse_2,18980,1460,7.692,26,0,0,22,730,0,0,0,0.0,0.0
bfi2_zhang_2025,item_response_warehouse_2,80100,212,0.265,60,0,0,0,1335,0,0,1199,0.0,0.0
dscore_vineland_weber_2019,item_response_warehouse_2,208800,125242,59.982,50,0,0,0,2389,145,7400,0,0.0,5.91
gahps_korner_2021,item_response_warehouse_2,15946,70,0.439,14,0,0,0,1139,5,70,1134,0.0,100.0
musifeast17_vanderwalle_2025,item_response_warehouse_2,297925,10539,3.537,25,0,0,17,701,0,0,0,0.0,0.0
gmc_kay_2025,item_response_warehouse_2,4920,515,10.467,5,0,0,0,492,0,0,389,0.0,0.0
anunciacao_2025_personality_exhibition,item_response_warehouse_2,2455605,150,0.006,9,0,0,0,272845,16,144,272828,0.0,96.0
identity_fusion_gomez_2025,item_response_warehouse_2,46669,2077,4.45,51,0,0,10,2577,45,1332,2467,0.0,64.13
pezzuti_2025_coolpeople_autonomous,item_response_warehouse_2,22624,3,0.013,4,0,0,1,5656,0,0,5653,0.0,0.0
crspolish_wiesyk_2024_lie,item_response_warehouse_2,17376,12687,73.015,12,0,0,0,783,562,10068,3,0.0,79.36
suicide_reinbergs_2025_stosa,item_response_warehouse_2,15096,14,0.093,12,0,0,5,1258,0,0,1248,0.0,0.0
pezzuti_2025_coolpeople_hedonistic,item_response_warehouse_2,22624,2,0.009,4,0,0,2,5656,0,0,5654,0.0,0.0
suicide_reinbergs_2025_gad,item_response_warehouse_2,2516,7,0.278,2,0,0,0,1258,1,2,1252,0.0,28.57
sd4_silvia_2025,item_response_warehouse_2,14840,44,0.296,28,0,0,4,530,0,0,506,0.0,0.0
suicide_reinbergs_2025_sbqr,item_response_warehouse_2,5032,8,0.159,4,0,0,0,1258,1,4,1253,0.0,50.0
shorttripm_silvia_2025,item_response_warehouse_2,17265,63,0.365,15,0,0,0,1151,0,0,1098,0.0,0.0
dscore_battelle_weber_2019,item_response_warehouse_2,131100,101558,77.466,100,0,0,0,1311,676,67600,0,0.0,66.56
anunciacao_2025_personality_aggression,item_response_warehouse_2,1364225,73,0.005,5,0,0,0,272845,13,65,272829,0.0,89.04
pezzuti_2025_coolpeople_powerful,item_response_warehouse_2,22624,1,0.004,4,0,0,3,5656,0,0,5655,0.0,0.0
dscore_sbi_weber_2019,item_response_warehouse_2,6765,2177,32.18,33,0,0,0,205,0,0,0,0.0,0.0
quopl2_forster_2021_quop,item_response_warehouse_2,733792,110199,15.018,46,0,0,0,1994,72,26496,927,0.0,24.04
dscore_mds_weber_2019,item_response_warehouse_2,7866,6572,83.549,6,0,0,0,1311,1095,6570,214,0.0,99.97
dscore_asq_weber_2019,item_response_warehouse_2,191406,172867,90.314,146,0,0,0,1311,644,94024,0,0.0,54.39
anunciacao_2025_personality_dominance,item_response_warehouse_2,1909915,105,0.005,7,0,0,0,272845,11,77,272828,0.0,73.33
psychotools_gratitude_gac,item_response_warehouse_2,4215,16,0.38,3,0,0,0,1405,0,0,1392,0.0,0.0
suicide_reinbergs_2025_soss,item_response_warehouse_2,10064,16,0.159,8,0,0,1,1258,0,0,1243,0.0,0.0
anunciacao_2025_personality_order,item_response_warehouse_2,1637070,94,0.006,6,0,0,0,272845,13,78,272828,0.0,82.98
cmq_kay_2025,item_response_warehouse_2,4920,515,10.467,5,0,0,0,492,0,0,389,0.0,0.0
psychotools_gratitude_gart,item_response_warehouse_2,22480,149,0.663,16,0,0,0,1405,0,0,1344,0.0,0.0
pezzuti_2025_coolpeople_adventurous,item_response_warehouse_2,22624,2,0.009,4,0,0,2,5656,0,0,5654,0.0,0.0
dscore_bayley_weber_2019,item_response_warehouse_2,4139616,3715652,89.758,416,0,0,0,7536,1683,1047072,0,0.0,28.18
pezzuti_2025_coolpeople_conforming,item_response_warehouse_2,22624,2,0.009,4,0,0,3,5656,0,0,5654,0.0,0.0
