table,shard,n_rows,n_na,n_items,n_items_all_na,na_in_all_na_items,n_ids,n_ids_all_na,na_in_all_na_ids,err,share_na,item_conc,id_conc,bucket
shorttripm_silvia_2025,item_response_warehouse_2,17265,63,15,0,0,1151,0,0,,0.0036490008688097307,0.0,0.0,E_scattered
mhscdc_fried_2020_dass,item_response_warehouse,3360,63,21,0,0,80,0,0,,0.01875,0.0,0.0,E_scattered
mturkddm_y25,item_response_warehouse,127488,55,12,0,0,166,0,0,,0.00043141315261044176,0.0,0.0,E_scattered
cbq_huczewska2022,item_response_warehouse,175488,54,64,0,0,2742,0,0,,0.0003077133479212254,0.0,0.0,E_scattered
spelling_assessment_study1,item_response_warehouse,73357,54,109,0,0,673,0,0,,0.0007361260684051965,0.0,0.0,E_scattered
phq_BrummerHoffman_2021,item_response_warehouse,82260,54,45,0,0,1828,0,0,,0.0006564551422319475,0.0,0.0,E_scattered
PEMAIW_Qiu_2020_BWSS,item_response_warehouse,21540,47,20,0,0,1077,0,0,,0.002181987000928505,0.0,0.0,E_scattered
VEI_Brazillian_Shiramizu_2018_IRI,item_response_warehouse,19544,45,28,0,0,698,0,0,,0.0023024969300040935,0.0,0.0,E_scattered
gad_BrummerHoffman_2021,item_response_warehouse,63980,45,35,0,0,1828,0,0,,0.0007033447952485152,0.0,0.0,E_scattered
WMD_bartczuk_2023,item_response_warehouse,12936,44,24,0,0,539,0,0,,0.003401360544217687,0.0,0.0,E_scattered
sd4_silvia_2025,item_response_warehouse_2,14840,44,28,0,0,530,0,0,,0.0029649595687331535,0.0,0.0,E_scattered
PROMISPME_Forrest_2021_Strength_Proxy,item_response_warehouse,22975,41,25,0,0,918,0,0,,0.0017845484221980415,0.0,0.0,E_scattered
suicide_reinbergs_2025_mpfi,item_response_warehouse_2,15096,40,12,0,0,1258,1,12,,0.002649708532061473,0.0,0.3,E_scattered
VEI_Brazillian_Shiramizu_2018_EI,item_response_warehouse,9772,39,14,0,0,698,1,14,,0.003990994678673762,0.0,0.358974358974359,E_scattered
SCS_Suh_2023_SCS,item_response_warehouse,20430,39,30,0,0,681,1,30,,0.0019089574155653451,0.0,0.7692307692307693,D_mostly_ids
evpromisi_stone_2021_ddpainin,item_response_warehouse,31536,35,6,0,0,200,0,0,,0.0011098427194317605,0.0,0.0,E_scattered
VSOCFP_Sebo_2024,item_response_warehouse,6352,35,8,0,0,794,0,0,,0.00551007556675063,0.0,0.0,E_scattered
evpromisi_stone_2021_ddedanx,item_response_warehouse,33131,34,7,0,0,183,0,0,,0.001026229211312668,0.0,0.0,E_scattered
PEMAIW_Qiu_2020_MLQ,item_response_warehouse,10780,32,10,0,0,1078,0,0,,0.002968460111317254,0.0,0.0,E_scattered
disgust_berger2014,item_response_warehouse,35350,30,25,0,0,1414,0,0,,0.0008486562942008486,0.0,0.0,E_scattered
mhscdc_fried_2020_tired,item_response_warehouse,1440,30,10,0,0,80,0,0,,0.020833333333333332,0.0,0.0,E_scattered
hexaco_ashton_2014_e,item_response_warehouse,911440,28,40,0,0,22786,0,0,,3.0720617923286226e-05,0.0,0.0,E_scattered
hexaco_ashton_2014_c,item_response_warehouse,911440,27,40,0,0,22786,0,0,,2.9623452997454578e-05,0.0,0.0,E_scattered
suicide_reinbergs_2025_stig,item_response_warehouse_2,11322,26,9,0,0,1258,1,9,,0.0022964140611199434,0.0,0.34615384615384615,E_scattered
suicide_reinbergs_2025_ghsq,item_response_warehouse_2,11322,26,9,0,0,1258,1,9,,0.0022964140611199434,0.0,0.34615384615384615,E_scattered
LSHS-E_Quidaja_2022,item_response_warehouse,42624,25,16,0,0,2664,0,0,,0.000586524024024024,0.0,0.0,E_scattered
suicide_reinbergs_2025_phq,item_response_warehouse_2,11322,24,9,0,0,1258,0,0,,0.0021197668256491787,0.0,0.0,E_scattered
hexaco_ashton_2014_a,item_response_warehouse,911440,24,40,0,0,22786,0,0,,2.6331958219959623e-05,0.0,0.0,E_scattered
dscore_pegboard_weber_2019,item_response_warehouse_2,205,23,1,0,0,205,23,23,,0.11219512195121951,0.0,1.0,B_whole_ids
SBD_Smith_2020,item_response_warehouse,6644,23,22,0,0,302,0,0,,0.003461770018061409,0.0,0.0,E_scattered
PEMAIW_Qiu_2020_DASS,item_response_warehouse,22554,22,21,0,0,1074,0,0,,0.0009754367296266737,0.0,0.0,E_scattered
envirisk_lalot_2025,item_response_warehouse,24060,22,12,0,0,2005,0,0,,0.000914380714879468,0.0,0.0,E_scattered
hexaco_ashton_2014_h,item_response_warehouse,911440,22,40,0,0,22786,0,0,,2.4137628368296323e-05,0.0,0.0,E_scattered
dvivdtws_ppmial_marcatto_2023_dtw,item_response_warehouse,12166,21,22,0,0,553,0,0,,0.0017261219792865361,0.0,0.0,E_scattered
dvivdtws_ppmial_marcatto_2023_ocs,item_response_warehouse,12166,21,22,0,0,553,0,0,,0.0017261219792865361,0.0,0.0,E_scattered
dvivdtws_ppmial_marcatto_2023_snaq,item_response_warehouse,12166,21,22,0,0,553,0,0,,0.0017261219792865361,0.0,0.0,E_scattered
dvivdtws_ppmial_marcatto_2023_ocb,item_response_warehouse,12166,21,22,0,0,553,0,0,,0.0017261219792865361,0.0,0.0,E_scattered
opentsstvr_linnig_2025_vas,item_response_warehouse_2,7154,21,7,0,0,98,0,0,,0.0029354207436399216,0.0,0.0,E_scattered
idcr_martinez_2023_Story_Recall_2,item_response_warehouse,10545,20,48,0,0,235,0,0,,0.001896633475580844,0.0,0.0,E_scattered
socialstereotype_hughes_2025_personality_other,item_response_warehouse,34076,19,28,0,0,312,0,0,,0.0005575771804202371,0.0,0.0,E_scattered
gilbert_meta_20,item_response_warehouse,24180,18,93,0,0,186,0,0,,0.0007444168734491315,0.0,0.0,E_scattered
SV-MAIA2_Randelovic_2021_DASS,item_response_warehouse,4305,17,21,0,0,205,0,0,,0.003948896631823461,0.0,0.0,E_scattered
HEARD_Roch_2022_K6,item_response_warehouse,3600,16,6,0,0,600,0,0,,0.0044444444444444444,0.0,0.0,E_scattered
psychotools_gratitude_gac,item_response_warehouse_2,4215,16,3,0,0,1405,0,0,,0.0037959667852906285,0.0,0.0,E_scattered
suicide_reinbergs_2025_soss,item_response_warehouse_2,10064,16,8,0,0,1258,0,0,,0.001589825119236884,0.0,0.0,E_scattered
hexaco_ashton_2014_o,item_response_warehouse,911440,15,40,0,0,22786,0,0,,1.6457473887474765e-05,0.0,0.0,E_scattered
evpromisi_stone_2021_cdiag,item_response_warehouse,5832,15,12,0,0,486,1,12,,0.00257201646090535,0.0,0.8,D_mostly_ids
mhscdc_fried_2020_loneliness,item_response_warehouse,800,15,5,0,0,80,0,0,,0.01875,0.0,0.0,E_scattered
mhscdc_fried_2020_procrastination,item_response_warehouse,800,15,5,0,0,80,0,0,,0.01875,0.0,0.0,E_scattered
aestheticfluency_cotter2023,item_response_warehouse,89280,15,36,0,0,2480,0,0,,0.00016801075268817206,0.0,0.0,E_scattered
suicide_reinbergs_2025_stosa,item_response_warehouse_2,15096,14,12,0,0,1258,0,0,,0.0009273979862215156,0.0,0.0,E_scattered
hexaco_ashton_2014_x,item_response_warehouse,911440,13,40,0,0,22786,0,0,,1.4263144035811463e-05,0.0,0.0,E_scattered
QCDQES_Oliveira_2022,item_response_warehouse,28854,13,42,0,0,687,0,0,,0.0004505441186663894,0.0,0.0,E_scattered
evpromisi_stone_2021_global,item_response_warehouse,4860,13,10,0,0,486,1,10,,0.002674897119341564,0.0,0.7692307692307693,D_mostly_ids
psychotools_gratitude_gq6,item_response_warehouse_2,8430,10,6,0,0,1405,0,0,,0.0011862396204033216,0.0,0.0,E_scattered
bfi_goldberg_1992_extraversion,item_response_warehouse,197190,10,10,0,0,19719,1,10,,5.071251077640854e-05,0.0,1.0,B_whole_ids
bfi_goldberg_1992_openness_to_experience,item_response_warehouse,197190,10,10,0,0,19719,1,10,,5.071251077640854e-05,0.0,1.0,B_whole_ids
bfi_goldberg_1992_agreeableness,item_response_warehouse,197190,10,10,0,0,19719,1,10,,5.071251077640854e-05,0.0,1.0,B_whole_ids
hpwt_bayona_2025_jobsatisfaction,item_response_warehouse,2520,10,5,0,0,504,1,5,,0.003968253968253968,0.0,0.5,D_mostly_ids
bfi_goldberg_1992_neuroticism,item_response_warehouse,197190,10,10,0,0,19719,1,10,,5.071251077640854e-05,0.0,1.0,B_whole_ids
bfi_goldberg_1992_conscientiousness,item_response_warehouse,197190,10,10,0,0,19719,1,10,,5.071251077640854e-05,0.0,1.0,B_whole_ids
HEARD_Roch_2022_WHODAS,item_response_warehouse,7200,9,12,0,0,600,0,0,,0.00125,0.0,0.0,E_scattered
EMSC_Kuan-chin_2023,item_response_warehouse,693,8,7,0,0,99,0,0,,0.011544011544011544,0.0,0.0,E_scattered
promis_BrummerHoffman_2021,item_response_warehouse,109602,8,80,0,0,1828,0,0,,7.299136877064287e-05,0.0,0.0,E_scattered
HEARD_Roch_2022_IDSS,item_response_warehouse,7200,8,12,0,0,600,0,0,,0.0011111111111111111,0.0,0.0,E_scattered
suicide_reinbergs_2025_sbqr,item_response_warehouse_2,5032,8,4,0,0,1258,1,4,,0.001589825119236884,0.0,0.5,D_mostly_ids
suicide_reinbergs_2025_dssm,item_response_warehouse_2,11322,8,9,0,0,1258,0,0,,0.0007065889418830596,0.0,0.0,E_scattered
FEDSP_Trzcinska_2023_SMSD,item_response_warehouse,2574,7,13,0,0,198,0,0,,0.0027195027195027195,0.0,0.0,E_scattered
suicide_reinbergs_2025_gad,item_response_warehouse_2,2516,7,2,0,0,1258,1,2,,0.0027821939586645467,0.0,0.2857142857142857,E_scattered
AMI_CV_Hewitt2024,item_response_warehouse,3402,5,18,0,0,189,0,0,,0.0014697236919459142,0.0,0.0,E_scattered
idcr_martinez_2023_Story_Recall_3,item_response_warehouse,7150,4,32,0,0,235,0,0,,0.0005594405594405594,0.0,0.0,E_scattered
BPAQ_Christopher_2024_FFMQSF,item_response_warehouse,2550,4,15,0,0,170,0,0,,0.001568627450980392,0.0,0.0,E_scattered
deception_game,item_response_warehouse,15264,4,24,0,0,636,0,0,,0.0002620545073375262,0.0,0.0,E_scattered
pezzuti_2025_coolpeople_autonomous,item_response_warehouse_2,22624,3,4,0,0,5656,0,0,,0.0001326025459688826,0.0,0.0,E_scattered
VCISM_Polish_Trzcinska_2023,item_response_warehouse,2070,3,12,0,0,104,0,0,,0.0014492753623188406,0.0,0.0,E_scattered
PEMAIW_Qiu_2020_SWLS,item_response_warehouse,5460,3,5,0,0,1092,0,0,,0.0005494505494505495,0.0,0.0,E_scattered
idcr_martinez_2023_Story_Recall_1,item_response_warehouse,9389,3,42,0,0,236,0,0,,0.00031952284588348065,0.0,0.0,E_scattered
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,item_response_warehouse,1272,3,6,0,0,199,0,0,,0.0023584905660377358,0.0,0.0,E_scattered
idcr_martinez_2023_ps,item_response_warehouse,4212,2,18,0,0,234,0,0,,0.0004748338081671415,0.0,0.0,E_scattered
FEDSP_Trzcinska_2023_PRD,item_response_warehouse,990,2,5,0,0,198,0,0,,0.00202020202020202,0.0,0.0,E_scattered
PROMISPME_Forrest_2021_GHGlobal_Children,item_response_warehouse,65430,2,18,0,0,3635,0,0,,3.056701818737582e-05,0.0,0.0,E_scattered
pechorro_impulsivity_2021_ypitris,item_response_warehouse,9009,2,21,0,0,429,0,0,,0.000222000222000222,0.0,0.0,E_scattered
pezzuti_2025_coolpeople_hedonistic,item_response_warehouse_2,22624,2,4,0,0,5656,0,0,,8.84016973125884e-05,0.0,0.0,E_scattered
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,item_response_warehouse,2756,2,13,0,0,199,0,0,,0.000725689404934688,0.0,0.0,E_scattered
pezzuti_2025_coolpeople_warm,item_response_warehouse_2,22624,2,4,0,0,5656,0,0,,8.84016973125884e-05,0.0,0.0,E_scattered
idcr_martinez_2023_matches,item_response_warehouse,2340,2,10,0,0,234,0,0,,0.0008547008547008547,0.0,0.0,E_scattered
pezzuti_2025_coolpeople_conforming,item_response_warehouse_2,22624,2,4,0,0,5656,0,0,,8.84016973125884e-05,0.0,0.0,E_scattered
pezzuti_2025_coolpeople_adventurous,item_response_warehouse_2,22624,2,4,0,0,5656,0,0,,8.84016973125884e-05,0.0,0.0,E_scattered
NAMPRB_Siwiak_2024_DESRPL,item_response_warehouse,4816,1,28,0,0,172,0,0,,0.00020764119601328904,0.0,0.0,E_scattered
pezzuti_2025_coolpeople_powerful,item_response_warehouse_2,22624,1,4,0,0,5656,0,0,,4.42008486562942e-05,0.0,0.0,E_scattered
idcr_martinez_2023_lns,item_response_warehouse,1611,1,18,0,0,230,0,0,,0.0006207324643078833,0.0,0.0,E_scattered
perceived_injustice_mourin,item_response_warehouse,4199,1,19,0,0,221,0,0,,0.00023815194093831864,0.0,0.0,E_scattered
pezzuti_2025_coolpeople_secure,item_response_warehouse_2,22624,1,4,0,0,5656,0,0,,4.42008486562942e-05,0.0,0.0,E_scattered
socialstereotype_hughes_2025_personality_self,item_response_warehouse,8316,1,28,0,0,297,0,0,,0.00012025012025012025,0.0,0.0,E_scattered
much_tte_2025_concentrationtask,item_response_warehouse,11196,1,9,0,0,1244,0,0,,8.931761343336905e-05,0.0,0.0,E_scattered
BPAQ_Christopher_2024_SCSS,item_response_warehouse,2040,1,12,0,0,170,0,0,,0.0004901960784313725,0.0,0.0,E_scattered
