table,check,severity,message,n_rows,n_items,n_participants
PROMISPME_Forrest_2021_GHGlobal_Children,resp_scale_mixed,warn,items span more than one response scale: 15 on 1-5 and 3 on ['1-6']. IRW requires one table per construct; split before submitting.,65428,18,3635
PROMISPME_Forrest_2021_GHGlobal_Children,name_charset,warn,"table name 'PROMISPME_Forrest_2021_GHGlobal_Children' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",65428,18,3635
PROMISPME_Forrest_2021_GHGlobal_Proxy,resp_na,warn,resp has 1909 NAs,36038,21,1807
PROMISPME_Forrest_2021_GHGlobal_Proxy,imputed_values*,warn,Item 'Global06_Proxy' has one resp value accounting for 82% of responses — possible mean imputation.,36038,21,1807
PROMISPME_Forrest_2021_GHGlobal_Proxy,multi_scale*,warn,"Item names suggest 2 subscales (['pedglobal', 'global']) — IRW requires separate tables per construct.",36038,21,1807
PROMISPME_Forrest_2021_GHGlobal_Proxy,item_scale_outlier,warn,"3 item(s) fall outside the table's 1-5 scale: ['PedGlobal10_Proxy', 'PedGlobal12_Proxy', 'PedGlobal9_Proxy']. An isolated out-of-range column is usually not an item -- check for an administrative or count field.",36038,21,1807
PROMISPME_Forrest_2021_GHGlobal_Proxy,name_charset,warn,"table name 'PROMISPME_Forrest_2021_GHGlobal_Proxy' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",36038,21,1807
PROMISPME_Forrest_2021_LS_Children,resp_na,warn,resp has 634 NAs,110974,56,1992
PROMISPME_Forrest_2021_LS_Children,dup_id_item,error,56 duplicate id+item rows with no wave/timepoint/date column,110974,56,1992
PROMISPME_Forrest_2021_LS_Children,imputed_values*,warn,Item 'SWB_LS_010' has one resp value accounting for 75% of responses — possible mean imputation.,110974,56,1992
PROMISPME_Forrest_2021_LS_Children,name_charset,warn,"table name 'PROMISPME_Forrest_2021_LS_Children' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",110974,56,1992
PROMISPME_Forrest_2021_LS_Proxy,resp_na,warn,resp has 115 NAs,53925,56,964
PROMISPME_Forrest_2021_LS_Proxy,dup_id_item,error,56 duplicate id+item rows with no wave/timepoint/date column,53925,56,964
PROMISPME_Forrest_2021_LS_Proxy,imputed_values*,warn,Item 'SWB_LS_010_PX' has one resp value accounting for 83% of responses — possible mean imputation.,53925,56,964
PROMISPME_Forrest_2021_LS_Proxy,name_charset,warn,"table name 'PROMISPME_Forrest_2021_LS_Proxy' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",53925,56,964
PROMISPME_Forrest_2021_MP_Children,resp_na,warn,resp has 308 NAs,103972,55,1895
PROMISPME_Forrest_2021_MP_Children,dup_id_item,error,55 duplicate id+item rows with no wave/timepoint/date column,103972,55,1895
PROMISPME_Forrest_2021_MP_Children,imputed_values*,warn,Item 'SWB_FO_007' has one resp value accounting for 75% of responses — possible mean imputation.,103972,55,1895
PROMISPME_Forrest_2021_MP_Children,name_charset,warn,"table name 'PROMISPME_Forrest_2021_MP_Children' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",103972,55,1895
PROMISPME_Forrest_2021_MP_Proxy,resp_na,warn,resp has 115 NAs,50925,55,927
PROMISPME_Forrest_2021_MP_Proxy,dup_id_item,error,55 duplicate id+item rows with no wave/timepoint/date column,50925,55,927
PROMISPME_Forrest_2021_MP_Proxy,imputed_values*,warn,Item 'SWB_FO_007_PX' has one resp value accounting for 73% of responses — possible mean imputation.,50925,55,927
PROMISPME_Forrest_2021_MP_Proxy,name_charset,warn,"table name 'PROMISPME_Forrest_2021_MP_Proxy' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",50925,55,927
PROMISPME_Forrest_2021_Physical_Children,resp_na,warn,resp has 1304 NAs,236893,122,3854
PROMISPME_Forrest_2021_Physical_Children,dup_id_item,error,79 duplicate id+item rows with no wave/timepoint/date column,236893,122,3854
PROMISPME_Forrest_2021_Physical_Children,imputed_values*,warn,Item 'EoS_S_026' has one resp value accounting for 76% of responses — possible mean imputation.,236893,122,3854
PROMISPME_Forrest_2021_Physical_Children,multi_scale*,warn,"Item names suggest 2 subscales (['pac', 'eos']) — IRW requires separate tables per construct.",236893,122,3854
PROMISPME_Forrest_2021_Physical_Children,item_scale_outlier,warn,"2 item(s) fall outside the table's 1-5 scale: ['PAC_M_016', 'PAC_M_019']. An isolated out-of-range column is usually not an item -- check for an administrative or count field.",236893,122,3854
PROMISPME_Forrest_2021_Physical_Children,name_charset,warn,"table name 'PROMISPME_Forrest_2021_Physical_Children' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",236893,122,3854
PROMISPME_Forrest_2021_Physical_Proxy,resp_na,warn,resp has 751 NAs,120667,122,1957
PROMISPME_Forrest_2021_Physical_Proxy,dup_id_item,error,79 duplicate id+item rows with no wave/timepoint/date column,120667,122,1957
PROMISPME_Forrest_2021_Physical_Proxy,imputed_values*,warn,Item 'EoS_S_011_PX' has one resp value accounting for 77% of responses — possible mean imputation.,120667,122,1957
PROMISPME_Forrest_2021_Physical_Proxy,multi_scale*,warn,"Item names suggest 2 subscales (['pac', 'eos']) — IRW requires separate tables per construct.",120667,122,1957
PROMISPME_Forrest_2021_Physical_Proxy,item_scale_outlier,warn,"2 item(s) fall outside the table's 1-5 scale: ['PAC_M_016_PX', 'PAC_M_019_PX']. An isolated out-of-range column is usually not an item -- check for an administrative or count field.",120667,122,1957
PROMISPME_Forrest_2021_Physical_Proxy,name_charset,warn,"table name 'PROMISPME_Forrest_2021_Physical_Proxy' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",120667,122,1957
PROMISPME_Forrest_2021_PosAff_Children,resp_na,warn,resp has 1186 NAs,98136,53,1869
PROMISPME_Forrest_2021_PosAff_Children,imputed_values*,warn,Item 'SWB_P_018' has one resp value accounting for 68% of responses — possible mean imputation.,98136,53,1869
PROMISPME_Forrest_2021_PosAff_Children,name_charset,warn,"table name 'PROMISPME_Forrest_2021_PosAff_Children' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",98136,53,1869
PROMISPME_Forrest_2021_PosAff_Proxy,resp_na,warn,resp has 117 NAs,48060,53,909
PROMISPME_Forrest_2021_PosAff_Proxy,imputed_values*,warn,Item 'SWB_P_018_PX' has one resp value accounting for 66% of responses — possible mean imputation.,48060,53,909
PROMISPME_Forrest_2021_PosAff_Proxy,name_charset,warn,"table name 'PROMISPME_Forrest_2021_PosAff_Proxy' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",48060,53,909
PROMISPME_Forrest_2021_Psych_Children,resp_na,warn,resp has 452 NAs,119484,64,1874
PROMISPME_Forrest_2021_Psych_Children,imputed_values*,warn,Item 'EoS_P_015' has one resp value accounting for 70% of responses — possible mean imputation.,119484,64,1874
PROMISPME_Forrest_2021_Psych_Children,name_charset,warn,"table name 'PROMISPME_Forrest_2021_Psych_Children' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",119484,64,1874
PROMISPME_Forrest_2021_Psych_Proxy,resp_na,warn,resp has 230 NAs,58202,64,913
PROMISPME_Forrest_2021_Psych_Proxy,imputed_values*,warn,Item 'EoS_P_002_PX' has one resp value accounting for 65% of responses — possible mean imputation.,58202,64,913
PROMISPME_Forrest_2021_Psych_Proxy,name_charset,warn,"table name 'PROMISPME_Forrest_2021_Psych_Proxy' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",58202,64,913
PROMISPME_Forrest_2021_Strength_Children,resp_na,warn,resp has 85 NAs,45540,25,1824
PROMISPME_Forrest_2021_Strength_Children,dup_id_item,error,25 duplicate id+item rows with no wave/timepoint/date column,45540,25,1824
PROMISPME_Forrest_2021_Strength_Children,imputed_values*,warn,Item 'PAC_S_005' has one resp value accounting for 61% of responses — possible mean imputation.,45540,25,1824
PROMISPME_Forrest_2021_Strength_Children,name_charset,warn,"table name 'PROMISPME_Forrest_2021_Strength_Children' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",45540,25,1824
PROMISPME_Forrest_2021_Strength_Proxy,resp_na,warn,resp has 41 NAs,22934,25,918
PROMISPME_Forrest_2021_Strength_Proxy,dup_id_item,error,25 duplicate id+item rows with no wave/timepoint/date column,22934,25,918
PROMISPME_Forrest_2021_Strength_Proxy,imputed_values*,warn,Item 'PAC_S_005_PX' has one resp value accounting for 72% of responses — possible mean imputation.,22934,25,918
PROMISPME_Forrest_2021_Strength_Proxy,name_charset,warn,"table name 'PROMISPME_Forrest_2021_Strength_Proxy' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",22934,25,918
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,resp_na,warn,resp has 2 NAs,2754,13,199
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,dup_id_item,error,169 duplicate id+item rows with no wave/timepoint/date column,2754,13,199
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,name_length,error,"table name is 42 characters; datastandard.md caps it at 40. Shorten the construct label, never the author or year.",2754,13,199
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,name_charset,warn,"table name 'PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2754,13,199
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,column_order,warn,"columns start ['id', 'figure', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",2754,13,199
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,resp_na,warn,resp has 3 NAs,1269,6,199
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,dup_id_item,error,78 duplicate id+item rows with no wave/timepoint/date column,1269,6,199
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,name_length,error,"table name is 42 characters; datastandard.md caps it at 40. Shorten the construct label, never the author or year.",1269,6,199
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,name_charset,warn,"table name 'PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",1269,6,199
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,column_order,warn,"columns start ['id', 'figure', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",1269,6,199
PSR-P_Scale_Intimacy_Hakim_2018_Study3,resp_na,warn,resp has 95 NAs,21433,24,897
PSR-P_Scale_Intimacy_Hakim_2018_Study3,multi_scale*,warn,"Item names suggest 6 subscales (['rwa', 'ba', 'elaborationpolitics', 'politicalefficacy']) — IRW requires separate tables per construct.",21433,24,897
PSR-P_Scale_Intimacy_Hakim_2018_Study3,name_charset,warn,"table name 'PSR-P_Scale_Intimacy_Hakim_2018_Study3' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",21433,24,897
PSR-P_Scale_Intimacy_Hakim_2018_Study3,column_order,warn,"columns start ['id', 'figure', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",21433,24,897
PTAM_Kretzschmar_2017_MicroFIN,resp_na,warn,resp has 80 NAs,6904,24,253
PTAM_Kretzschmar_2017_MicroFIN,dup_id_item,warn,912 duplicate id+item rows (longitudinal column ['wave'] present — likely ok),6904,24,253
PTAM_Kretzschmar_2017_MicroFIN,imputed_values*,warn,Item 'c7' has one resp value accounting for 67% of responses — possible mean imputation.,6904,24,253
PTAM_Kretzschmar_2017_MicroFIN,multi_scale*,warn,"Item names suggest 4 subscales (['zi', 'iz', 'know', 'c']) — IRW requires separate tables per construct.",6904,24,253
PTAM_Kretzschmar_2017_MicroFIN,name_charset,warn,"table name 'PTAM_Kretzschmar_2017_MicroFIN' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",6904,24,253
PTAM_Kretzschmar_2017_Raven,imputed_values*,warn,Item 'rav1' has one resp value accounting for 94% of responses — possible mean imputation.,4760,20,238
PTAM_Kretzschmar_2017_Raven,name_charset,warn,"table name 'PTAM_Kretzschmar_2017_Raven' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",4760,20,238
PTAM_Kretzschmar_2017_Reasoning,resp_na,warn,resp has 616 NAs,7808,36,234
PTAM_Kretzschmar_2017_Reasoning,imputed_values*,warn,Item 'qr10' has one resp value accounting for 62% of responses — possible mean imputation.,7808,36,234
PTAM_Kretzschmar_2017_Reasoning,multi_scale*,warn,"Item names suggest 2 subscales (['verb', 'qr']) — IRW requires separate tables per construct.",7808,36,234
PTAM_Kretzschmar_2017_Reasoning,name_charset,warn,"table name 'PTAM_Kretzschmar_2017_Reasoning' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",7808,36,234
PTCI_Chinese_Zhan_2024,dup_id_item,error,38577 duplicate id+item rows with no wave/timepoint/date column,80388,33,1267
PTCI_Chinese_Zhan_2024,imputed_values*,warn,Item 'ptci14' has one resp value accounting for 61% of responses — possible mean imputation.,80388,33,1267
PTCI_Chinese_Zhan_2024,name_charset,warn,"table name 'PTCI_Chinese_Zhan_2024' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",80388,33,1267
PeSCBCSCe_Novak_2020_SCBCS,name_charset,warn,"table name 'PeSCBCSCe_Novak_2020_SCBCS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2860,5,572
PeSCBCSCe_Novak_2020_SPIRIT,name_charset,warn,"table name 'PeSCBCSCe_Novak_2020_SPIRIT' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2860,5,572
PrEPAdherence_Zissette_2021,imputed_values*,warn,Item 'q_m_005_all' has one resp value accounting for 69% of responses — possible mean imputation.,18988,99,193
PrEPAdherence_Zissette_2021,name_charset,warn,"table name 'PrEPAdherence_Zissette_2021' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",18988,99,193
QADT_Kleka_2023,dup_id_item,warn,10872 duplicate id+item rows (longitudinal column ['wave'] present — likely ok),16308,12,453
QADT_Kleka_2023,imputed_values*,warn,Item 'ZR_11' has one resp value accounting for 69% of responses — possible mean imputation.,16308,12,453
QADT_Kleka_2023,name_charset,warn,"table name 'QADT_Kleka_2023' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",16308,12,453
QADT_Kleka_2023,column_order,warn,"columns start ['id', 'wave', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",16308,12,453
QCDQES_Oliveira_2022,resp_na,warn,resp has 13 NAs,28841,42,687
QCDQES_Oliveira_2022,imputed_values*,warn,Item 'OCDQ35' has one resp value accounting for 75% of responses — possible mean imputation.,28841,42,687
QCDQES_Oliveira_2022,name_charset,warn,"table name 'QCDQES_Oliveira_2022' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",28841,42,687
QaSLU_Prado_2024,imputed_values*,warn,Item 'Item12' has one resp value accounting for 66% of responses — possible mean imputation.,5310,45,118
QaSLU_Prado_2024,name_charset,warn,"table name 'QaSLU_Prado_2024' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",5310,45,118
QaSLu_lopez_2024,imputed_values*,warn,Item 'Item12' has one resp value accounting for 66% of responses — possible mean imputation.,5310,45,118
QaSLu_lopez_2024,name_charset,warn,"table name 'QaSLu_lopez_2024' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",5310,45,118
RD_EppSCQRK_Kipkemoi_2024_scq,dup_id_item,error,1000 duplicate id+item rows with no wave/timepoint/date column,10720,40,243
RD_EppSCQRK_Kipkemoi_2024_scq,imputed_values*,warn,Item 'scq1' has one resp value accounting for 82% of responses — possible mean imputation.,10720,40,243
RD_EppSCQRK_Kipkemoi_2024_scq,name_charset,warn,"table name 'RD_EppSCQRK_Kipkemoi_2024_scq' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",10720,40,243
RD_PPCSEDSOF_Afable_2023,imputed_values*,warn,Item 'P1SD1_01' has one resp value accounting for 63% of responses — possible mean imputation.,57299,11,5209
RD_PPCSEDSOF_Afable_2023,name_charset,warn,"table name 'RD_PPCSEDSOF_Afable_2023' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",57299,11,5209
RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS,resp_na,warn,resp has 66 NAs,10684,10,1075
RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS,imputed_values*,warn,Item 'DOS_7' has one resp value accounting for 69% of responses — possible mean imputation.,10684,10,1075
RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS,name_charset,warn,"table name 'RD_PpCvDOS_PadcOnaCns_Jinbo_2019_DOS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",10684,10,1075
RD_PpSL7as_Ghasemy_2024_SL,imputed_values*,warn,Item 'SL3_T1' has one resp value accounting for 63% of responses — possible mean imputation.,2468,4,617
RD_PpSL7as_Ghasemy_2024_SL,name_charset,warn,"table name 'RD_PpSL7as_Ghasemy_2024_SL' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2468,4,617
RDatasets_gssabortion,resp_na,warn,resp has 152355 NAs,301343,7,45599
RDatasets_gssabortion,imputed_values*,warn,Item 'abdefect' has one resp value accounting for 80% of responses — possible mean imputation.,301343,7,45599
RDatasets_gssabortion,name_charset,warn,"table name 'RDatasets_gssabortion' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",301343,7,45599
RDatasets_gssabortion,column_order,warn,"columns start ['id', 'year', 'sex']; datastandard.md step 7 writes [id, item, resp] + covariates.",301343,7,45599
RLMS_MLCIRTwithin,resp_na,warn,resp has 117 NAs,5823,4,1474
RLMS_MLCIRTwithin,name_charset,warn,"table name 'RLMS_MLCIRTwithin' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",5823,4,1474
Resistance,imputed_values*,warn,Item 'AF_budget' has one resp value accounting for 60% of responses — possible mean imputation.,7084,14,506
Resistance,multi_scale*,warn,"Item names suggest 2 subscales (['rc', 'af']) — IRW requires separate tables per construct.",7084,14,506
Resistance,name_charset,warn,"table name 'Resistance' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",7084,14,506
Resistance,column_order,warn,"columns start ['id', 'group', 'item']; datastandard.md step 7 writes [id, item, resp] + covariates.",7084,14,506
Rosenberg_fadplus_goto2021,name_charset,warn,"table name 'Rosenberg_fadplus_goto2021' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",8020,10,802
Rosenberg_fadplus_goto2021,column_order,warn,"columns start ['id', 'age', 'gender']; datastandard.md step 7 writes [id, item, resp] + covariates.",8020,10,802
RvKDCS_Romiacg_Miroshnik_2020_BFI,name_charset,warn,"table name 'RvKDCS_Romiacg_Miroshnik_2020_BFI' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",60660,60,1011
RvKDCS_Romiacg_Miroshnik_2020_CBI,imputed_values*,warn,Item 'CBI-10' has one resp value accounting for 82% of responses — possible mean imputation.,11121,11,1011
RvKDCS_Romiacg_Miroshnik_2020_CBI,name_charset,warn,"table name 'RvKDCS_Romiacg_Miroshnik_2020_CBI' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",11121,11,1011
RvKDCS_Romiacg_Miroshnik_2020_KDOCS,name_charset,warn,"table name 'RvKDCS_Romiacg_Miroshnik_2020_KDOCS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",50550,50,1011
SABFI2_Gallardo_Pujol_2018_BFI,imputed_values*,warn,Item 'BFI19' has one resp value accounting for 61% of responses — possible mean imputation.,85140,60,1419
SABFI2_Gallardo_Pujol_2018_BFI,name_charset,warn,"table name 'SABFI2_Gallardo_Pujol_2018_BFI' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",85140,60,1419
SABFI2_Gallardo_Pujol_2018_Constru,name_charset,warn,"table name 'SABFI2_Gallardo_Pujol_2018_Constru' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",5447,13,419
SABFI2_Gallardo_Pujol_2018_Honest,name_charset,warn,"table name 'SABFI2_Gallardo_Pujol_2018_Honest' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",4190,10,419
SABFI2_Gallardo_Pujol_2018_IntHapp,imputed_values*,warn,Item 'IntHapp1' has one resp value accounting for 63% of responses — possible mean imputation.,3771,9,419
SABFI2_Gallardo_Pujol_2018_IntHapp,name_charset,warn,"table name 'SABFI2_Gallardo_Pujol_2018_IntHapp' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",3771,9,419
SABFI2_Gallardo_Pujol_2018_LOT,name_charset,warn,"table name 'SABFI2_Gallardo_Pujol_2018_LOT' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2514,6,419
SABFI2_Gallardo_Pujol_2018_Micro,name_charset,warn,"table name 'SABFI2_Gallardo_Pujol_2018_Micro' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2514,6,419
SABFI2_Gallardo_Pujol_2018_Narq,name_charset,warn,"table name 'SABFI2_Gallardo_Pujol_2018_Narq' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2514,6,419
SABFI2_Gallardo_Pujol_2018_ReligionScale,resp_na,warn,resp has 100 NAs,7023,17,419
SABFI2_Gallardo_Pujol_2018_ReligionScale,name_charset,warn,"table name 'SABFI2_Gallardo_Pujol_2018_ReligionScale' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",7023,17,419
SABFI2_Gallardo_Pujol_2018_SWB,name_charset,warn,"table name 'SABFI2_Gallardo_Pujol_2018_SWB' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",1676,4,419
SABFI2_Gallardo_Pujol_2018_Tight,name_charset,warn,"table name 'SABFI2_Gallardo_Pujol_2018_Tight' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2514,6,419
SABFI2_Gallardo_Pujol_2018_Trust,name_charset,warn,"table name 'SABFI2_Gallardo_Pujol_2018_Trust' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2095,5,419
SAS_Deters_2022,resp_na,warn,resp has 189 NAs,134635,19,1526
SAS_Deters_2022,dup_id_item,error,105830 duplicate id+item rows with no wave/timepoint/date column,134635,19,1526
SAS_Deters_2022,imputed_values*,warn,Item 'samb01' has one resp value accounting for 82% of responses — possible mean imputation.,134635,19,1526
SAS_Deters_2022,name_charset,warn,"table name 'SAS_Deters_2022' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",134635,19,1526
SBD_Smith_2020,resp_na,warn,resp has 23 NAs,6621,22,302
SBD_Smith_2020,name_charset,warn,"table name 'SBD_Smith_2020' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",6621,22,302
SCS_Lopez_2015,name_charset,warn,"table name 'SCS_Lopez_2015' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",39432,24,1643
SCS_Suh_2023_BFNE,name_charset,warn,"table name 'SCS_Suh_2023_BFNE' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",7288,12,612
SCS_Suh_2023_SCS,resp_na,warn,resp has 39 NAs,20391,30,680
SCS_Suh_2023_SCS,name_charset,warn,"table name 'SCS_Suh_2023_SCS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",20391,30,680
SCS_Suh_2023_SIAPS,resp_na,warn,resp has 130 NAs,4202,12,358
SCS_Suh_2023_SIAPS,name_charset,warn,"table name 'SCS_Suh_2023_SIAPS' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",4202,12,358
SF12_MLCIRTwithin,resp_na,warn,resp has 379 NAs,7061,12,618
SF12_MLCIRTwithin,name_charset,warn,"table name 'SF12_MLCIRTwithin' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",7061,12,618
SPQVS_Barnby_2017_DSE,imputed_values*,warn,Item 'DSE1' has one resp value accounting for 62% of responses — possible mean imputation.,2865,15,191
SPQVS_Barnby_2017_DSE,name_charset,warn,"table name 'SPQVS_Barnby_2017_DSE' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",2865,15,191
SPQVS_Barnby_2017_OEQ,imputed_values*,warn,Item 'OEQ1' has one resp value accounting for 81% of responses — possible mean imputation.,1146,6,191
SPQVS_Barnby_2017_OEQ,name_charset,warn,"table name 'SPQVS_Barnby_2017_OEQ' is not lowercase [a-z0-9_.] -- Redivis keeps the case but every client lowercases when joining, so a capitalised name silently drops out of case-sensitive joins.",1146,6,191
SPQVS_Barnby_2017_OLIFE,imputed_values*,warn,Item 'OLIFE1' has one resp value accounting for 61% of responses — possible mean imputation.,8022,42,191
