source,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files
plos,10.1371/journal.pone.0030016,Mood Induction in Depressive Patients: A Comparative Multidimensional Approach,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0030016,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0339365,"Reliability, validity, and correlates of an AI voice emotion recognition app among nurses",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0339365,cc-by,download_failed,"Excel file format cannot be determined, you must specify an engine manually.",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0339365_S1_File.xls,,,,,
plos,10.1371/journal.pone.0310272,Translation and validation of the Arabic version of Mindful Attention Awareness Scale (MAAS) among the Lebanese population,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0310272,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript and its  Supporting Information  files.,,,,,,,
plos,10.1371/journal.pone.0187009,The Inventory of Depressive Symptomatology Self Report (IDS-SR): Psychometric properties of the Indonesian version,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0187009,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://doi.org/10.7910/DVN/7ZGONU,The anonymized dataset is publicly available in the Dataverse online repository (doi: 10.7910/DVN/7ZGONU ).,https://doi.org/10.7910/DVN/7ZGONU,,,,,,
plos,10.1371/journal.pone.0171288,Measuring the frequency of emotions—validation of the Scale of Positive and Negative Experience (SPANE) in Germany,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0171288,cc-by,human_assistance,QC failed on: dup_id_item | QC warnings to review: resp_direction* | SI caption: SPANE German Validation.   https://doi.org/10.1371/journal.p,All relevant data can be found within the paper and its Supporting Information files.,,journal.pone.0171288_S1_Dataset.sav,1329,261,3,1.6973,1
plos,10.1371/journal.pone.0038115,Real-Time Self-Regulation of Emotion Networks in Patients with Depression,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0038115,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0055162,Differential Psychological Impact of Internet Exposure on Internet Addicts,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0055162,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0316047,Effects of music advertised to support focus on mood and processing speed,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316047,cc-by,not_item_response,"Does NOT look like item-response data — not a candidate for IRW. | 97% of responses are unique (real items reuse a small scale; this looks like a results table) | 94% of resp values are non-integer — ordinal item responses are almost always integer-valued | SI caption: Table with the track names and artists, set arrangements, an",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0316047_S1_Table.xlsx,1297,37,22,1.5934,2
plos,10.1371/journal.pone.0245938,"Psychological outcomes, knowledge and preferences of pregnant women on first-trimester screening for fetal structural abnormalities: A prospective cohort study",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0245938,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://doi.org/10.34894/HDRQJA,The data underlying this study are available on DataverseNL (DOI:  10.34894/HDRQJA ).,https://doi.org/10.34894/HDRQJA,,,,,,
plos,10.1371/journal.pone.0164822,The Effectiveness of Daily Mindful Breathing Practices on Test Anxiety of Students,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0164822,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Data file.   https://doi.org/10.1371/journal.pone.0164822.s0",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0164822_S1_Data.sav,252,3,7,12.0,0
plos,10.1371/journal.pone.0195100,How social exclusion modulates social information processing: A behavioural dissociation between facial expressions and gaze direction,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0195100,cc-by,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Fixed effect'] | SI caption: Fixed effects included in the main analysis on Accuracy in E,"Data of both experiments are now completely available on the Open Science Framework (OSF) website. The direct link is  https://osf.io/4jk72/ , while the DOI is  10.17605/OSF.IO/4JK72 .",https://osf.io/4jk72/,journal.pone.0195100_S1_Table.xlsx,,,,,12
plos,10.1371/journal.pone.0204214,A French translation and validation of the Durand Adaptive Psychopathic Traits Questionnaire: An investigation with community samples from France and Canada,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0204214,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://osf.io/5pfgu/,All files are available from the OSF database (accession link  https://osf.io/5pfgu/ ).,https://osf.io/5pfgu/,,,,,,
plos,10.1371/journal.pone.0179638,Prediction of clinical depression scores and detection of changes in whole-brain using resting-state functional MRI data with partial least squares regression,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0179638,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The original data for this study is confidential due to the involvement of patient data. It can be obtained upon request to the Department of Psychiatry and Neurosciences, Hiroshima University, Japan (primary contact: Shigeto Yamawaki, PhD, MD,  yamawaki@hiroshima-u.ac.jp ). IRB imposing these restr",,,,,,,
plos,10.1371/journal.pone.0222386,Effects of the Best Possible Self intervention: A systematic review and meta-analysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222386,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://zenodo.org/record/3383680,The database is now in a public repository and can be found in the following link:  https://zenodo.org/record/3383680 .,https://zenodo.org/record/3383680,,,,,,
plos,10.1371/journal.pone.0122578,Keep Calm and Carry On: Improved Frustration Tolerance and Processing Speed by Transcranial Direct Current Stimulation (tDCS),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0122578,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Data underlying the findings.   https://doi.org/10.1371/jour",All relevant data are within the Supporting Information files.,,journal.pone.0122578_S1_Dataset.xls,1680,28,60,1.0,0
plos,10.1371/journal.pone.0336120,A study protocol for assessing the effects of intangible cultural heritage experiences on human well-being,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0336120,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"As this is a protocol paper, no datasets have been generated or analysed yet. All relevant data from this study will be made available upon study completion, as described in the INT-ACT project’s Data Management Plan. Anonymised study data will be accessible through The University of Edinburgh’s Dat",,,,,,,
plos,10.1371/journal.pone.0130704,"“Give, but Give until It Hurts”: The Modulatory Role of Trait Emotional Intelligence on the Motivation to Help",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0130704,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Raw data in csv format for Study 1.   https://doi.org/10.137",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0130704_S1_Dataset.csv,35654,63,570,0.9929,1
plos,10.1371/journal.pone.0277475,Psychopathic tendencies are selectively associated with reduced emotional awareness in the context of early adversity,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0277475,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Study data.    This file includes all data used for the anal",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0277475_S2_File.csv,3657,177,21,0.9839,0
plos,10.1371/journal.pone.0256983,Total sleep deprivation reduces top-down regulation of emotion without altering bottom-up affective processing,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0256983,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0256983.s001",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0256983_S1_File.csv,2853,282,8,1.2646,7
plos,10.1371/journal.pone.0229695,Psychometric characteristics and factorial structures of the Defensive Pessimism Questionnaire—Spanish Version (DPQ-SV),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0229695,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: http://dx.doi.org/10.17632/zvj6cz68sc.1,All relevant data are available at  https://data.mendeley.com/datasets/zvj6cz68sc/1  or  http://dx.doi.org/10.17632/zvj6cz68sc.1 .,http://dx.doi.org/10.17632/zvj6cz68sc.1,,,,,,
plos,10.1371/journal.pone.0143293,Sleep Disruption and Daytime Sleepiness Correlating with Disease Severity and Insulin Resistance in Non-Alcoholic Fatty Liver Disease: A Comparison with Healthy Controls,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0143293,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,The authors confirm that all data underlying the findings in the manuscript are available either in the manuscript itself or the Supplementary files.,,,,,,,
plos,10.1371/journal.pone.0154780,How Large Is the Role of Emotion in Judgments of Moral Dilemmas?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0154780,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://osf.io/dp4we/,Data are available at  https://osf.io/dp4we/ .,https://osf.io/dp4we/,,,,,,
plos,10.1371/journal.pone.0092162,Does Transcranial Direct Current Stimulation to Prefrontal Cortex Affect Mood and Emotional Memory Retrieval in Healthy Individuals?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0092162,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0061137,The Scale of Positive and Negative Experience (SPANE): Psychometric Properties and Normative Data in a Large Chinese Sample,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0061137,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0159915,The Discrete Emotions Questionnaire: A New Tool for Measuring State Self-Reported Emotions,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0159915,cc-by,not_item_response,"Does NOT look like item-response data — not a candidate for IRW. | id values are long text (avg 572 chars), not identifiers | SI caption: Data file for Study 1. Generate words following emotion-evok",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0159915_S1_Data.xlsx,1005,336,3,0.997,3
plos,10.1371/journal.pone.0015095,“I'm Worth More than That”: Trait Positivity Predicts Increased Rejection of Unfair Financial Offers,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0015095,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0257062,Subjective well-being and month-long LF/HF ratio among deskworkers,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0257062,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The ethics committee of Keio University Hospital has confirmed the following: Data cannot be shared publicly because we did not receive consent from them to share their data publicly. For researchers who meet the criteria for access to the data, the information is available upon request to the corre",,,,,,,
plos,10.1371/journal.pone.0290175,Excluded and myopic: Social exclusion increases temporal discounting,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0290175,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://osf.io/8eca5/,We have uploaded our data on OSF. The minimal anonymized dataset is available in the following repository:  https://osf.io/8eca5/ .,https://osf.io/8eca5/,,,,,,
plos,10.1371/journal.pone.0142721,Diurnal Emotional States Impact the Sleep Course,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0142721,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper.,,,,,,,
plos,10.1371/journal.pone.0201698,Positive and negative affect as predictors of social functioning in Spanish children,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0201698,cc-by,good,"Passed (no errors); 2 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values* | SI caption: Data set of affect and social functioning.   https://doi.org",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0201698_S1_Table.xlsx,1836,390,5,0.9415,0
plos,10.1371/journal.pone.0216232,"Mood configurations and their relationship to immune system responses: Exploring the relationship between moods, immune system responses, thyroid hormones, and social support",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0216232,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,Data are from Lifeline ( https://www.lifelines.nl/ ). Any researcher can subscribe to Lifelines and work on the dataset on which we are working. The results and findings can be replicated by other researchers if they follow our method section. We have not got any special access privileges from the L,,,,,,,
plos,10.1371/journal.pone.0147008,The Subjective Sensation of Synchrony: An Experimental Study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0147008,cc-by,good,"Passed (no errors); 2 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values* | SI caption: Dataset used for statistical models.   https://doi.org/10.13",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0147008_S1_Dataset.xlsx,60,10,6,1.0,0
plos,10.1371/journal.pone.0167448,Measuring Psychobiosocial States in Sport: Initial Validation of a Trait Measure,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0167448,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,Public sharing of data is restricted in order to preserve the confidentiality of the study participants. Data will be available upon request to interested researchers. Readers may contact Claudio Robazza ( c.robazza@unich.it ) to request the data.,,,,,,,
plos,10.1371/journal.pone.0305103,Effects of a digital self-efficacy training in stressed university students: A randomized controlled trial,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0305103,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://osf.io/ucqjk/?view_only=44948d16457b4d278baefe2f986ca940,Self-efficacy training instructions and EMA as well as complete data and codes have been made publicly available via OSF and can be accessed at  https://osf.io/ucqjk/?view_only=44948d16457b4d278baefe2f986ca940 .,https://osf.io/ucqjk/?view_only=44948d16457b4d278baefe2f986ca940,,,,,,
plos,10.1371/journal.pone.0170231,Exposure to Poverty and Productivity,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0170231,cc-by,download_failed,"Version of given Stata file is 42. pandas supports importing versions 102, 103, 104, 105, 108, 110 (Stata 7), 111 (Stata 7SE),  113 (Stata 8/9), 114 (Stata 10/11), 115 (Stata 12), 117 (Stata 13), 118 ",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0170231_S1_Dataset.dta,,,,,
plos,10.1371/journal.pone.0253945,Psychophysical predictors of experimental muscle pain intensity following fatiguing calf exercise,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0253945,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant individual data for main analyses are included within the paper and its  Supporting information  files. Age and sex data has been redacted in line with data protection and ethical regulations.,,,,,,,
plos,10.1371/journal.pone.0301422,Exploring the impact of autumn color and bare tree landscapes in virtual environments on human well-being and therapeutic effects across different sensory modalities,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0301422,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_direction*, imputed_values* | SI caption: Raw data of psychological indicators-PANAS: This file contai",All relevant data is contained in the manuscript and its  supporting information  file,,journal.pone.0301422_S1_File.xlsx,1400,3,40,11.6667,4
plos,10.1371/journal.pone.0015712,Individualized and Clinically Derived Stimuli Activate Limbic Structures in Depression: An fMRI Study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0015712,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0052582,Winning Isn't Everything: Mood and Testosterone Regulate the Cortisol Response in Competition,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0052582,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0111933,Embodying Compassion: A Virtual Reality Paradigm for Overcoming Excessive Self-Criticism,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0111933,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,The authors confirm that all data underlying the findings are fully available without restriction. All relevant data are within the paper and its Supporting Information files.,,,,,,,
plos,10.1371/journal.pone.0148916,The Effect of Intra- and Intergenerational Caregiving on Subjective Well-Being – Evidence of a Population Based Longitudinal Study among Older Adults in Germany,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0148916,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The anonymised data sets of the DEAS (1996, 2002, 2008, and 2011) are available for secondary analysis. The data has been made available to scientists at universities and research institutes exclusively for scientific purposes. The use of data is subject to written data protection agreements. Microd",,,,,,,
plos,10.1371/journal.pone.0260465,Effects of physical activity and exercise on well-being in the context of the Covid-19 pandemic,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0260465,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0260465.s001",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0260465_S1_Data.xlsx,28329,50,57,9.94,0
plos,10.1371/journal.pone.0211779,The effect of cycling on cognitive function and well-being in older adults,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0211779,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Supporting information.    Data File 
  https://doi.org/10.1",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0211779_S2_File.xlsx,14297,100,143,0.9998,0
plos,10.1371/journal.pone.0278444,Anxiety state impact on recovery of runners with lower extremity injuries,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0278444,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: This is the study data file.    This file contains all the d",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0278444_S1_Appendix.xls,2872,41,72,0.9729,0
plos,10.1371/journal.pone.0303824,The impact of oxytocin on emotion recognition and trust: Does disordered eating moderate these relationships?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0303824,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,The minimal data set for this study is not publicly available due to restrictions posed in the ethics approval. The authors are ethically and legally restricted from sharing the data set because it contains sensitive participant information. The minimal data set that supports the findings of this st,,,,,,,
plos,10.1371/journal.pone.0129672,The Power of an Infant's Smile: Maternal Physiological Responses to Infant Emotional Expressions,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0129672,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper and its Supporting Information files.,,,,,,,
plos,10.1371/journal.pone.0256211,Emotional arousal in 2D versus 3D virtual reality environments,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0256211,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript and its  Supporting Information  files.,,,,,,,
plos,10.1371/journal.pone.0327843,Randomised trial reveals a mismatch between preferences for and hormonal responses to anthropogenic light colour temperatures,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0327843,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://www.doi.org/10.16904/envidat.665,"The anonymised data is available on the EnviDat data portal, DOI:  https://www.doi.org/10.16904/envidat.665 .",https://www.doi.org/10.16904/envidat.665,,,,,,
plos,10.1371/journal.pone.0196907,Negative mood and mind wandering increase long-range temporal correlations in attention fluctuations,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0196907,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://doi.org/10.6084/m9.figshare.6027011,Data are available via Figshare:  https://doi.org/10.6084/m9.figshare.6027011 .,https://doi.org/10.6084/m9.figshare.6027011,,,,,,
plos,10.1371/journal.pone.0033950,Adapting to the Destitute Situations: Poverty Cues Lead to Short-Term Choice,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0033950,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0044412,Affective and Neural Reactivity to Criticism in Individuals High and Low on Perceived Criticism,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0044412,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0332559,Validation of the Arabic Levels of Emotional Awareness Scale (LEAS-Arb),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0332559,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"Because our data set includes open responses to questions with the potential of including sensitive and private information, through which participants may identify themselves or others based on the responses, we are not able to upload the data set to a repository. The data set is available to any r",,,,,,,
plos,10.1371/journal.pone.0113191,Emotional Processing of Infants Displays in Eating Disorders,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0113191,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"The authors confirm that, for approved reasons, some access restrictions apply to the data underlying the findings. Data are only available upon request. Requests should be sent to:  valentina.cardi@kcl.ac.uk .",,,,,,,
plos,10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307934,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript and its  Supporting information  files.,,,,,,,
plos,10.1371/journal.pone.0268460,Effect of affective feedback and competitiveness on performance and the psychological experience of exercise within a virtual reality environment,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0268460,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"Due to ethical restrictions by Griffith University, Gold Coast, the data underlying this study cannot be made publicly available. The data are, however, available upon request to interested and qualified researchers who meet the criteria for access to confidential data. Data access requests may be s",,,,,,,
plos,10.1371/journal.pone.0178480,Differential physiological changes following internet exposure in higher and lower problematic internet users,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0178480,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"Data sharing is restricted by the Swansea University Psychology Department Ethics Committee, because any data that includes personal data, including psychological assessments, cannot be made freely available. Data inquiries may be directed to Ms. Eleanor Gregory (Administrator;  e.k.gregory@swansea.",,,,,,,
plos,10.1371/journal.pone.0210639,Disgust assessment: Factorial structure and psychometric properties of the French version of the Disgust Propension and Sensibility Scale Revised-12,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210639,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Complete raw data can be found on COMPLETE DATA DPSSf.   htt",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0210639_S1_Data.xlsx,50717,281,187,0.9652,0
plos,10.1371/journal.pone.0232813,Effects of hunger on mood and affect reactivity to monetary reward in women with obesity – A pilot study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0232813,cc0,no_usable_file,no tabular-format Supporting Information file on article page,Data cannot be shared publicly because of confidentiality agreements. Data are available from the Zurich University Hospital Institutional Data Access / Ethics Committee (contact via  ethik@usz.ch ) for researchers who meet the criteria for access to confidential data.,,,,,,,
plos,10.1371/journal.pone.0171375,Transient emotional events and individual affective traits affect emotion recognition in a perceptual decision-making task,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0171375,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,"Data cannot be made publicly available due to ethical restrictions. Data can be made available upon request to Pr Bernard Hirschel at Geneva CCER (commission cantonale d’éthique de la recherche;  ccer@etat.ge.ch ; ref: 09-316). For additional information about the underlying data, please contact the",,,,,,,
plos,10.1371/journal.pone.0100318,Gender Differences in Emotional Responses to Cooperative and Competitive Game Play,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0100318,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0250099,Social dominance and multiple dimensions of psychopathology: An experimental test of reactivity to leadership and subordinate roles,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0250099,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,Our de-identified full dataset is available on the Open Science Framework database ( osf.io/2dufj/ ).,,,,,,,
plos,10.1371/journal.pone.0062219,tDCS over the Left Prefrontal Cortex Enhances Cognitive Control for Positive Affective Stimuli,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062219,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0091285,"Mind Wandering, Sleep Quality, Affect and Chronotype: An Exploratory Study",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091285,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0308981,Adaptation of unified protocol treatment for transdiagnostic disorders in Pakistan: A heuristic framework,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0308981,cc0,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the manuscript and its  Supporting Information  files.,,,,,,,
plos,10.1371/journal.pone.0287367,Content framing role on public sentiment formation for pre-crisis detection on sensitive issue via sentiment analysis and content analysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0287367,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are within the paper.,,,,,,,
plos,10.1371/journal.pone.0078503,Anger under Control: Neural Correlates of Frustration as a Function of Trait Aggression,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0078503,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0338742,Core components of emotional impulsivity: A mouse-cursor tracking study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0338742,cc-by,no_usable_file,no tabular-format Supporting Information file on article page; Data Availability points elsewhere: https://osf.io/wgu6p/,The data underlying the results presented in the study are available from  https://osf.io/wgu6p/ .,https://osf.io/wgu6p/,,,,,,
plos,10.1371/journal.pone.0088482,"Effect of Seated Trunk Posture on Eye Blink Startle and Subjective Experience: Comparing Flexion, Neutral Upright Posture, and Extension of Spine",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0088482,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0005180,Effects of Naltrexone on Pain Sensitivity and Mood in Fibromyalgia: No Evidence for Endogenous Opioid Pathophysiology,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0005180,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0151747,Activating attachments enhances heart rate variability,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0151747,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0151747.s001",All relevant data are within the paper and its Supporting Information file.,,journal.pone.0151747_S1_Data.sav,5280,60,88,1.0,0
plos,10.1371/journal.pone.0062661,Psychophysiological Response Patterns to Affective Film Stimuli,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062661,unknown,no_usable_file,no tabular-format Supporting Information file on article page,,,,,,,,
plos,10.1371/journal.pone.0115748,Unraveling the Relationship between Trait Negative Affectivity and Habitual Symptom Reporting,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0115748,cc-by,no_usable_file,no tabular-format Supporting Information file on article page,All relevant data are included in the Supporting Information files.,,,,,,,
