"term","hits","relevant","with_suppl","new","journals","run_2026_09_25"
"populism","55","8","3","1","Sci Rep",""
"political trust","500","52","18","1","Sci Rep",""
"sexism","363","42","18","1","Sci Rep",""
"modern racism","140","19","4","1","Sci Rep",""
"media literacy","500","131","47","1","Sci Rep",""
"conspiracy mentality","47","6","4","1","Sci Rep",""
"study strategies","500","154","36","1","Behav Sci (Basel)",""
"test anxiety","500","225","63","1","Behav Sci (Basel)",""
"spatial reasoning","500","94","24","1","Sci Rep",""
"creative thinking","500","153","32","1","Sci Rep",""
"career adaptability","500","139","25","1","Sci Rep",""
"vocational identity","500","94","34","1","BMC Public Health",""
"reading motivation","500","179","56","1","Behav Sci (Basel)",""
"oral language","599","115","38","1","Sci Rep",""
"text comprehension","500","125","39","1","Heliyon",""
"second language acquisition","500","158","39","1","Behav Sci (Basel)",""
"L2 reading","500","97","32","1","Sci Rep",""
"mathematics self-concept","500","94","24","1","Behav Sci (Basel)",""
"hallucination proneness","15","6","4","1","Sci Rep",""
"psychosis risk","500","92","46","1","Sci Rep",""
"prolonged grief disorder","135","29","9","1","Sci Rep",""
"novelty seeking","500","98","36","1","Sci Rep",""
"cognitive style","500","158","44","1","Sci Rep",""
"humor styles","157","39","10","1","Behav Sci (Basel)",""
"hedonic wellbeing","177","77","33","1","Sci Rep",""
"gratitude","500","77","26","1","Behav Sci (Basel)",""
"affect regulation","500","177","38","1","Behav Sci (Basel)",""
"nationalism","128","9","3","1","Sci Rep",""
"patriotism","92","10","3","1","Sci Rep",""
"just world belief","500","60","19","1","BMC Public Health",""
"belief in science","500","100","30","1","Behav Sci (Basel)",""
"scientific reasoning","500","98","29","1","Heliyon",""
"fake news discernment","33","4","3","1","Sci Rep",""
"helicopter parenting","21","10","6","1","Sci Rep",""
"overprotective parenting","66","14","4","1","BMC Public Health",""
"sibling relationship","500","63","31","1","BMC Public Health",""
"divorce adjustment","418","49","17","1","BMC Public Health",""
"communication satisfaction","500","116","36","1","PeerJ",""
"academic identity","500","119","25","1","Behav Sci (Basel)",""
"belonging","500","119","31","1","BMC Public Health",""
"academic cheating","254","45","12","1","Sci Rep",""
"inquiry-based learning","500","110","29","1","Heliyon",""
"peer learning","500","130","33","1","Behav Sci (Basel)",""
"pornography use","229","21","8","1","Sci Rep",""
"problematic pornography use","69","12","4","1","Sci Rep",""
"digital wellbeing","500","123","48","1","Behav Sci (Basel)",""
"technoference","21","6","3","1","BMC Public Health",""
"emotional labor","500","129","39","1","Heliyon",""
"perceived organizational support","500","135","33","1","Behav Sci (Basel)",""
"job resources","500","158","41","1","Heliyon",""
"voice behavior","500","106","30","1","Behav Sci (Basel)",""
"ethical leadership","500","97","29","1","Behav Sci (Basel)",""
"exercise identity","500","98","31","1","Behav Sci (Basel)",""
"coaching efficacy","500","93","31","1","Sci Rep",""
"executive function development","500","212","83","1","Behav Sci (Basel)",""
"attachment security","500","94","25","1","Behav Sci (Basel)",""
"infant attachment","500","53","21","1","Sci Rep",""
"peer rejection","500","111","35","1","Behav Sci (Basel)",""
"theory of mind development","500","135","43","1","Behav Sci (Basel)",""
"work meaning","500","158","44","1","Behav Sci (Basel)",""
"meaningful work","500","175","47","1","Behav Sci (Basel)",""
"STEM career interest","500","123","31","1","Sci Rep",""
"standardized testing","500","177","45","1","Behav Sci (Basel)",""
"high-stakes testing","500","123","35","1","Sci Rep",""
"GAD-7","500","144","82","1","BMC Public Health",""
"trolley problem","137","6","3","1","Sci Rep",""
"fairness judgments","500","71","25","1","Sci Rep",""
"calidad de vida","20","3","2","1","BMC Public Health",""
"milieu-attitudes","256","34","17","1","Sci Rep",""
"teacher self-efficacy","500","181","46","1","Behav Sci (Basel)",""
"somatisation","80","10","3","1","Sci Rep",""
"workaholism","44","21","11","1","Heliyon",""
"job insecurity","500","94","33","1","BMC Public Health",""
"moral disengagement","291","72","24","1","Behav Sci (Basel)",""
"religious coping","500","84","34","1","Heliyon",""
"gender role attitudes","500","108","32","1","Sci Rep",""
"financial anxiety","500","134","54","1","Behav Sci (Basel)",""
"workplace incivility","93","26","5","1","Heliyon",""
"authentic leadership","486","83","22","1","Sci Rep",""
"medical mistrust","500","44","21","1","BMC Public Health",""
"workplace ostracism","78","24","3","1","Heliyon",""
"emotional Stroop","461","186","89","1","Sci Rep",""
"AX-CPT","34","12","4","1","Sci Rep",""
"bounded response scales","500","36","9","1","Sci Rep",""
"rating sliders","45","6","3","1","Sci Rep",""
"dynamic rating scales","500","104","35","1","Sci Rep",""
"feeling thermometer","126","13","4","1","Sci Rep",""
"continuous measurement response design","500","111","30","1","Behav Sci (Basel)",""
"granular measurement","500","53","25","1","Sci Rep",""
"continuous versus categorical response scales","500","73","43","1","Sci Rep",""
"measurement precision rating scales","500","108","49","1","Sci Rep",""
"go/no-go","500","149","39","1","Behav Sci (Basel)",""
"test de connaissances","6","1","1","1","Sci Rep",""
"school exam","500","125","34","1","Sci Rep",""
"risk taking propensity","500","61","26","1","Behav Sci (Basel)",""
"domain specific risk taking","500","97","47","1","Behav Sci (Basel)",""
"mathematics anxiety","500","158","55","1","Behav Sci (Basel)",""
"foreign language anxiety","500","147","50","1","BMC Public Health",""
"computer self-efficacy","500","113","32","1","Behav Sci (Basel)",""
"attitudes toward statistics","500","114","37","1","Behav Sci (Basel)",""
"attitudes toward science","500","100","30","1","Behav Sci (Basel)",""
"chronic pain acceptance","500","89","43","1","Sci Rep",""
"mindfulness attention awareness","500","167","61","1","Behav Sci (Basel)",""
"difficulties in emotion regulation","500","169","50","1","Behav Sci (Basel)",""
"utrecht work engagement","300","60","22","1","Behav Sci (Basel)",""
"matrix reasoning","500","122","43","1","J Intell",""
