table,DOI__for_paper_,Reference_x,URL__for_data_,Derived_License,Description,BibTex
pavic_2022_science_literacy,10.1371/journal.pone.0264722,"Pavic, Z., & Suljok, A. (2022). Vaccination conspiracy beliefs among social science & humanities and STEM educated people—An analysis of the mediation paths. PLOS ONE. https://doi.org/10.1371/journal.pone.0264722",https://doi.org/10.1371/journal.pone.0264722,CC BY 4.0,"Science literacy scale (Oxford/Eurobarometer-derived), 15 items, binary correct/incorrect"," @article{Pavi__2022, title={Vaccination conspiracy beliefs among social science &amp; humanities and STEM educated people—An analysis of the mediation paths}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0264722}, DOI={10.1371/journal.pone.0264722}, number={3}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Pavić, Željko and Šuljok, Adrijana}, editor={Frisson, Steven}, year={2022}, month=Mar, pages={e0264722} }
"
pavic_2022_healthcare_trust,10.1371/journal.pone.0264722,"Pavic, Z., & Suljok, A. (2022). Vaccination conspiracy beliefs among social science & humanities and STEM educated people—An analysis of the mediation paths. PLOS ONE. https://doi.org/10.1371/journal.pone.0264722",https://doi.org/10.1371/journal.pone.0264722,CC BY 4.0,"Trust in Healthcare System scale (Shea et al., Croatian-adapted), 8 items"," @article{Pavi__2022, title={Vaccination conspiracy beliefs among social science &amp; humanities and STEM educated people—An analysis of the mediation paths}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0264722}, DOI={10.1371/journal.pone.0264722}, number={3}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Pavić, Željko and Šuljok, Adrijana}, editor={Frisson, Steven}, year={2022}, month=Mar, pages={e0264722} }
"
pavic_2022_vaccine_conspiracy,10.1371/journal.pone.0264722,"Pavic, Z., & Suljok, A. (2022). Vaccination conspiracy beliefs among social science & humanities and STEM educated people—An analysis of the mediation paths. PLOS ONE. https://doi.org/10.1371/journal.pone.0264722",https://doi.org/10.1371/journal.pone.0264722,CC BY 4.0,"Vaccination conspiracy beliefs scale (Shapiro et al.), 7 items"," @article{Pavi__2022, title={Vaccination conspiracy beliefs among social science &amp; humanities and STEM educated people—An analysis of the mediation paths}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0264722}, DOI={10.1371/journal.pone.0264722}, number={3}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Pavić, Željko and Šuljok, Adrijana}, editor={Frisson, Steven}, year={2022}, month=Mar, pages={e0264722} }
"
contreras_valdez_2022_edeq,10.1371/journal.pone.0266507,"Contreras-Valdez JA, Freyre M-Á, Mendoza-Flores E (2022). The eating disorder examination questionnaire for adults from the Mexican general population: Reliability and validity. PLOS ONE, 17(4), e0266507. https://doi.org/10.1371/journal.pone.0266507",https://doi.org/10.1371/journal.pone.0266507.s001,CC BY 4.0,"Eating Disorder Examination Questionnaire (EDE-Q, 28 items), Mexican general population, N=2090 (2 studies pooled)"," @article{Contreras_Valdez_2022, title={The eating disorder examination questionnaire for adults from the Mexican general population: Reliability and validity}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0266507}, DOI={10.1371/journal.pone.0266507}, number={4}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Contreras-Valdez, José Alfredo and Freyre, Miguel-Ángel and Mendoza-Flores, Eleazar}, editor={Gremigni, Paola}, year={2022}, month=Apr, pages={e0266507} }
"
contreras_valdez_2022_bsq,10.1371/journal.pone.0266507,"Contreras-Valdez JA, Freyre M-Á, Mendoza-Flores E (2022). The eating disorder examination questionnaire for adults from the Mexican general population: Reliability and validity. PLOS ONE, 17(4), e0266507. https://doi.org/10.1371/journal.pone.0266507",https://doi.org/10.1371/journal.pone.0266507.s001,CC BY 4.0,"Body Shape Questionnaire (BSQ, 16 items), Mexican general population, N=1117 (Study 1 only -- not administered in Study 2)"," @article{Contreras_Valdez_2022, title={The eating disorder examination questionnaire for adults from the Mexican general population: Reliability and validity}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0266507}, DOI={10.1371/journal.pone.0266507}, number={4}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Contreras-Valdez, José Alfredo and Freyre, Miguel-Ángel and Mendoza-Flores, Eleazar}, editor={Gremigni, Paola}, year={2022}, month=Apr, pages={e0266507} }
"
contreras_valdez_2022_rses,10.1371/journal.pone.0266507,"Contreras-Valdez JA, Freyre M-Á, Mendoza-Flores E (2022). The eating disorder examination questionnaire for adults from the Mexican general population: Reliability and validity. PLOS ONE, 17(4), e0266507. https://doi.org/10.1371/journal.pone.0266507",https://doi.org/10.1371/journal.pone.0266507.s001,CC BY 4.0,"Rosenberg Self-Esteem Scale (RSES, 10 items), Mexican general population, N=973 (Study 2 only -- not administered in Study 1)"," @article{Contreras_Valdez_2022, title={The eating disorder examination questionnaire for adults from the Mexican general population: Reliability and validity}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0266507}, DOI={10.1371/journal.pone.0266507}, number={4}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Contreras-Valdez, José Alfredo and Freyre, Miguel-Ángel and Mendoza-Flores, Eleazar}, editor={Gremigni, Paola}, year={2022}, month=Apr, pages={e0266507} }
"
dopmeijer_2022_ubos,10.1371/journal.pone.0267175,"Dopmeijer JM, Schutgens CAE, Kappe FR, Gubbels N, Visscher TLS, Jongen EMM, Bovens RHLM, de Jonge JM, Bos AER, Wiers RW (2022). The role of performance pressure, loneliness and sense of belonging in predicting burnout symptoms in students in higher education. PLOS ONE, 17(12), e0267175. https://doi.org/10.1371/journal.pone.0267175",https://doi.org/10.1371/journal.pone.0267175.s001,CC BY 4.0,"Utrecht Burnout Scale - Student version (UBOS-A, 15 items), Dutch higher-education students, N=3141"," @article{Dopmeijer_2022, title={The role of performance pressure, loneliness and sense of belonging in predicting burnout symptoms in students in higher education}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0267175}, DOI={10.1371/journal.pone.0267175}, number={12}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Dopmeijer, Jolien M. and Schutgens, Christine A. E. and Kappe, F. Rutger and Gubbels, Nikkie and Visscher, Tommy L. S. and Jongen, Ellen M. M. and Bovens, Rob H. L. M. and de Jonge, Jannet M. and Bos, Arjan E. R. and Wiers, Reinout W.}, editor={Useche, Sergio A.}, year={2022}, month=Dec, pages={e0267175} }
"
dopmeijer_2022_loneliness,10.1371/journal.pone.0267175,"Dopmeijer JM, Schutgens CAE, Kappe FR, Gubbels N, Visscher TLS, Jongen EMM, Bovens RHLM, de Jonge JM, Bos AER, Wiers RW (2022). The role of performance pressure, loneliness and sense of belonging in predicting burnout symptoms in students in higher education. PLOS ONE, 17(12), e0267175. https://doi.org/10.1371/journal.pone.0267175",https://doi.org/10.1371/journal.pone.0267175.s001,CC BY 4.0,"De Jong Gierveld Loneliness Scale (11 items), Dutch higher-education students, N=3141"," @article{Dopmeijer_2022, title={The role of performance pressure, loneliness and sense of belonging in predicting burnout symptoms in students in higher education}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0267175}, DOI={10.1371/journal.pone.0267175}, number={12}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Dopmeijer, Jolien M. and Schutgens, Christine A. E. and Kappe, F. Rutger and Gubbels, Nikkie and Visscher, Tommy L. S. and Jongen, Ellen M. M. and Bovens, Rob H. L. M. and de Jonge, Jannet M. and Bos, Arjan E. R. and Wiers, Reinout W.}, editor={Useche, Sergio A.}, year={2022}, month=Dec, pages={e0267175} }
"
dopmeijer_2022_performance_pressure,10.1371/journal.pone.0267175,"Dopmeijer JM, Schutgens CAE, Kappe FR, Gubbels N, Visscher TLS, Jongen EMM, Bovens RHLM, de Jonge JM, Bos AER, Wiers RW (2022). The role of performance pressure, loneliness and sense of belonging in predicting burnout symptoms in students in higher education. PLOS ONE, 17(12), e0267175. https://doi.org/10.1371/journal.pone.0267175",https://doi.org/10.1371/journal.pone.0267175.s001,CC BY 4.0,"Performance Pressure scale (12 items), Dutch higher-education students, N=3141"," @article{Dopmeijer_2022, title={The role of performance pressure, loneliness and sense of belonging in predicting burnout symptoms in students in higher education}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0267175}, DOI={10.1371/journal.pone.0267175}, number={12}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Dopmeijer, Jolien M. and Schutgens, Christine A. E. and Kappe, F. Rutger and Gubbels, Nikkie and Visscher, Tommy L. S. and Jongen, Ellen M. M. and Bovens, Rob H. L. M. and de Jonge, Jannet M. and Bos, Arjan E. R. and Wiers, Reinout W.}, editor={Useche, Sergio A.}, year={2022}, month=Dec, pages={e0267175} }
"
dopmeijer_2022_sense_belonging,10.1371/journal.pone.0267175,"Dopmeijer JM, Schutgens CAE, Kappe FR, Gubbels N, Visscher TLS, Jongen EMM, Bovens RHLM, de Jonge JM, Bos AER, Wiers RW (2022). The role of performance pressure, loneliness and sense of belonging in predicting burnout symptoms in students in higher education. PLOS ONE, 17(12), e0267175. https://doi.org/10.1371/journal.pone.0267175",https://doi.org/10.1371/journal.pone.0267175.s001,CC BY 4.0,"Sense of Belonging scale (6 items), Dutch higher-education students, N=3141"," @article{Dopmeijer_2022, title={The role of performance pressure, loneliness and sense of belonging in predicting burnout symptoms in students in higher education}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0267175}, DOI={10.1371/journal.pone.0267175}, number={12}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Dopmeijer, Jolien M. and Schutgens, Christine A. E. and Kappe, F. Rutger and Gubbels, Nikkie and Visscher, Tommy L. S. and Jongen, Ellen M. M. and Bovens, Rob H. L. M. and de Jonge, Jannet M. and Bos, Arjan E. R. and Wiers, Reinout W.}, editor={Useche, Sergio A.}, year={2022}, month=Dec, pages={e0267175} }
"
wilson_2022_kelpie_personality,10.1371/journal.pone.0267266,"Wilson BJ, Arnott ER, Early JB, Wade CM, McGreevy PD (2022). Valued personality traits in livestock herding Kelpies-Development and application of a livestock herding dog assessment form. PLOS ONE, 17(4), e0267266. https://doi.org/10.1371/journal.pone.0267266",https://doi.org/10.1371/journal.pone.0267266.s002,CC BY 4.0,"Owner ratings of working Kelpie dog personality/ability traits (18 items, 1-5 scale); id is the dog, owner recorded as rater"," @article{Wilson_2022, title={Valued personality traits in livestock herding Kelpies—Development and application of a livestock herding dog assessment form}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0267266}, DOI={10.1371/journal.pone.0267266}, number={4}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Wilson, Bethany J. and Arnott, Elizabeth R. and Early, Jonathan B. and Wade, Claire M. and McGreevy, Paul D.}, editor={Walsh, Carolyn J.}, year={2022}, month=Apr, pages={e0267266} }
"
rahman_2022_phq9,10.1371/journal.pone.0269634,"Rahman MA, Dhira TA, Sarker AR, Mehareen J (2022). Validity and reliability of the Patient Health Questionnaire scale (PHQ-9) among university students of Bangladesh. PLOS ONE, 17(6), e0269634. https://doi.org/10.1371/journal.pone.0269634",https://doi.org/10.1371/journal.pone.0269634.s006,CC BY 4.0,"PHQ-9 (9 items), Bangladeshi university students during COVID-19, N=677"," @article{Rahman_2022, title={Validity and reliability of the Patient Health Questionnaire scale (PHQ-9) among university students of Bangladesh}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0269634}, DOI={10.1371/journal.pone.0269634}, number={6}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Rahman, Mahir A. and Dhira, Tahia Anan and Sarker, Abdur Razzaque and Mehareen, Jeenat}, editor={Magalhaes, Pedro Vieira da Silva}, year={2022}, month=June, pages={e0269634} }
"
turner_2022_cognitive_mediation,10.1371/journal.pone.0269928,"Turner MJ, Chadha NJ, Wood AG (2022). Knowing your ABCs: Extending the assessment of stimulus-response (S-R) and cognitive-mediation (C-M) beliefs. PLOS ONE, 17(6), e0269928. https://doi.org/10.1371/journal.pone.0269928",https://doi.org/10.1371/journal.pone.0269928.s006,CC BY 4.0,"Cognitive-mediation belief items (15), assessment of S-R and cognitive-mediation beliefs"," @article{Turner_2022, title={Knowing your ABCs: Extending the assessment of stimulus-response (S-R) and cognitive-mediation (C-M) beliefs}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0269928}, DOI={10.1371/journal.pone.0269928}, number={6}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Turner, Martin J. and Chadha, Nanaki J. and Wood, Andrew G.}, editor={Tran, Ulrich S.}, year={2022}, month=June, pages={e0269928} }
"
turner_2022_sr_belief_change,10.1371/journal.pone.0269928,"Turner MJ, Chadha NJ, Wood AG (2022). Knowing your ABCs: Extending the assessment of stimulus-response (S-R) and cognitive-mediation (C-M) beliefs. PLOS ONE, 17(6), e0269928. https://doi.org/10.1371/journal.pone.0269928",https://doi.org/10.1371/journal.pone.0269928.s006,CC BY 4.0,"Stimulus-response belief-change items (9), assessment of S-R and cognitive-mediation beliefs"," @article{Turner_2022, title={Knowing your ABCs: Extending the assessment of stimulus-response (S-R) and cognitive-mediation (C-M) beliefs}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0269928}, DOI={10.1371/journal.pone.0269928}, number={6}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Turner, Martin J. and Chadha, Nanaki J. and Wood, Andrew G.}, editor={Tran, Ulrich S.}, year={2022}, month=June, pages={e0269928} }
"
jimenezherrera_2022_moral_sensitivity,10.1371/journal.pone.0270049,"Jimenez-Herrera, M. F., Font-Jimenez, I., Bazo-Hernandez, L., Roldan-Merino, J., Biurrun-Garrido, A., & Hurtado-Pardos, B. (2022). Moral sensitivity of nursing students. Adaptation and validation of the moral sensitivity questionnaire in Spain. PLOS ONE. https://doi.org/10.1371/journal.pone.0270049",https://doi.org/10.1371/journal.pone.0270049,CC BY 4.0,"Moral Sensitivity Questionnaire, Spanish adaptation/validation, 9 items, nursing students"," @article{Jim_nez_Herrera_2022, title={Moral sensitivity of nursing students. Adaptation and validation of the moral sensitivity questionnaire in Spain}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0270049}, DOI={10.1371/journal.pone.0270049}, number={6}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Jiménez-Herrera, Maria Francisca and Font-Jimenez, Isabel and Bazo-Hernández, Leticia and Roldán-Merino, Juan and Biurrun-Garrido, Ainoa and Hurtado-Pardos, Barbara}, editor={Leal-Costa, César}, year={2022}, month=June, pages={e0270049} }
"
hoorani_2022_sp,10.1371/journal.pone.0271374,"Hoorani BH, Krishnakumar J, Anand P (2022). Adolescent's time use and skills development: Do cognitive and non-cognitive skills differ?. PLOS ONE, 17(7), e0271374. https://doi.org/10.1371/journal.pone.0271374",https://doi.org/10.1371/journal.pone.0271374.s016,CC BY 4.0,"4-item agreement scale (SP, includes a 'more or less' middle option), Young Lives India adolescent cohort panel, wave 2 only"," @article{Hoorani_2022, title={Adolescent’s time use and skills development: Do cognitive and non-cognitive skills differ?}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0271374}, DOI={10.1371/journal.pone.0271374}, number={7}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Hoorani, Bareerah Hafeez and Krishnakumar, Jaya and Anand, Paul}, editor={Asadullah, M Niaz}, year={2022}, month=July, pages={e0271374} }
"
hoorani_2022_epreas,10.1371/journal.pone.0271374,"Hoorani BH, Krishnakumar J, Anand P (2022). Adolescent's time use and skills development: Do cognitive and non-cognitive skills differ?. PLOS ONE, 17(7), e0271374. https://doi.org/10.1371/journal.pone.0271374",https://doi.org/10.1371/journal.pone.0271374.s016,CC BY 4.0,"5-item importance-rating scale, Young Lives India adolescent cohort panel, both waves"," @article{Hoorani_2022, title={Adolescent’s time use and skills development: Do cognitive and non-cognitive skills differ?}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0271374}, DOI={10.1371/journal.pone.0271374}, number={7}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Hoorani, Bareerah Hafeez and Krishnakumar, Jaya and Anand, Paul}, editor={Asadullah, M Niaz}, year={2022}, month=July, pages={e0271374} }
"
hoorani_2022_child_help,10.1371/journal.pone.0271374,"Hoorani BH, Krishnakumar J, Anand P (2022). Adolescent's time use and skills development: Do cognitive and non-cognitive skills differ?. PLOS ONE, 17(7), e0271374. https://doi.org/10.1371/journal.pone.0271374",https://doi.org/10.1371/journal.pone.0271374.s016,CC BY 4.0,"5-item binary 'child helps with X' checklist, Young Lives India adolescent cohort panel"," @article{Hoorani_2022, title={Adolescent’s time use and skills development: Do cognitive and non-cognitive skills differ?}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0271374}, DOI={10.1371/journal.pone.0271374}, number={7}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Hoorani, Bareerah Hafeez and Krishnakumar, Jaya and Anand, Paul}, editor={Asadullah, M Niaz}, year={2022}, month=July, pages={e0271374} }
"
hoorani_2022_ps,10.1371/journal.pone.0271374,"Hoorani BH, Krishnakumar J, Anand P (2022). Adolescent's time use and skills development: Do cognitive and non-cognitive skills differ?. PLOS ONE, 17(7), e0271374. https://doi.org/10.1371/journal.pone.0271374",https://doi.org/10.1371/journal.pone.0271374.s016,CC BY 4.0,"4-item agreement scale (PS), Young Lives India adolescent cohort panel, wave 1 only"," @article{Hoorani_2022, title={Adolescent’s time use and skills development: Do cognitive and non-cognitive skills differ?}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0271374}, DOI={10.1371/journal.pone.0271374}, number={7}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Hoorani, Bareerah Hafeez and Krishnakumar, Jaya and Anand, Paul}, editor={Asadullah, M Niaz}, year={2022}, month=July, pages={e0271374} }
"
hoorani_2022_nps,10.1371/journal.pone.0271374,"Hoorani BH, Krishnakumar J, Anand P (2022). Adolescent's time use and skills development: Do cognitive and non-cognitive skills differ?. PLOS ONE, 17(7), e0271374. https://doi.org/10.1371/journal.pone.0271374",https://doi.org/10.1371/journal.pone.0271374.s016,CC BY 4.0,"4-item numeric scale (NPS), Young Lives India adolescent cohort panel, wave 1 only"," @article{Hoorani_2022, title={Adolescent’s time use and skills development: Do cognitive and non-cognitive skills differ?}, volume={17}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0271374}, DOI={10.1371/journal.pone.0271374}, number={7}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Hoorani, Bareerah Hafeez and Krishnakumar, Jaya and Anand, Paul}, editor={Asadullah, M Niaz}, year={2022}, month=July, pages={e0271374} }
"
ruiz_parra_2023_pid5bf,10.1371/journal.pone.0274378,"Ruiz-Parra E, Manzano-García G, Mediavilla R, Rodríguez-Vega B, Lahera G, Moreno-Pérez AI, Torres-Cantero AM, Rodado-Martínez J, Bilbao A, González-Torres MÁ (2023). The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders. PLOS ONE, 18(4), e0274378. https://doi.org/10.1371/journal.pone.0274378",https://doi.org/10.1371/journal.pone.0274378.s009,CC BY 4.0,"Personality Inventory for DSM-5, Brief Form (PID-5-BF), subsample of the Spanish RFQ validation study"," @article{Ruiz_Parra_2023, title={The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders}, volume={18}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0274378}, DOI={10.1371/journal.pone.0274378}, number={4}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Ruiz-Parra, Eduardo and Manzano-García, Guadalupe and Mediavilla, Roberto and Rodríguez-Vega, Beatriz and Lahera, Guillermo and Moreno-Pérez, Ana I. and Torres-Cantero, Alberto M. and Rodado-Martínez, Juan and Bilbao, Amaia and González-Torres, Miguel Ángel}, editor={Müller, Sascha}, year={2023}, month=Apr, pages={e0274378} }
"
ruiz_parra_2023_maas,10.1371/journal.pone.0274378,"Ruiz-Parra E, Manzano-García G, Mediavilla R, Rodríguez-Vega B, Lahera G, Moreno-Pérez AI, Torres-Cantero AM, Rodado-Martínez J, Bilbao A, González-Torres MÁ (2023). The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders. PLOS ONE, 18(4), e0274378. https://doi.org/10.1371/journal.pone.0274378",https://doi.org/10.1371/journal.pone.0274378.s009,CC BY 4.0,"Mindful Attention Awareness Scale (MAAS), subsample of the Spanish RFQ validation study"," @article{Ruiz_Parra_2023, title={The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders}, volume={18}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0274378}, DOI={10.1371/journal.pone.0274378}, number={4}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Ruiz-Parra, Eduardo and Manzano-García, Guadalupe and Mediavilla, Roberto and Rodríguez-Vega, Beatriz and Lahera, Guillermo and Moreno-Pérez, Ana I. and Torres-Cantero, Alberto M. and Rodado-Martínez, Juan and Bilbao, Amaia and González-Torres, Miguel Ángel}, editor={Müller, Sascha}, year={2023}, month=Apr, pages={e0274378} }
"
ruiz_parra_2023_scl90r,10.1371/journal.pone.0274378,"Ruiz-Parra E, Manzano-García G, Mediavilla R, Rodríguez-Vega B, Lahera G, Moreno-Pérez AI, Torres-Cantero AM, Rodado-Martínez J, Bilbao A, González-Torres MÁ (2023). The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders. PLOS ONE, 18(4), e0274378. https://doi.org/10.1371/journal.pone.0274378",https://doi.org/10.1371/journal.pone.0274378.s009,CC BY 4.0,"Symptom Checklist-90-Revised (SCL-90-R), subsample of the Spanish RFQ validation study"," @article{Ruiz_Parra_2023, title={The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders}, volume={18}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0274378}, DOI={10.1371/journal.pone.0274378}, number={4}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Ruiz-Parra, Eduardo and Manzano-García, Guadalupe and Mediavilla, Roberto and Rodríguez-Vega, Beatriz and Lahera, Guillermo and Moreno-Pérez, Ana I. and Torres-Cantero, Alberto M. and Rodado-Martínez, Juan and Bilbao, Amaia and González-Torres, Miguel Ángel}, editor={Müller, Sascha}, year={2023}, month=Apr, pages={e0274378} }
"
ruiz_parra_2023_iip32,10.1371/journal.pone.0274378,"Ruiz-Parra E, Manzano-García G, Mediavilla R, Rodríguez-Vega B, Lahera G, Moreno-Pérez AI, Torres-Cantero AM, Rodado-Martínez J, Bilbao A, González-Torres MÁ (2023). The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders. PLOS ONE, 18(4), e0274378. https://doi.org/10.1371/journal.pone.0274378",https://doi.org/10.1371/journal.pone.0274378.s009,CC BY 4.0,"Inventory of Interpersonal Problems (IIP-32), subsample of the Spanish RFQ validation study"," @article{Ruiz_Parra_2023, title={The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders}, volume={18}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0274378}, DOI={10.1371/journal.pone.0274378}, number={4}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Ruiz-Parra, Eduardo and Manzano-García, Guadalupe and Mediavilla, Roberto and Rodríguez-Vega, Beatriz and Lahera, Guillermo and Moreno-Pérez, Ana I. and Torres-Cantero, Alberto M. and Rodado-Martínez, Juan and Bilbao, Amaia and González-Torres, Miguel Ángel}, editor={Müller, Sascha}, year={2023}, month=Apr, pages={e0274378} }
"
ruiz_parra_2023_ipo83,10.1371/journal.pone.0274378,"Ruiz-Parra E, Manzano-García G, Mediavilla R, Rodríguez-Vega B, Lahera G, Moreno-Pérez AI, Torres-Cantero AM, Rodado-Martínez J, Bilbao A, González-Torres MÁ (2023). The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders. PLOS ONE, 18(4), e0274378. https://doi.org/10.1371/journal.pone.0274378",https://doi.org/10.1371/journal.pone.0274378.s009,CC BY 4.0,"Inventory of Personality Organization (IPO-83), subsample of the Spanish RFQ validation study"," @article{Ruiz_Parra_2023, title={The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders}, volume={18}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0274378}, DOI={10.1371/journal.pone.0274378}, number={4}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Ruiz-Parra, Eduardo and Manzano-García, Guadalupe and Mediavilla, Roberto and Rodríguez-Vega, Beatriz and Lahera, Guillermo and Moreno-Pérez, Ana I. and Torres-Cantero, Alberto M. and Rodado-Martínez, Juan and Bilbao, Amaia and González-Torres, Miguel Ángel}, editor={Müller, Sascha}, year={2023}, month=Apr, pages={e0274378} }
"
ruiz_parra_2023_bdi2,10.1371/journal.pone.0274378,"Ruiz-Parra E, Manzano-García G, Mediavilla R, Rodríguez-Vega B, Lahera G, Moreno-Pérez AI, Torres-Cantero AM, Rodado-Martínez J, Bilbao A, González-Torres MÁ (2023). The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders. PLOS ONE, 18(4), e0274378. https://doi.org/10.1371/journal.pone.0274378",https://doi.org/10.1371/journal.pone.0274378.s009,CC BY 4.0,"Beck Depression Inventory-II (BDI-II), subsample of the Spanish RFQ validation study"," @article{Ruiz_Parra_2023, title={The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders}, volume={18}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0274378}, DOI={10.1371/journal.pone.0274378}, number={4}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Ruiz-Parra, Eduardo and Manzano-García, Guadalupe and Mediavilla, Roberto and Rodríguez-Vega, Beatriz and Lahera, Guillermo and Moreno-Pérez, Ana I. and Torres-Cantero, Alberto M. and Rodado-Martínez, Juan and Bilbao, Amaia and González-Torres, Miguel Ángel}, editor={Müller, Sascha}, year={2023}, month=Apr, pages={e0274378} }
"
ruiz_parra_2023_rfq8,10.1371/journal.pone.0274378,"Ruiz-Parra E, Manzano-García G, Mediavilla R, Rodríguez-Vega B, Lahera G, Moreno-Pérez AI, Torres-Cantero AM, Rodado-Martínez J, Bilbao A, González-Torres MÁ (2023). The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders. PLOS ONE, 18(4), e0274378. https://doi.org/10.1371/journal.pone.0274378",https://doi.org/10.1371/journal.pone.0274378.s009,CC BY 4.0,"Spanish Reflective Functioning Questionnaire (RFQ-8), general population sample"," @article{Ruiz_Parra_2023, title={The Spanish version of the reflective functioning questionnaire: Validity data in the general population and individuals with personality disorders}, volume={18}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0274378}, DOI={10.1371/journal.pone.0274378}, number={4}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Ruiz-Parra, Eduardo and Manzano-García, Guadalupe and Mediavilla, Roberto and Rodríguez-Vega, Beatriz and Lahera, Guillermo and Moreno-Pérez, Ana I. and Torres-Cantero, Alberto M. and Rodado-Martínez, Juan and Bilbao, Amaia and González-Torres, Miguel Ángel}, editor={Müller, Sascha}, year={2023}, month=Apr, pages={e0274378} }
"
