table,columns,contributor,generated
bicb-j_ishiguro_2025,Notes,automated,2026-09-07
cure_data,-DOI (for paper); DOI (for data),automated,2026-09-07
merlo2025_eng_agentic,-DOI (for paper); DOI (for data),automated,2026-09-07
ilic2019_cddq,-DOI (for paper); DOI (for data),automated,2026-09-07
skalka2025_ai_literacy,-DOI (for paper); DOI (for data),automated,2026-09-07
kim2020_ams,-DOI (for paper); DOI (for data),automated,2026-09-07
kushnir2017_bfi,-DOI (for paper); DOI (for data),automated,2026-09-07
kushnir2017_tsrq,-DOI (for paper); DOI (for data),automated,2026-09-07
kushnir2017_anrt,-DOI (for paper); DOI (for data),automated,2026-09-07
kushnir2017_ftnd,-DOI (for paper); DOI (for data),automated,2026-09-07
che_2026_social_support,-DOI (for paper); DOI (for data),automated,2026-09-07
che_2026_upward_social_identity,-DOI (for paper); DOI (for data),automated,2026-09-07
che_2026_upward_social_comparison,-DOI (for paper); DOI (for data),automated,2026-09-07
che_2026_regulatory_self_efficacy,-DOI (for paper); DOI (for data),automated,2026-09-07
che_2026_social_wellbeing,-DOI (for paper); DOI (for data),automated,2026-09-07
senosy_2025_anxiety_state,-DOI (for paper); DOI (for data),automated,2026-09-07
senosy_2025_anxiety_trait,-DOI (for paper); DOI (for data),automated,2026-09-07
hao_2025_emotional_regulation,-DOI (for paper); DOI (for data),automated,2026-09-07
hao_2025_metacognitive_regulation,-DOI (for paper); DOI (for data),automated,2026-09-07
hao_2025_social_regulation,-DOI (for paper); DOI (for data),automated,2026-09-07
hao_2025_self_efficacy,-DOI (for paper); DOI (for data),automated,2026-09-07
hao_2025_foreign_language_anxiety,-DOI (for paper); DOI (for data),automated,2026-09-07
fang_2022_achievement_emotions,-DOI (for paper); DOI (for data),automated,2026-09-07
jeilani_2024_academic_stress,-DOI (for paper); DOI (for data),automated,2026-09-07
jeilani_2024_psychological_wellbeing,-DOI (for paper); DOI (for data),automated,2026-09-07
jeilani_2024_self_efficacy,-DOI (for paper); DOI (for data),automated,2026-09-07
jeilani_2024_social_support,-DOI (for paper); DOI (for data),automated,2026-09-07
jeilani_2024_social_support_family,-DOI (for paper); DOI (for data),automated,2026-09-07
jeilani_2024_social_outcomes,-DOI (for paper); DOI (for data),automated,2026-09-07
jeilani_2024_social_anxiety,-DOI (for paper); DOI (for data),automated,2026-09-07
jeilani_2024_emotional,-DOI (for paper); DOI (for data),automated,2026-09-07
jeilani_2024_personal_growth,-DOI (for paper); DOI (for data),automated,2026-09-07
jeilani_2024_proactivity,-DOI (for paper); DOI (for data),automated,2026-09-07
jeilani_2024_purpose_in_life,-DOI (for paper); DOI (for data),automated,2026-09-07
galindo_2023_social_support,-DOI (for paper); DOI (for data),automated,2026-09-07
galindo_2023_emotional_intelligence,-DOI (for paper); DOI (for data),automated,2026-09-07
galindo_2023_loneliness,-DOI (for paper); DOI (for data),automated,2026-09-07
galindo_2023_beliefs,-DOI (for paper); DOI (for data),automated,2026-09-07
bakumenko_2023_adyghe_values,-DOI (for paper); DOI (for data),automated,2026-09-07
tian2026_digital_competence,-DOI (for paper); DOI (for data),automated,2026-09-07
wolters2026_css,-DOI (for paper); DOI (for data),automated,2026-09-07
wolters2026_wi,-DOI (for paper); DOI (for data),automated,2026-09-07
wolters2026_panas_pa,-DOI (for paper); DOI (for data),automated,2026-09-07
wolters2026_panas_na,-DOI (for paper); DOI (for data),automated,2026-09-07
wolters2026_symptom_concerns,-DOI (for paper); DOI (for data),automated,2026-09-07
okeke2025_cognitive_agility_pre,-DOI (for paper); DOI (for data),automated,2026-09-07
okeke2025_decision_confidence_pre,-DOI (for paper); DOI (for data),automated,2026-09-07
okeke2025_ai_usefulness_pre,-DOI (for paper); DOI (for data),automated,2026-09-07
okeke2025_decision_accuracy,-DOI (for paper); DOI (for data),automated,2026-09-07
okeke2025_response_time,-DOI (for paper); DOI (for data),automated,2026-09-07
okeke2025_adaptability,-DOI (for paper); DOI (for data),automated,2026-09-07
okeke2025_risk_mitigation,-DOI (for paper); DOI (for data),automated,2026-09-07
okeke2025_cognitive_agility_post,-DOI (for paper); DOI (for data),automated,2026-09-07
okeke2025_decision_confidence_post,-DOI (for paper); DOI (for data),automated,2026-09-07
okeke2025_ai_usefulness_post,-DOI (for paper); DOI (for data),automated,2026-09-07
pickova2025_attitude,-DOI (for paper); DOI (for data),automated,2026-09-07
pickova2025_perception,-DOI (for paper); DOI (for data),automated,2026-09-07
pickova2025_feelings,-DOI (for paper); DOI (for data),automated,2026-09-07
pickova2025_behavioral_intent,-DOI (for paper); DOI (for data),automated,2026-09-07
pickova2025_fast_fashion_beliefs,-DOI (for paper); DOI (for data),automated,2026-09-07
pickova2025_moral_justifications,-DOI (for paper); DOI (for data),automated,2026-09-07
chen_2022_sasc,-DOI (for paper); DOI (for data),automated,2026-09-07
chen_2022_cesd,-DOI (for paper); DOI (for data),automated,2026-09-07
chen_2022_gad,-DOI (for paper); DOI (for data),automated,2026-09-07
atmadjaja_2026_cultural_intelligence,-DOI (for paper); DOI (for data),automated,2026-09-07
atmadjaja_2026_intention_to_stay,-DOI (for paper); DOI (for data),automated,2026-09-07
atmadjaja_2026_pos,-DOI (for paper); DOI (for data),automated,2026-09-07
atmadjaja_2026_work_engagement,-DOI (for paper); DOI (for data),automated,2026-09-07
divia_2025_tiktok_fomo_shopping,-DOI (for paper); DOI (for data),automated,2026-09-07
kang_2024_ai_adoption,-DOI (for paper); DOI (for data),automated,2026-09-07
kolomiets_2026_career_match,-DOI (for paper); DOI (for data),automated,2026-09-07
li_2026_imi_teq,-DOI (for paper); DOI (for data),automated,2026-09-07
mekheimer_2026_cai,-DOI (for paper); DOI (for data),automated,2026-09-07
mekheimer_2026_flp,-DOI (for paper); DOI (for data),automated,2026-09-07
mekheimer_2026_id,-DOI (for paper); DOI (for data),automated,2026-09-07
mekheimer_2026_paf,-DOI (for paper); DOI (for data),automated,2026-09-07
quinello_2026_ai_maturity_dimensions,-DOI (for paper); DOI (for data),automated,2026-09-07
quinello_2026_ai_maturity_technology,-DOI (for paper); DOI (for data),automated,2026-09-07
tan_2026_stem_technology_integration,-DOI (for paper); DOI (for data),automated,2026-09-07
dong_2024_ccaiq,-DOI (for paper); DOI (for data),automated,2026-09-07
dong_2024_engagement,-DOI (for paper); DOI (for data),automated,2026-09-07
kern_2021_connectedness,-DOI (for paper); DOI (for data),automated,2026-09-07
kern_2021_engagement,-DOI (for paper); DOI (for data),automated,2026-09-07
kern_2021_happiness,-DOI (for paper); DOI (for data),automated,2026-09-07
kern_2021_learning,-DOI (for paper); DOI (for data),automated,2026-09-07
kern_2021_life_satisfaction,-DOI (for paper); DOI (for data),automated,2026-09-07
wang_2025_green_space_wellbeing,-DOI (for paper); DOI (for data),automated,2026-09-07
kurach2026_financial_literacy,-DOI (for paper); DOI (for data),automated,2026-09-07
rosetti2023_gad7,-DOI (for paper); DOI (for data),automated,2026-09-07
rosetti2023_climate_anxiety,-DOI (for paper); DOI (for data),automated,2026-09-07
rosetti2023_climate_knowledge,-DOI (for paper); DOI (for data),automated,2026-09-07
ptacek2023_compact,-DOI (for paper); DOI (for data),automated,2026-09-07
ptacek2023_dass21,-DOI (for paper); DOI (for data),automated,2026-09-07
ptacek2023_aaq2,-DOI (for paper); DOI (for data),automated,2026-09-07
ptacek2023_swls,-DOI (for paper); DOI (for data),automated,2026-09-07
westhoff2023_pbat,-DOI (for paper); DOI (for data),automated,2026-09-07
westhoff2023_stopd,-DOI (for paper); DOI (for data),automated,2026-09-07
chen2026_mpa,-DOI (for paper); DOI (for data),automated,2026-09-07
chen2026_sa,-DOI (for paper); DOI (for data),automated,2026-09-07
chen2026_sc,-DOI (for paper); DOI (for data),automated,2026-09-07
chowdhury2026_ai_literacy,-DOI (for paper); DOI (for data),automated,2026-09-07
chowdhury2026_ai_intentions,-DOI (for paper); DOI (for data),automated,2026-09-07
chowdhury2026_ai_vignette,-DOI (for paper); DOI (for data),automated,2026-09-07
chen2025_body_image,-DOI (for paper); DOI (for data),automated,2026-09-07
chen2025_activity_motivation,-DOI (for paper); DOI (for data),automated,2026-09-07
chen2025_peer_support,-DOI (for paper); DOI (for data),automated,2026-09-07
chen2025_self_esteem,-DOI (for paper); DOI (for data),automated,2026-09-07
baka2023_olbi,-DOI (for paper); DOI (for data),automated,2026-09-07
baka2023_bpnsf,-DOI (for paper); DOI (for data),automated,2026-09-07
baka2023_uwes,-DOI (for paper); DOI (for data),automated,2026-09-07
baka2023_jcs,-DOI (for paper); DOI (for data),automated,2026-09-07
poza2026_hlseu,-DOI (for paper); DOI (for data),automated,2026-09-07
moe2025_sis,-DOI (for paper); DOI (for data),automated,2026-09-07
moe2025_scs,-DOI (for paper); DOI (for data),automated,2026-09-07
moe2025_erq,-DOI (for paper); DOI (for data),automated,2026-09-07
gao2025_attachment_avoidance,-DOI (for paper); DOI (for data),automated,2026-09-07
gao2025_attachment_anxiety,-DOI (for paper); DOI (for data),automated,2026-09-07
gao2025_spiritual_wellbeing,-DOI (for paper); DOI (for data),automated,2026-09-07
gao2025_family_support,-DOI (for paper); DOI (for data),automated,2026-09-07
gao2025_sse,-DOI (for paper); DOI (for data),automated,2026-09-07
alcoholhealthwarninglabel_brennan_2022_awareness_harms_followup,-DOI (for paper); DOI (for data),automated,2026-09-07
alcoholhealthwarninglabel_brennan_2022_intentions_postexposure,-DOI (for paper); DOI (for data),automated,2026-09-07
dasilva_2019_hexaco24,-DOI (for paper); DOI (for data),automated,2026-09-07
iandolo_2021_asq,-DOI (for paper); DOI (for data),automated,2026-09-07
tutrin_2020_meq30,-DOI (for paper); DOI (for data),automated,2026-09-07
falih_2026_mds16,-DOI (for paper); DOI (for data),automated,2026-09-07
falih_2026_dass21,-DOI (for paper); DOI (for data),automated,2026-09-07
nabizadehchianeh_2026_tempsa,-DOI (for paper); DOI (for data),automated,2026-09-07
holden_2026_bsri,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_phq9,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_gad7,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_phq15,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_itq,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_pads,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_loneliness,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_loc,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_dai,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_ius12,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_iwah,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_nationalism,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_nationalpride,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_infosource,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_trustsource,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_trustinstitutions,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_neighbourcomfort,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_riskbehaviour_c19,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_riskreduction_beliefs,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_hygiene,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_socialdistance,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_bfi10,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_brs,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_mabs,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_sdo,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_vsa,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_cmq,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_crt,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_facetrust,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_protect,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_ocir,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_sci,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_iri,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_tmsi,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_vaccineattitudes,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_humanitarianism,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_family_prelockdown,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_family_duringlockdown,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_homespace,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_childimpact,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_lockdownbehaviour,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_activity,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_dmq,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_drinkcontext,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_rq,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_aq10,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_minispin,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_hopefulness,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_shs,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_mmos_ss,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_eds_prepandemic,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_eds_duringpandemic,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_quarantine_support,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_secondwave_restrictions,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_govsatisfaction,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_comfort,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_contacttracingapp,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_partyidentity,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_selfharm_suicidality,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_protective_behaviours,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_lockdown_contact_behaviours,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_icd_depression,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_icd_anxiety,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_ecr_attachment,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_bces,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_conservatism,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_srgs,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_wemwbs,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_eu_identity,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_polarization_covid,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_polarization_brexit,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_handle_c19,-DOI (for paper); DOI (for data),automated,2026-09-07
c19prc_uk_mcbride_2021_wordsum,-DOI (for paper); DOI (for data),automated,2026-09-07
dasilva_2019_crt,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_family_belonging_child,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_family_belonging_proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_family_involve_child,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_family_involve_proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_global_health_child,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_global_health_proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_life_satisfaction_child,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_life_satisfaction_proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_meaning_purpose_child,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_meaning_purpose_proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_phys_activity_child,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_phys_activity_proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_phys_stress_child,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_phys_stress_proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_positive_affect_child,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_positive_affect_proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_psych_stress_child,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_psych_stress_proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_strength_child,-DOI (for paper); DOI (for data),automated,2026-09-07
forrest_2021_strength_proxy,-DOI (for paper); DOI (for data),automated,2026-09-07
abramson_2026_israel_policy,-DOI (for paper); DOI (for data),automated,2026-09-07
abramson_2026_israel_attachment,-DOI (for paper); DOI (for data),automated,2026-09-07
abramson_2026_mobilization,-DOI (for paper); DOI (for data),automated,2026-09-07
abramson_2026_jewish_identity,-DOI (for paper); DOI (for data),automated,2026-09-07
altman_2020_capq,-DOI (for paper); DOI (for data),automated,2026-09-07
wang_2025_growth_mindset,-DOI (for paper); DOI (for data),automated,2026-09-07
wang_2025_cognitive_fusion,-DOI (for paper); DOI (for data),automated,2026-09-07
wang_2025_impulse_control,-DOI (for paper); DOI (for data),automated,2026-09-07
wang_2025_automatic_thoughts,-DOI (for paper); DOI (for data),automated,2026-09-07
senyurt_2023_burnout,-DOI (for paper); DOI (for data),automated,2026-09-07
sokolovskii_2021_tfeq,-DOI (for paper); DOI (for data),automated,2026-09-07
doherty_2023_dass21,-DOI (for paper); DOI (for data),automated,2026-09-07
doherty_2023_burnout,-DOI (for paper); DOI (for data),automated,2026-09-07
doherty_2023_bfi10,-DOI (for paper); DOI (for data),automated,2026-09-07
daderman_2023_naqr,-DOI (for paper); DOI (for data),automated,2026-09-07
chen_2026_mobile_phone_addiction,-DOI (for paper); DOI (for data),automated,2026-09-07
chen_2026_self_control,-DOI (for paper); DOI (for data),automated,2026-09-07
chen_2026_social_anxiety,-DOI (for paper); DOI (for data),automated,2026-09-07
kermen_2022_self_efficacy,-DOI (for paper); DOI (for data),automated,2026-09-07
kermen_2022_self_regulation,-DOI (for paper); DOI (for data),automated,2026-09-07
kermen_2022_anxiety,-DOI (for paper); DOI (for data),automated,2026-09-07
kermen_2022_attention,-DOI (for paper); DOI (for data),automated,2026-09-07
peng_2024_grit,-DOI (for paper); DOI (for data),automated,2026-09-07
peng_2024_language_enjoyment,-DOI (for paper); DOI (for data),automated,2026-09-07
peng_2024_language_boredom,-DOI (for paper); DOI (for data),automated,2026-09-07
rosyid_2025_academic_citizenship,-DOI (for paper); DOI (for data),automated,2026-09-07
rosyid_2025_ethical_leadership,-DOI (for paper); DOI (for data),automated,2026-09-07
rosyid_2025_prosocial_motivation,-DOI (for paper); DOI (for data),automated,2026-09-07
dalichaouche_2026_covid_knowledge,-DOI (for paper); DOI (for data),automated,2026-09-07
dalichaouche_2026_covid_attitudes,-DOI (for paper); DOI (for data),automated,2026-09-07
dalichaouche_2026_covid_practices,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_bri_bri,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_bri_curio,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_bri_feel,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_bri_food,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_bri_ofood,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_ciss,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_cpi,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_dop_ab5c_vignettes,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_dop_avocational_interests,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_eps_adjectives,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_eps_cesd,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_eps_ipip,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_eps_life_events,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_eps_s11,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_eps_spirituality,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_hpi,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_hpq_h,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_ipip,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_jpir,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_pas_adjectives,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_pas_ipip_scales,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_pda360,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_pda525,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_pf16_p,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_ppq_beliefs,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_ppq_dream,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_ppq_music,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_ppq_via_strengths,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_prs_bas_bis,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_prs_gray_wilson,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_prs_hexaco,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_prs_ipip,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_prs_movie_preferences,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_prs_music_preferences,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_prs_peo,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_prs_pey,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_prs_reading_preferences,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_prs_tv_preferences,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_sbo,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_sdv_adjectives,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_sdv_desirability,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_sdv_force,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_sdv_happy,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_sdv_influ,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_sdv_ipip_temperament,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_sdv_likelihood,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_sdv_schwartz_values,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_sdv_views,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_spa_beliefs_about_intelligence,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_spa_bfi_forced_choice,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_spa_changeability,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_spa_cultural_familiarity,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_spa_ipip,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_spa_medical_history,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_spa_skill_proficiency,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_spa_skills,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_spa_speo,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_spa_spey,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_spa_talents,-DOI (for paper); DOI (for data),automated,2026-09-07
goldberg_2018_tci,-DOI (for paper); DOI (for data),automated,2026-09-07
aditama_2024_strs,-DOI (for paper); DOI (for data),automated,2026-09-07
aiquipa_2026_dgs,-DOI (for paper); DOI (for data),automated,2026-09-07
alan_2018_student_gender_attitudes,-DOI (for paper); DOI (for data),automated,2026-09-07
alan_2018_teacher_extrinsic_motivation,-DOI (for paper); DOI (for data),automated,2026-09-07
alan_2018_teacher_gender_attitudes,-DOI (for paper); DOI (for data),automated,2026-09-07
alan_2018_teacher_growth_mindset,-DOI (for paper); DOI (for data),automated,2026-09-07
alan_2018_teacher_modern_teaching,-DOI (for paper); DOI (for data),automated,2026-09-07
alan_2018_teacher_warmth,-DOI (for paper); DOI (for data),automated,2026-09-07
alloubani_2021_stai_state,-DOI (for paper); DOI (for data),automated,2026-09-07
alloubani_2021_stai_trait,-DOI (for paper); DOI (for data),automated,2026-09-07
arabaci_2025_burnout,-DOI (for paper); DOI (for data),automated,2026-09-07
arabaci_2025_skill_diversity,-DOI (for paper); DOI (for data),automated,2026-09-07
arabaci_2025_task_diversity,-DOI (for paper); DOI (for data),automated,2026-09-07
arabaci_2025_turnover_intention,-DOI (for paper); DOI (for data),automated,2026-09-07
balparda_2021_kepaq_emotional,-DOI (for paper); DOI (for data),automated,2026-09-07
balparda_2021_kepaq_functional,-DOI (for paper); DOI (for data),automated,2026-09-07
balparda_2021_korq_activity_limitation,-DOI (for paper); DOI (for data),automated,2026-09-07
balparda_2021_korq_symptoms,-DOI (for paper); DOI (for data),automated,2026-09-07
baquerotomas_2026_ders,-DOI (for paper); DOI (for data),automated,2026-09-07
baquerotomas_2026_emas,-DOI (for paper); DOI (for data),automated,2026-09-07
baquerotomas_2026_gad7,-DOI (for paper); DOI (for data),automated,2026-09-07
baquerotomas_2026_neoffi,-DOI (for paper); DOI (for data),automated,2026-09-07
baquerotomas_2026_phq9,-DOI (for paper); DOI (for data),automated,2026-09-07
