table,collection,basis
dass21_depression_anxiety_stress,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
dass21_medical_graduates_bangladesh,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
depression_anxiety_stress,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
depression_hymcohort_tang2022,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
ehealth_rioux_2025_phq,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
evpromisi_stone_2021_ddeddep,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
FACIT_YOUNT_2021_hadsx,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
fcv19s_hossain_2022_depression,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
florida_twins_behavior_rcads,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
FomoNegativeAffect_cremer_2026_phq,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
gad_BrummerHoffman_2021,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
gilbert_meta_101,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
gilbert_meta_34,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
gilbert_meta_57,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
gilbert_meta_58,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
grit_BrummerHoffman_2021,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
hads_multilcirt,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
HEARD_Roch_2022_IDSS,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
HEARD_Roch_2022_K6,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
heekerens2025_phq,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
idas_machado2024,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
jablonska_2020_hads,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
jovanovic_2026_conscientiousness_dass_d,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
liu_2021_vrexp_depression,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
MEFSIRODGAS_Nileksela_2023_freq,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
MEFSIRODGAS_Nileksela_2023_severity,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
mental_health_wang_2024_gad,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
mhscdc_fried_2020_dass,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
mpsycho_rogers_depression,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
mpsycho_youthdep,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
narcissism_schneider_2025_study2_idasii,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
narcissism_schneider_2025_study2_phq,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
neurodegenerative_huizinga_2019_dass,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
oxfordcovid_xue_2024_phq,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
pass20_klosowska_2025_dass_online,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
phq_BrummerHoffman_2021,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
phq_insomnia_wang2025,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
phq9_xiong_2025,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
promis_BrummerHoffman_2021,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
promis1wave1_cesd,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
promis1wave1_depression,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
RD_PPCSEDSOF_Afable_2023,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
rrca_mcneish_2025_bdi,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
ruiz_parra_2023_bdi2,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
smpi_lorenzoluaces_2020_phq9,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
suicide_reinbergs_2025_phq,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
SV-MAIA2_Randelovic_2021_DASS,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
ucla_BrummerHoffman_2021,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
uti_newlands_2023_phq,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
wemwbs_BrummerHoffman_2021,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
whodas_BrummerHoffman_2021,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
williams-brat2020_study1,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
williams-brat2020-study2,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
williams-cps2018,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
williams-cps2019,depression,rule:cname:depress|\bphq\b|ces.?d\b|\bbdi\b|\bdass\b
c19prc_uk_mcbride_2021_activity,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_aq10,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_bces,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_bfi10,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_brs,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_childimpact,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_cmq,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_comfort,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_conservatism,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_contacttracingapp,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_crt,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_dai,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_dmq,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_drinkcontext,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_ecr_attachment,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_eds_duringpandemic,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_eds_prepandemic,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_eu_identity,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_facetrust,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_family_duringlockdown,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_family_prelockdown,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_gad7,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_govsatisfaction,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_handle_c19,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_homespace,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_hopefulness,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_humanitarianism,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_hygiene,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_icd_anxiety,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_icd_depression,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_infosource,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_iri,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_itq,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_ius12,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_iwah,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_loc,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_lockdown_contact_behaviours,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_lockdownbehaviour,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_loneliness,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_mabs,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_minispin,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_mmos_ss,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_nationalism,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_nationalpride,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_neighbourcomfort,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_ocir,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_pads,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_partyidentity,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_phq15,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_phq9,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_polarization_brexit,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_polarization_covid,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_protect,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_protective_behaviours,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_quarantine_support,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_riskbehaviour_c19,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_riskreduction_beliefs,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_rq,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_sci,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_sdo,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_secondwave_restrictions,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_selfharm_suicidality,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_shs,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_socialdistance,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_srgs,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_tmsi,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_trustinstitutions,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_trustsource,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_vaccineattitudes,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_vsa,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_wemwbs,intensive_longitudinal,rule:var:date+wave
c19prc_uk_mcbride_2021_wordsum,intensive_longitudinal,rule:var:date+wave
FACIT_YOUNT_2021_limitations,intensive_longitudinal,rule:var:date+wave
kemp_2019_mss_disorganized,intensive_longitudinal,rule:var:date+wave
kemp_2019_mss_negative,intensive_longitudinal,rule:var:date+wave
kemp_2019_mss_positive,intensive_longitudinal,rule:var:date+wave
mhscdc_fried_2020_ema,intensive_longitudinal,rule:var:date+wave
quopl2_forster_2021_quop,intensive_longitudinal,rule:var:date+wave
SV-MAIA2_Randelovic_2021_MAIA,intensive_longitudinal,rule:var:date+wave
SV-MAIA2_Randelovic_2021_SHS,intensive_longitudinal,rule:var:date+wave
trivia_fastrich_2017,intensive_longitudinal,rule:var:date+wave
wvs_panasiuk_environment,intensive_longitudinal,rule:var:date+wave
wvs_panasiuk_family,intensive_longitudinal,rule:var:date+wave
wvs_panasiuk_national_identity,intensive_longitudinal,rule:var:date+wave
wvs_panasiuk_perception_of_life,intensive_longitudinal,rule:var:date+wave
wvs_panasiuk_politics_society,intensive_longitudinal,rule:var:date+wave
wvs_panasiuk_religion_morality,intensive_longitudinal,rule:var:date+wave
wvs_panasiuk_science,intensive_longitudinal,rule:var:date+wave
wvs_panasiuk_security,intensive_longitudinal,rule:var:date+wave
wvs_panasiuk_work,intensive_longitudinal,rule:var:date+wave
amatus_cipora_2024_pisa_me,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
cdm_pisa00R,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
cdm_timss03,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
cdm_timss07,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
naep_multilcirt,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pirlsmissing_sirt,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2000_math,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2000_read,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2000_science,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2003_math,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2003_problem_solving,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2003_read,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2003_science,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2006_math,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2006_read,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2006_science,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2009_math,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2009_read,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2009_science,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2012_math,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2012_read,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2012_science,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2015_math,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2015_read,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2015_science,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2018_gc,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2018_math,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2018_read,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2018_science,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2022_math,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2022_read,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
pisa2022_science,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
timss_tam,intl_assessment,rule:cname:\bpisa\b|timss|\bpirls\b|\bnaep\b
EEEDPRM_Bulut_2021,item_position,rule:var:position
enem_2013_1mil_ch,item_position,rule:var:position
enem_2013_1mil_cn,item_position,rule:var:position
enem_2013_1mil_lc,item_position,rule:var:position
enem_2013_1mil_mt,item_position,rule:var:position
enem_2014_1mil_ch,item_position,rule:var:position
enem_2014_1mil_cn,item_position,rule:var:position
enem_2014_1mil_lc,item_position,rule:var:position
enem_2014_1mil_mt,item_position,rule:var:position
enem_2015_1mil_ch,item_position,rule:var:position
enem_2015_1mil_cn,item_position,rule:var:position
enem_2015_1mil_lc,item_position,rule:var:position
enem_2015_1mil_mt,item_position,rule:var:position
enem_2016_1mil_ch,item_position,rule:var:position
enem_2016_1mil_cn,item_position,rule:var:position
enem_2016_1mil_lc,item_position,rule:var:position
enem_2016_1mil_mt,item_position,rule:var:position
enem_2017_1mil_ch,item_position,rule:var:position
enem_2017_1mil_cn,item_position,rule:var:position
enem_2017_1mil_lc,item_position,rule:var:position
enem_2017_1mil_mt,item_position,rule:var:position
enem_2018_1mil_ch,item_position,rule:var:position
enem_2018_1mil_cn,item_position,rule:var:position
enem_2018_1mil_lc,item_position,rule:var:position
enem_2018_1mil_mt,item_position,rule:var:position
enem_2019_1mil_ch,item_position,rule:var:position
enem_2019_1mil_cn,item_position,rule:var:position
enem_2019_1mil_lc,item_position,rule:var:position
enem_2019_1mil_mt,item_position,rule:var:position
enem_2020_1mil_ch,item_position,rule:var:position
enem_2020_1mil_cn,item_position,rule:var:position
enem_2020_1mil_lc,item_position,rule:var:position
enem_2020_1mil_mt,item_position,rule:var:position
enem_2021_1mil_ch,item_position,rule:var:position
enem_2021_1mil_cn,item_position,rule:var:position
enem_2021_1mil_lc,item_position,rule:var:position
enem_2021_1mil_mt,item_position,rule:var:position
enem_2022_1mil_ch,item_position,rule:var:position
enem_2022_1mil_cn,item_position,rule:var:position
enem_2022_1mil_lc,item_position,rule:var:position
enem_2022_1mil_mt,item_position,rule:var:position
enem_2023_1mil_ch,item_position,rule:var:position
enem_2023_1mil_cn,item_position,rule:var:position
enem_2023_1mil_lc,item_position,rule:var:position
enem_2023_1mil_mt,item_position,rule:var:position
enem_2024_1mil_ch,item_position,rule:var:position
enem_2024_1mil_cn,item_position,rule:var:position
enem_2024_1mil_lc,item_position,rule:var:position
enem_2024_1mil_mt,item_position,rule:var:position
enem_2025_1mil_ch,item_position,rule:var:position
enem_2025_1mil_cn,item_position,rule:var:position
enem_2025_1mil_lc,item_position,rule:var:position
enem_2025_1mil_mt,item_position,rule:var:position
enkavi_2019_ant_flanker,item_position,rule:var:position
enkavi_2019_dpx_axcpt,item_position,rule:var:position
enkavi_2019_gonogo,item_position,rule:var:position
enkavi_2019_navon,item_position,rule:var:position
enkavi_2019_simon,item_position,rule:var:position
enkavi_2019_stopsignal,item_position,rule:var:position
enkavi_2019_stroop,item_position,rule:var:position
enkavi_2019_taskswitch,item_position,rule:var:position
2024_online_addiction_bsmas,longitudinal,rule:meta:longitudinal
2024_online_addiction_igds,longitudinal,rule:meta:longitudinal
2024_online_addiction_sabas,longitudinal,rule:meta:longitudinal
abramson_2026_israel_attachment,longitudinal,rule:meta:longitudinal
abramson_2026_israel_policy,longitudinal,rule:meta:longitudinal
abramson_2026_jewish_identity,longitudinal,rule:meta:longitudinal
abramson_2026_mobilization,longitudinal,rule:meta:longitudinal
act_kay_2025,longitudinal,rule:meta:longitudinal
agarwal_2023_dreem,longitudinal,rule:meta:longitudinal
aguirre_camacho_2021_champion,longitudinal,rule:meta:longitudinal
alfort_2023_finger_fx_prom,longitudinal,rule:meta:longitudinal
alloubani_2021_stai_trait,longitudinal,rule:meta:longitudinal
amarilla_2020_barthel,longitudinal,rule:meta:longitudinal
amarilla_2020_eq5d,longitudinal,rule:meta:longitudinal
amarilla_2020_lawton_brody,longitudinal,rule:meta:longitudinal
amarilla_2020_sf12,longitudinal,rule:meta:longitudinal
antes_2020_pdm,longitudinal,rule:meta:longitudinal
audit_BrummerHoffman_2021,longitudinal,rule:meta:longitudinal
autism_blotner_2025_s1_aq,longitudinal,rule:meta:longitudinal
autism_blotner_2025_s1_bes,longitudinal,rule:meta:longitudinal
autism_blotner_2025_s1_tactics,longitudinal,rule:meta:longitudinal
autism_blotner_2025_s1_views,longitudinal,rule:meta:longitudinal
autism_blotner_2025_s2_acme,longitudinal,rule:meta:longitudinal
autism_blotner_2025_s2_aq,longitudinal,rule:meta:longitudinal
autism_blotner_2025_s2_ffmi,longitudinal,rule:meta:longitudinal
autism_blotner_2025_s2_qcae,longitudinal,rule:meta:longitudinal
babaei_2023_child_hygiene_behavior,longitudinal,rule:meta:longitudinal
babaei_2023_mother_hygiene_behavior,longitudinal,rule:meta:longitudinal
babaei_2023_oral_kap,longitudinal,rule:meta:longitudinal
baka2023_bpnsf,longitudinal,rule:meta:longitudinal
baka2023_jcs,longitudinal,rule:meta:longitudinal
baka2023_olbi,longitudinal,rule:meta:longitudinal
baka2023_uwes,longitudinal,rule:meta:longitudinal
BPAQ_Christopher_2024_BPAQSF,longitudinal,rule:meta:longitudinal
bukurov_2022_comq12,longitudinal,rule:meta:longitudinal
burgess_2025_soas,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_activity,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_aq10,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_bces,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_bfi10,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_brs,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_childimpact,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_cmq,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_comfort,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_conservatism,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_contacttracingapp,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_crt,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_dai,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_dmq,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_drinkcontext,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_ecr_attachment,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_eds_duringpandemic,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_eds_prepandemic,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_eu_identity,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_facetrust,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_family_duringlockdown,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_family_prelockdown,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_gad7,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_govsatisfaction,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_handle_c19,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_homespace,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_hopefulness,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_humanitarianism,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_hygiene,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_icd_anxiety,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_icd_depression,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_infosource,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_iri,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_itq,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_ius12,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_iwah,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_loc,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_lockdown_contact_behaviours,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_lockdownbehaviour,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_loneliness,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_mabs,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_minispin,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_mmos_ss,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_nationalism,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_nationalpride,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_neighbourcomfort,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_ocir,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_pads,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_partyidentity,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_phq15,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_phq9,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_polarization_brexit,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_polarization_covid,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_protect,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_protective_behaviours,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_quarantine_support,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_riskbehaviour_c19,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_riskreduction_beliefs,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_rq,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_sci,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_sdo,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_secondwave_restrictions,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_selfharm_suicidality,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_shs,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_socialdistance,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_srgs,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_tmsi,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_trustinstitutions,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_trustsource,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_vaccineattitudes,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_vsa,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_wemwbs,longitudinal,rule:meta:longitudinal
c19prc_uk_mcbride_2021_wordsum,longitudinal,rule:meta:longitudinal
caetano-santos-lsas-2021,longitudinal,rule:meta:longitudinal
caetano-santos-masi-2021,longitudinal,rule:meta:longitudinal
ccapsvtskhpacr_mercedes_2023_tsk,longitudinal,rule:meta:longitudinal
chatton2024_honos13,longitudinal,rule:meta:longitudinal
