table,irw_version,date,change,issue,replaces,replaced_by
enem_2014_1mil_ch,367,2026-09-10,Absent candidates had been scored as all wrong (about 45% of the sample); they are now excluded using inep's presence flag. `resp_raw` added.,#1942,,
enem_2014_1mil_cn,367,2026-09-10,Absent candidates had been scored as all wrong (about 45% of the sample); they are now excluded using inep's presence flag. `resp_raw` added.,#1942,,
enem_2014_1mil_lc,367,2026-09-10,Absent candidates had been scored as all wrong (about 45% of the sample); they are now excluded using inep's presence flag. `resp_raw` added.,#1942,,
enem_2014_1mil_mt,367,2026-09-10,Absent candidates had been scored as all wrong (about 45% of the sample); they are now excluded using inep's presence flag. `resp_raw` added.,#1942,,
enem_2015_1mil_lc,367,2026-09-10,"Responses from the sixth question on had been shifted by five positions against the answer key, because the response string holds both foreign-language blocks; realigned. `resp_raw` added.",#955,,
enem_2016_1mil_lc,367,2026-09-10,"Responses from the sixth question on had been shifted by five positions against the answer key, because the response string holds both foreign-language blocks; realigned. `resp_raw` added.",#955,,
enem_2018_1mil_lc,367,2026-09-10,"Responses from the sixth question on had been shifted by five positions against the answer key, because the response string holds both foreign-language blocks; realigned. `resp_raw` added.",#955,,
enem_2018_1mil_mt,367,2026-09-10,Items inep annulled (scored 0 for everyone) removed. `resp_raw` added.,#1942,,
enem_2019_1mil_lc,367,2026-09-10,"Responses from the sixth question on had been shifted by five positions against the answer key, because the response string holds both foreign-language blocks; realigned. `resp_raw` added.",#955,,
enem_2020_1mil_cn,367,2026-09-10,Items inep annulled (scored 0 for everyone) removed. `resp_raw` added.,#1942,,
enem_2020_1mil_lc,367,2026-09-10,"Responses from the sixth question on had been shifted by five positions against the answer key, because the response string holds both foreign-language blocks; realigned. `resp_raw` added.",#955,,
enem_2020_1mil_mt,367,2026-09-10,Items inep annulled (scored 0 for everyone) removed. `resp_raw` added.,#1942,,
enem_2021_1mil_lc,367,2026-09-10,"Responses from the sixth question on had been shifted by five positions against the answer key, because the response string holds both foreign-language blocks; realigned. `resp_raw` added.",#955,,
enem_2021_1mil_mt,367,2026-09-10,Items inep annulled (scored 0 for everyone) removed. `resp_raw` added.,#1942,,
enem_2022_1mil_mt,367,2026-09-10,Items inep annulled (scored 0 for everyone) removed. `resp_raw` added.,#1942,,
enem_2023_1mil_mt,367,2026-09-10,Items inep annulled (scored 0 for everyone) removed. `resp_raw` added.,#1942,,
enem_2024_1mil_cn,367,2026-09-10,Items inep annulled (scored 0 for everyone) removed. `resp_raw` added.,#1942,,
enem_2025_1mil_cn,367,2026-09-10,Items inep annulled (scored 0 for everyone) removed. `resp_raw` added.,#1942,,
enem_2025_1mil_mt,367,2026-09-10,Items inep annulled (scored 0 for everyone) removed. `resp_raw` added.,#1942,,
qiang_2025_workplace_friendship,372,2026-09-11,"Item `fr5`, dropped in processing, restored (1,584 to 1,980 rows).",#2156,,
neurips_2020_task34,373,2026-09-11,"New table split out of `neurips_2020`: tasks 3-4, with `resp` the option chosen.",#1875,neurips_2020,
liang2026_extrinsic_motivation,374,2026-09-11,Retired: a duplicate ingest of the same data.,#2106,,liang_2026_extrinsic_motivation
liang2026_intrinsic_motivation,374,2026-09-11,Retired: a duplicate ingest of the same data.,#2106,,liang_2026_intrinsic_motivation
lindstrom2021_collective_narcissism,374,2026-09-11,"Renamed from `lindstrom2021_conscientiousness`, which misnamed the scale.",#2107,lindstrom2021_conscientiousness,
lindstrom2021_conscientiousness,374,2026-09-11,"Renamed: the table holds the Collective Narcissism scale, not conscientiousness.",#2107,,lindstrom2021_collective_narcissism
wilmer-mrmet-normative-data-set-2022,374,2026-09-11,"Column `raw_resp` renamed `resp_raw`, the standard name.",#2094,,
wilmer-rmet-normative-data-set-2022,374,2026-09-11,"Column `raw_resp` renamed `resp_raw`, the standard name.",#2094,,
dominguez_2018_jcs,375,2026-09-11,"`item_17` was the mean of items 18-21, not an item; removed (4,242 to 4,040 rows).",#1965,,
zhou_2025_peer_relationship,376,2026-09-11,Renamed: two different papers' tables shared this name; this copy (the peer relationship inventory) now has its own name. The other `zhou_2025_peer_relationship` is unchanged.,#2149,,zhou_2025_peer_relationship_inventory
zhou_2025_peer_relationship_inventory,376,2026-09-11,"Renamed from `zhou_2025_peer_relationship`, a name shared with a different paper's table.",#2149,zhou_2025_peer_relationship,
sel_marca_2025_estudantes,385,2026-09-17,"Rebuilt from the source: duplicate `id`+`item`+`wave` rows removed (1,080,966 to 918,812 rows); `cov_cohort` renamed `cov_turma`.",#1849,,
sel_marca_2025_familiares,385,2026-09-17,"Rebuilt from the source: duplicate `id`+`item`+`wave` rows removed (623,951 to 593,043 rows); `cov_cohort` renamed `cov_turma`.",#1849,,
sel_marca_2025_professores,385,2026-09-17,"Rebuilt from the source: `id` is now teacher x class, and duplicate rows removed (156,058 to 126,843 rows); `cov_cohort` renamed `cov_turma`.",#1849,,
rfq_wozniakprus_2021,391,2026-09-19,"RFQ8 responses of 1 and 7 had been swapped (88 of 538), because the source file labels RFQ8's endpoints backwards; now taken from the raw codes, matching `rfq8_wozniakprus_2022`.",#2249,,
consideration_future_consequences,400,2026-09-20,"351 rows carrying no response removed. The source archive codes ""no answer chosen"" as 0 and a second sentinel as -1; both were mapped to missing but kept as rows, so they were cells rather than observations (180,420 to 180,069 rows). No retained response changed.",#2313,,
NAMPRB_Siwiak_2024_SSUB,400,2026-09-20,"The retest block had been relabelled to the NAB factor wholesale, so the five Traditional Religious Beliefs items (1, 5, 14, 15, 19) gained a second item code that existed at only one wave, giving 25 codes for a 20-item scale. Retest items now keep their own factor label (25 to 20 codes). No response changed.",#2313,,
wine_luckett2021,400,2026-09-20,"Five of the twelve wine samples had been split into two `id` values each on capitalisation alone (17 to 12 ids). `id` is the wine and `rater` the person here, so the split was at the unit of analysis. Sample names are now lowercase. No response changed.",#2313,,
iowa_gambling_task,400,2026-09-20,"An unnamed leading column in each source file misaligned the headers: the last named column received that study's final two trials concatenated, producing out-of-range values that the script's own validity guard then discarded. All trials restored (65,291 to 66,525 rows, 339 to 345 items). Item codes are renumbered: the 100-trial study shifts by 2 and the 150-trial study by 4.",#2313,,
wooly_hartman2022,414,2026-09-23,"Study 2 had keyed the M*A*S*H item (Q8correct) against Larry Swit rather than Maxwell Klinger, the answer every other study and the supplement use; 44 Study 2 responses are rescored (33 from 0 to 1, 11 from 1 to 0). The 1,857 rows with an empty resp on the four TV-show items, whose 'I don't know' choice has no code, are dropped (29,659 to 27,802 rows). No other response changed.",#2335,,
opladen2025_fks,413,2026-09-23,"Three 0 values from one participant whose questionnaire cells are corrupt in the source file removed (3,573 to 3,570 rows; 211 to 210 participants). The FKS is scored 1-5 and the authors' own syntax treats these cells as missing. No other response changed.",#2334,,
vermeiren_2022_art,413,2026-09-23,"`id` is now keyed by study (`s<study>_<id>`): the studies each numbered participants from 1, so one id stood for several people (236 to 573 participants). No response changed.",#2339,,
vermeiren_2022_bfi,413,2026-09-23,"`id` is now keyed by study (`s<study>_<id>`): the studies each numbered participants from 1, so one id stood for several people (236 to 573 participants). No response changed.",#2339,,
vermeiren_2022_comp,413,2026-09-23,"`id` is now keyed by study (`s<study>_<id>`): the studies each numbered participants from 1, so one id stood for several people (199 to 766 participants). No response changed.",#2339,,
vermeiren_2022_gk,413,2026-09-23,"`id` is now keyed by study (`s<study>_<id>`): the studies each numbered participants from 1, so one id stood for several people (236 to 573 participants). No response changed.",#2339,,
vermeiren_2022_nd,413,2026-09-23,"`id` is now keyed by study (`s<study>_<id>`): the studies each numbered participants from 1, so one id stood for several people (236 to 573 participants). `ND2` and a whitespace variant of it are merged (81 to 80 items). No response changed.",#2339,,
vermeiren_2022_rf,413,2026-09-23,"`id` is now keyed by study (`s<study>_<id>`): the studies each numbered participants from 1, so one id stood for several people (236 to 391 participants). No response changed.",#2339,,
vermeiren_2022_vocab,413,2026-09-23,"`id` is now keyed by study (`s<study>_<id>`): the five studies each numbered participants from 1, so one id stood for up to five people (236 to 961 participants). Whitespace variants of the same word are merged (668 to 486 items), and study 3's LexTALE items are prefixed `lextale_` to keep them apart from the vocabulary test's items for the same words. No response changed.",#2339,,
MotAcademica_Ribeiro_2019,414,2026-09-23,"Retired: the same 33,553 responses as ribeiro_2019_academic_motivation, from a second deposit of the same study; the survivor also carries `cov_study`.",#2313,,ribeiro_2019_academic_motivation
project_kids_wj_lwid_wave,435,2026-09-25,"Item names now carry the WJ-III form (`wj_lw_A_13s`, `wj_lw_B_13s`): forms A and B use different words at the same position and had been pooled under one name (76 to 228 items). 15,836 responses with no recorded form are named `wj_lw_formunknown_<n>s`. No response changed.",#2437,,
project_kids_wj_ak_wave,436,2026-09-25,"Item names now carry the WJ-III form (`wj_aka_A_10s`, `wj_aka_B_10s`): forms A and B put different content at the same position and had been pooled under one name (65 to 130 items). No response changed.",#2441,,
project_kids_wj_ap,436,2026-09-25,"Item names now carry the WJ-III form (`wj_ap_A_10s`, `wj_ap_B_10s`): forms A and B put different content at the same position and had been pooled under one name (39 to 78 items). No response changed.",#2441,,
project_kids_wj_mf,436,2026-09-25,"Item names now carry the WJ-III form (`wj_mf_A_1_1`, `wj_mf_B_1_1`): forms A and B put different content at the same position and had been pooled under one name (80 to 160 items). No response changed.",#2441,,
project_kids_wj_pc_wave,436,2026-09-25,"Item names now carry the WJ-III form (`wj_pc_A_10s`, `wj_pc_B_10s`): forms A and B put different content at the same position and had been pooled under one name (44 to 130 items). 398 responses with no recorded form are named `wj_pc_formunknown_<n>`. No response changed.",#2441,,
project_kids_wj_pv_wave,436,2026-09-25,"Item names now carry the WJ-III form (`wj_pv_A_10s`, `wj_pv_B_10s`): forms A and B put different content at the same position and had been pooled under one name (43 to 118 items). 203 responses with no recorded form are named `wj_pv_formunknown_<n>`. No response changed.",#2441,,
project_kids_wj_qc,436,2026-09-25,"Item names now carry the WJ-III form (`wj_qca_A_10s`, `wj_qca_B_10s`): forms A and B put different content at the same position and had been pooled under one name (26 to 52 items). No response changed.",#2441,,
project_kids_wj_spell_wave,436,2026-09-25,"Item names now carry the WJ-III form (`wj_spell_A_10s`, `wj_spell_B_10s`): forms A and B put different content at the same position and had been pooled under one name (47 to 88 items). No response changed.",#2441,,
project_kids_wj_wa_wave,436,2026-09-25,"Item names now carry the WJ-III form (`wj_wa_A_10s`, `wj_wa_B_10s`): forms A and B put different content at the same position and had been pooled under one name (32 to 96 items). 196 responses with no recorded form are named `wj_wa_formunknown_<n>`. No response changed.",#2441,,
project_kids_wj_wf,436,2026-09-25,"Item names now carry the WJ-III form (`wj_wf_A_10s`, `wj_wf_B_10s`): forms A and B put different content at the same position and had been pooled under one name (30 to 76 items). 36 responses with no recorded form are named `wj_wf_formunknown_<n>`. No response changed.",#2441,,
